day,family,n,p1,p5,p25,p50,p75,p90,p95,p99,max_gap,frac_gap_gt_1s,n_bursts_at_1s,frac_gap_gt_2s,n_bursts_at_2s,frac_gap_gt_5s,n_bursts_at_5s
friday,Bot,1337,1.0,1.0,1.75,7.0,41.25,208.5,452.25,1111.2500000000023,26465.0,0.75,1003,0.6684131736526946,894,0.5351796407185628,716
friday,DDoS,127994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4056.0,0.00016407147265866103,22,0.00016407147265866103,22,0.00016407147265866103,22
friday,PortScan,1923,1.0,1.0,1.0,1.0,2.0,9.0,28.949999999999818,231.95999999999913,26726.0,0.34755463059313213,669,0.2372528616024974,457,0.14360041623309053,277
thursday,Infiltration,35,15.25,76.85000000000001,768.75,1809.5,2776.0,3195.0,3493.05,14350.340000000027,19697.0,1.0,35,1.0,35,1.0,35
thursday,Web Attack - Brute Force,1427,1.0,1.0,3.0,7.0,18.0,70.5,131.0,313.75,2111.0,0.9081346423562412,1296,0.8008415147265077,1143,0.561711079943899,802
thursday,Web Attack - Sql Injection,20,3.88,15.4,20.0,34.0,235.0,303.8,359.5999999999991,651.9200000000001,725.0,0.9473684210526315,19,0.9473684210526315,19,0.9473684210526315,19
thursday,Web Attack - XSS,652,1.0,1.0,2.0,4.0,10.0,33.0,73.0,248.5,440.0,0.8463901689708141,552,0.6774193548387096,442,0.40860215053763443,267
tuesday,FTP-Patator,5927,1.0,1.0,1.0,1.0,5.0,21.0,39.0,91.75,74886.0,0.3727640904488694,2210,0.31724603442456967,1881,0.23152210597367534,1373
tuesday,SSH-Patator,3151,1.0,1.0,5.0,22.0,67.0,133.0,177.0,283.03999999999905,56985.0,0.8853968253968254,2790,0.8285714285714286,2611,0.7298412698412698,2300
wednesday,DoS GoldenEye,10276,1.0,1.0,3.0,8.0,17.0,29.0,37.0,55.0,86629.0,0.8376642335766423,8608,0.7684671532846715,7897,0.6060340632603406,6228
wednesday,DoS Hulk,171834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2288.0,0.0356334347884283,6124,0.007734253606699528,1330,0.0021125162221459206,364
wednesday,DoS Slowhttptest,5227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,0.005549177190968236,30,0.0009567546880979717,6,0.000574052812858783,4
wednesday,DoS slowloris,5382,1.0,1.0,1.0,1.0,1.0,3.0,13.0,108.0,17623.0,0.11652109273369263,628,0.10053893328377625,542,0.08083999256643747,436
wednesday,Heartbleed,7,19.35,20.75,27.75,38.0,130.75,178.0,187.0,194.20000000000002,196.0,1.0,7,1.0,7,1.0,7
