feature,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
flow_duration,1.9406414e+07,400372.8,2.0060256e+07,1.6192711e+07,7.772113e+07,6.2493744e+07,6.4807616e+07,6.268635e+06,1.0576609e+08,7.744765e+07,4.8783965e+06,1.1306132e+07,6.9118935e+06,3.0169418e+06,7.920437e+06
fwd_packets,9.904802,4.5873685,4.445681,7.0655675,6.4600887,4.998673,5.944483,6.8539214,2460.8572,778.5294,2.5175,19.566593,14.864094,3.0666666,12.291021
bwd_packets,10.5941725,4.916842,4.3193526,4.816994,5.759887,2.3543463,2.2859125,10.697059,1807.7142,777.8823,1.37875,29.393406,7.4832215,2.8,5.888545
fwd_bytes,1067.124,5129.061,33.40776,542.853,392.48383,972.4267,752.814,77.96863,10801.857,350370.0,9.65625,1845.5859,2673.4648,322.53333,2265.8298
bwd_bytes,10470.725,109.86316,9786.366,8508.649,10718.028,361.1838,71.51076,130.31216,6.941825e+06,4697.9116,509.56,2531.9907,4440.916,1254.7333,8553.278
fwd_pkt_len_max,389.32617,770.1874,17.80949,406.0156,320.99344,346.05176,138.678,21.00941,3797.2856,1015.08826,7.890625,589.27826,89.33725,322.53333,38.95975
fwd_pkt_len_min,23.995327,0.6442105,0.93632144,0.0,0.2398625,64.48042,13.165163,0.01372549,0.0,5.117647,0.6875,0.0210989,0.0,0.0,0.0
fwd_pkt_len_mean,98.05867,215.41519,7.86286,76.80558,61.90529,157.39442,75.37898,10.321648,5.30845,294.59265,2.5502708,87.61399,26.553738,74.846664,14.585961
bwd_pkt_len_max,702.7151,90.41579,6084.02,5450.1265,5561.8374,336.43,54.78279,23.62,15307.429,36.17647,237.21437,897.06195,157.86913,1158.2,193.6842
bwd_pkt_len_min,59.727066,1.8505263,0.8180842,0.25415346,0.03070551,1.857996,0.00832755,0.0,0.0,4.7647057,2.53875,0.0,0.0,0.0,0.0
bwd_pkt_len_mean,265.97296,30.388512,1967.2598,1629.0739,1778.0854,135.54147,24.50437,8.707556,3843.938,7.0983815,94.276405,79.87658,60.84502,310.3033,101.8509
flow_bytes_per_s,404471.75,116108.06,85899.055,893.418,42912.06,4.5734975e+06,119457.9,36970.105,65823.734,20965.6,163937.11,990.94,244.48532,313.2804,197.9493
flow_pkts_per_s,6369.3584,10955.035,224.85228,8.342281,1235.598,5392.6914,5088.47,6881.8955,40.48862,2984.266,17337.469,3507.9607,3660.9082,11597.733,3075.5513
flow_iat_mean,1.2398636e+06,58015.92,1.8337395e+06,4.225715e+06,6.475305e+06,9.394621e+06,1.3167503e+07,273412.12,24739.908,2.0863685e+06,1.5183336e+06,218431.27,1.4558151e+06,414350.28,1.5854971e+06
flow_iat_std,2.5328682e+06,90725.93,5.531837e+06,5.261062e+06,2.2205968e+07,2.128835e+07,2.4188002e+07,710235.25,155679.75,6.717251e+06,2.6260048e+06,600976.94,2.5356465e+06,1.1107345e+06,2.7611712e+06
flow_iat_max,7.1427695e+06,190406.72,1.8595418e+07,1.1661705e+07,7.717478e+07,5.44529e+07,5.199741e+07,2.2712618e+06,1.5710316e+06,3.7972376e+07,4.6325825e+06,2.295773e+06,4.6407545e+06,3.0018708e+06,4.984948e+06
flow_iat_min,30688.371,241.38632,2926.246,1.0639724e+06,873.56525,106689.664,13930.712,76.77608,0.0,8691.412,3892.8245,97.08923,105.45302,36.266666,124.3839
fwd_iat_mean,2.8932708e+06,135827.72,2.852391e+06,6.473048e+06,1.3624077e+07,1.697688e+07,3.3607564e+07,524877.06,42889.008,3.682886e+06,4.467724e+06,467234.62,2.124324e+06,87834.125,2.3677555e+06
bwd_iat_mean,2.8489058e+06,145646.47,142694.3,2.663836e+06,4.058976e+06,2.8031526e+07,4.2305028e+07,448976.0,58396.457,2.2793565e+06,4.469379e+06,368770.94,296402.6,866659.6,53099.145
syn_flag_count,0.03593326,0.0,0.0,0.0,0.0,0.2236231,0.407356,0.30254903,0.0,0.5588235,0.0,0.006153846,0.0,0.0,0.0
psh_flag_count,0.395123,0.8905263,0.60404336,0.9279645,0.09515876,0.58925015,0.54198474,0.69490194,0.14285715,0.14705883,0.95875,0.92747253,0.897651,0.6,0.9411765
ack_flag_count,0.109703295,0.10947368,0.3977509,0.074571975,0.5816004,0.41074982,0.45801526,0.30509803,0.85714287,0.85294116,0.036875,0.072527476,0.10234899,0.4,0.05882353
down_up_ratio,0.6890541,0.36736843,0.8286782,0.086239696,0.5202026,0.5481088,0.49757114,0.7033333,0.0,0.61764705,0.39875,0.98065937,0.19630873,0.8,0.021671826
pkt_size_avg,192.29543,99.68213,1090.7836,702.38617,885.4899,224.19904,73.67187,11.374962,1628.4226,166.03084,54.76608,82.86105,38.205265,184.8478,45.87107
