feature,BENIGN,Bot,DDoS,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
flow_duration,2.3289866e+07,356450.88,1.8947326e+07,6.652248e+06,7.676753e+07,6.567515e+06,1.0971986e+07,8.720426e+06,3.1725378e+06,1.1080597e+07
fwd_packets,11.810741,5.4751287,4.3485017,7.180336,801.6667,2.679568,19.093142,29.02551,3.2631578,24.827272
bwd_packets,12.967815,6.432247,4.6135917,11.337945,801.0,1.4626462,28.19652,15.153061,2.8421052,12.536364
fwd_bytes,1260.642,8819.252,33.28903,82.74555,360833.78,10.032403,1774.522,5839.1274,349.26315,5319.1816
bwd_bytes,13578.051,133.72899,10469.846,139.01779,4837.5454,655.38434,2448.479,9783.2705,1421.6842,20106.555
fwd_pkt_len_max,440.63763,1270.0892,18.63499,21.97925,1001.6061,8.222322,568.40125,191.80612,349.26315,98.44546
fwd_pkt_len_min,21.30414,0.7409949,0.5814266,0.03458498,5.090909,0.7290729,0.04912999,0.0,0.0,0.0
fwd_pkt_len_mean,103.1428,351.47797,8.029078,10.596048,293.28738,2.6987698,83.66992,57.41996,78.539474,36.25768
bwd_pkt_len_max,846.0996,105.888504,6407.958,25.264822,37.090908,304.42575,863.11566,388.07144,1269.2632,517.7364
bwd_pkt_len_min,54.11515,1.0909091,1.196228,0.0,4.7272725,2.2628262,0.0,0.0,0.0,0.0
bwd_pkt_len_mean,310.00748,33.644093,2113.16,9.314691,7.1316657,119.51502,78.20309,140.23267,361.61667,251.0608
flow_bytes_per_s,370114.06,182967.61,114917.77,62571.94,21599.355,198956.08,1816.7468,560.95764,352.2859,487.6324
flow_pkts_per_s,5885.015,16237.37,323.7929,10836.68,3074.6895,20530.832,6399.694,7612.082,11256.928,9041.877
flow_iat_mean,1.4718455e+06,35963.004,1.6696428e+06,291160.84,2.0452116e+06,2.0478205e+06,213092.48,1.0811206e+06,431709.03,1.2066615e+06
flow_iat_std,3.016414e+06,64219.957,5.145233e+06,756319.5,6.3662585e+06,3.5409208e+06,599761.9,1.9118854e+06,1.1634859e+06,2.1345982e+06
flow_iat_max,8.448259e+06,151248.12,1.7550324e+07,2.426995e+06,3.6129116e+07,6.2361805e+06,2.346649e+06,3.8478578e+06,3.159393e+06,4.2083435e+06
flow_iat_min,22584.67,249.39452,3654.5117,57.365612,8954.697,5566.6597,96.66019,89.20918,37.473682,123.0
fwd_iat_mean,3.5183502e+06,76841.71,2.6418655e+06,558149.0,3.5782738e+06,6.0396235e+06,444013.2,1.5013519e+06,188073.39,1.7790905e+06
bwd_iat_mean,3.4966618e+06,89314.98,137667.33,477995.7,2.132213e+06,6.0278925e+06,363104.06,576824.9,772341.0,138034.53
syn_flag_count,0.033801366,0.0,0.0,0.25247034,0.54545456,0.0,0.014329581,0.0,0.0,0.0
psh_flag_count,0.45700464,0.8730703,0.66413957,0.74357706,0.15151516,0.9540954,0.9037871,0.81632656,0.6315789,0.8272727
ack_flag_count,0.098172404,0.12692967,0.3385863,0.25642294,0.8484849,0.03960396,0.09621289,0.18367347,0.36842105,0.17272727
down_up_ratio,0.65617204,0.28301886,0.9175597,0.7628459,0.6060606,0.35643566,0.9580348,0.36734694,0.7368421,0.06363636
pkt_size_avg,217.74306,151.60895,1179.6119,11.564359,165.79439,70.05396,80.241745,86.04996,205.40088,114.05492
