model,family,arm,n_seed_train,n_honeypot_pool,n_trusted_eval,tpr_fixed,tpr_recalibrated
rf,DoS Hulk,honeypot_only,0,121528,30334,0.87,0.6951
rf,DDoS,seed_only,70119,0,17383,0.9983,0.9961
rf,DoS GoldenEye,seen_both,3159,3147,1579,1.0,0.9968
rf,FTP-Patator,seen_both,2052,2038,1010,1.0,0.9921
xgboost,DoS Hulk,honeypot_only,0,121528,30334,0.8222,0.7262
xgboost,DDoS,seed_only,70119,0,17383,0.9982,0.9959
xgboost,DoS GoldenEye,seen_both,3159,3147,1579,1.0,0.9981
xgboost,FTP-Patator,seen_both,2052,2038,1010,1.0,0.9871
autoencoder,DoS Hulk,honeypot_only,0,121528,30334,0.1261,0.0001
autoencoder,DDoS,seed_only,70119,0,17383,0.1696,0.0586
autoencoder,DoS GoldenEye,seen_both,3159,3147,1579,0.0025,0.0
autoencoder,FTP-Patator,seen_both,2052,2038,1010,0.0,0.0
