family,arm,n_trusted_eval,n_nn_query,min_rms,median_rms,tier,reportable,n_seed_train,n_honeypot_pool
DDoS,seen_both,17383,13364,3.8284684003254855e-05,0.004970205018797859,degenerate,True,35096,35023
DoS GoldenEye,seen_both,1579,1207,0.0007730150417608475,0.013013247210895263,degenerate,True,3159,3147
DoS Hulk,seen_both,30334,23314,5.830176641969152e-05,0.0055129001337043074,degenerate,True,60828,60700
DoS Slowhttptest,seen_both,327,245,4.894817720558564e-05,0.026795969898771713,degenerate,False,619,561
DoS slowloris,seen_both,234,182,0.0,0.24543808752756913,degenerate,False,639,568
FTP-Patator,seen_both,1010,771,0.00024076623276080955,0.0030175038915020236,degenerate,True,2052,2038
PortScan,seen_both,342,253,0.0005043026563098477,0.10528879533888946,degenerate,False,599,659
SSH-Patator,seen_both,456,368,0.00037612981494914593,0.003046865233339066,degenerate,False,913,906
Web Attack - Brute Force,seen_both,118,86,2.3901710287000986e-05,0.001172263426881326,degenerate,False,237,241
Web Attack - XSS,seen_both,68,50,5.0551913544292044e-05,0.0007593526865612766,degenerate,False,124,131
Bot,seen_both,193,151,0.2927812056945907,0.3045336328962424,structured,False,392,365
Heartbleed,seen_both,1,1,0.509650686153108,0.509650686153108,structured,False,3,3
Infiltration,seen_both,6,6,0.037295069279868885,0.12780372884737579,structured,False,14,14
Web Attack - Sql Injection,seen_both,3,2,0.002746372992147155,0.02245104292196827,structured,False,7,5
