grid,class,family,n_trusted_eval,min_rms,median_rms,tier,p5_rms
0.005,attack,Bot,193,0.2927812056945907,0.3045336328962424,structured,
0.005,attack,DDoS,17383,3.8284684003254855e-05,0.004970205018797859,degenerate,
0.005,attack,DoS GoldenEye,1579,0.0007730150417608475,0.013013247210895263,degenerate,
0.005,attack,DoS Hulk,30334,5.830176641969152e-05,0.0055129001337043074,degenerate,
0.005,attack,DoS Slowhttptest,327,4.894817720558564e-05,0.026795969898771713,degenerate,
0.005,attack,DoS slowloris,234,0.0,0.24543808752756913,degenerate,
0.005,attack,FTP-Patator,1010,0.00024076623276080955,0.0030175038915020236,degenerate,
0.005,attack,Heartbleed,1,0.509650686153108,0.509650686153108,structured,
0.005,attack,Infiltration,6,0.037295069279868885,0.12780372884737579,structured,
0.005,attack,PortScan,342,0.0005043026563098477,0.10528879533888946,degenerate,
0.005,attack,SSH-Patator,456,0.00037612981494914593,0.003046865233339066,degenerate,
0.005,attack,Web Attack - Brute Force,118,2.3901710287000986e-05,0.001172263426881326,degenerate,
0.005,attack,Web Attack - Sql Injection,3,0.002746372992147155,0.02245104292196827,structured,
0.005,attack,Web Attack - XSS,68,5.0551913544292044e-05,0.0007593526865612766,degenerate,
0.005,benign,BENIGN,229695,3.551430774435021e-05,0.006501174817810043,degenerate,0.0007436753422102116
0.005,attack,ALL_ATTACK,52054,0.0,0.005432793229404663,degenerate,0.0009672586297944933
0.01,attack,Bot,161,0.0,0.2999686736288745,degenerate,
0.01,attack,DDoS,14753,0.0,0.0062529893127076415,degenerate,
0.01,attack,DoS GoldenEye,1552,0.0008418913911347571,0.013208829084363806,degenerate,
0.01,attack,DoS Hulk,26320,0.0001446763780282988,0.0069338437206309415,degenerate,
0.01,attack,DoS Slowhttptest,285,4.894817720558564e-05,0.024394154664299724,degenerate,
0.01,attack,DoS slowloris,166,0.00023517274386289887,0.24668867620290583,degenerate,
0.01,attack,FTP-Patator,738,0.0007630592575916679,0.003589287860755338,degenerate,
0.01,attack,Infiltration,6,0.037295069279868885,0.10911065079377295,structured,
0.01,attack,PortScan,298,0.00033081077684315015,0.1055470427393346,degenerate,
0.01,attack,SSH-Patator,324,0.0005447920222694676,0.004835126426436189,degenerate,
0.01,attack,Web Attack - Brute Force,63,0.0004234416115434522,0.0032531157876349564,degenerate,
0.01,attack,Web Attack - Sql Injection,3,0.006711637086019537,0.04129597212103487,structured,
0.01,attack,Web Attack - XSS,36,0.0,0.0018827357918279456,degenerate,
0.01,benign,BENIGN,203303,7.533994483600508e-05,0.008553801065152702,degenerate,0.0014050348166936308
0.01,attack,ALL_ATTACK,44706,0.0,0.0067739021420444735,degenerate,0.0015521058908124488
0.02,attack,Bot,88,0.0,0.010890730647824086,degenerate,
0.02,attack,DDoS,11647,0.00017214378991721398,0.008220452369461676,degenerate,
0.02,attack,DoS GoldenEye,1487,0.0007730150417608475,0.013620179394252837,degenerate,
0.02,attack,DoS Hulk,20017,0.0002962975976034698,0.011282065290495259,degenerate,
0.02,attack,DoS Slowhttptest,215,4.894817720558564e-05,0.03612419761900664,degenerate,
0.02,attack,DoS slowloris,104,0.0,0.28046227002660096,degenerate,
0.02,attack,FTP-Patator,388,0.0005655121884218482,0.005092314468701269,degenerate,
0.02,attack,Heartbleed,1,0.509650686153108,0.509650686153108,structured,
0.02,attack,Infiltration,6,0.037295069279868885,0.12780372884737579,structured,
0.02,attack,PortScan,217,0.0012776195340080778,0.1455018114335727,structured,
0.02,attack,SSH-Patator,195,0.001066561437726587,0.007870247195059219,structured,
0.02,attack,Web Attack - Brute Force,35,0.0018425758140996154,0.008550733993422903,structured,
0.02,attack,Web Attack - Sql Injection,2,0.006711637086019537,0.024387891072405615,structured,
0.02,attack,Web Attack - XSS,22,0.0,0.014025732674913947,degenerate,
0.02,benign,BENIGN,174619,0.0001880031710597096,0.01075968705490004,degenerate,0.0024464901886528585
0.02,attack,ALL_ATTACK,34424,0.0,0.00980921418934772,degenerate,0.0027451153724014333
0.05,attack,Bot,59,0.002311173855227346,0.021822097607761742,structured,
0.05,attack,DDoS,6539,0.0007875769906269026,0.013094051477500746,degenerate,
0.05,attack,DoS GoldenEye,1277,0.0020116946036552908,0.017729524314162876,structured,
0.05,attack,DoS Hulk,12357,0.0005865512231969421,0.016124266327211544,degenerate,
0.05,attack,DoS Slowhttptest,97,0.004073159132927098,0.1058730461532152,structured,
0.05,attack,DoS slowloris,62,0.0020669229475276875,0.40985338095059004,structured,
0.05,attack,FTP-Patator,115,0.0025649629026261852,0.014209115283229672,structured,
0.05,attack,Heartbleed,1,0.509650686153108,0.509650686153108,structured,
0.05,attack,Infiltration,6,0.037295069279868885,0.12780372884737579,structured,
0.05,attack,PortScan,115,0.004352633122178242,0.23152109540524593,structured,
0.05,attack,SSH-Patator,100,0.002743761019163412,0.02158851103752246,structured,
0.05,attack,Web Attack - Brute Force,17,0.0026957719036574896,0.013360471053417897,structured,
0.05,attack,Web Attack - Sql Injection,2,0.006711637086019537,0.024433674968904463,structured,
0.05,benign,BENIGN,129601,0.0004468419520053616,0.01712391673913488,degenerate,0.005787134514653724
0.05,attack,ALL_ATTACK,20747,0.0005865512231969421,0.015023853860192185,degenerate,0.005825520488693851
