family,split,n_trusted_eval,n_honeypot_pool,median_rms,p5_rms
BENIGN,real_partition,229695,344221,0.00672932383845172,0.000717320374164132
BENIGN,shuffled_partition,229695,344221,0.007845049258082064,0.0007877602222047613
Bot,real_partition,193,365,1.44418092652558,1.4423003494263678
Bot,shuffled_partition,193,365,0.0031337255696542226,0.0007834214706580243
DDoS,real_partition,17383,35023,0.0049116648817687895,0.0009302257925171238
DDoS,shuffled_partition,17383,35023,0.0037627949399895964,0.0007892845992923986
DoS GoldenEye,real_partition,1579,3147,0.01309811229847603,0.002881349670342352
DoS GoldenEye,shuffled_partition,1579,3147,0.015544380869255772,0.002876105665867303
DoS Hulk,real_partition,30334,60700,0.005369246815317244,0.0009668190968852205
DoS Hulk,shuffled_partition,30334,60700,0.004001760774946978,0.0009124317163012584
DoS Slowhttptest,real_partition,327,561,0.029232303508473872,0.0028036000579304498
DoS Slowhttptest,shuffled_partition,327,561,0.003776034489185872,0.0007534342603876253
DoS slowloris,real_partition,234,568,1.1883197341293645,0.07665490283476818
DoS slowloris,shuffled_partition,234,568,0.0031337866435889533,0.000759289910409439
FTP-Patator,real_partition,1010,2038,0.0029679003672584956,0.0008565186061333987
FTP-Patator,shuffled_partition,1010,2038,0.002118605811724169,0.0008201443159630664
Infiltration,real_partition,6,14,0.12780372884737579,0.04380211908216222
Infiltration,shuffled_partition,6,14,0.7895381041751784,0.14070686034308427
PortScan,real_partition,342,659,0.4422553328605202,0.001463648007010224
PortScan,shuffled_partition,342,659,0.0035542704838100645,0.0008871488848945135
SSH-Patator,real_partition,456,906,0.00296539245673501,0.0008396474588509992
SSH-Patator,shuffled_partition,456,906,0.0017481586287115907,0.0006307536418750474
Web Attack - Brute Force,real_partition,118,241,0.001415684716376269,0.0006376661664715369
Web Attack - Brute Force,shuffled_partition,118,241,0.0013429090154195,0.0006450263235071619
Web Attack - Sql Injection,real_partition,3,5,0.04215571285178939,0.04064698904839676
Web Attack - Sql Injection,shuffled_partition,3,5,0.18465535963550697,0.020583629861867573
Web Attack - XSS,real_partition,68,131,0.0014664141559948378,0.0006188110622514985
Web Attack - XSS,shuffled_partition,68,131,0.0014229489812297915,0.0007253746895229858
