jitter,n,median,p5,twin_delta,twin_fraction,exact_duplicates
0.0,344221,0.010681411683615208,0.0009277301626768952,0.001,0.05734106867390427,0.0
0.0,344221,0.010681411683615208,0.0009277301626768952,0.0015,0.1052666746073017,0.0
0.0,344221,0.010681411683615208,0.0009277301626768952,0.003,0.2121979774621537,0.0
0.002,344221,0.010832394251634384,0.002047162620440697,0.001,2.3240883037351005e-05,
0.002,344221,0.010832394251634384,0.002047162620440697,0.0015,0.003451271131046624,
0.002,344221,0.010832394251634384,0.002047162620440697,0.003,0.1732462574915534,
0.005,344221,0.011586445670299421,0.004330349898365505,0.001,0.0,
0.005,344221,0.011586445670299421,0.004330349898365505,0.0015,0.0,
0.005,344221,0.011586445670299421,0.004330349898365505,0.003,0.0009499710941517223,
0.01,344221,0.014086963858456102,0.007979981285353792,0.001,0.0,
0.01,344221,0.014086963858456102,0.007979981285353792,0.0015,0.0,
0.01,344221,0.014086963858456102,0.007979981285353792,0.003,0.0,
0.03,344221,0.030993279413202197,0.021555470910737985,0.001,0.0,
0.03,344221,0.030993279413202197,0.021555470910737985,0.0015,0.0,
0.03,344221,0.030993279413202197,0.021555470910737985,0.003,0.0,
0.1,344221,0.09028438983750235,0.06553525398573434,0.001,0.0,
0.1,344221,0.09028438983750235,0.06553525398573434,0.0015,0.0,
0.1,344221,0.09028438983750235,0.06553525398573434,0.003,0.0,
0.3,344221,0.25367636508168573,0.1856373750133403,0.001,0.0,
0.3,344221,0.25367636508168573,0.1856373750133403,0.0015,0.0,
0.3,344221,0.25367636508168573,0.1856373750133403,0.003,0.0,
0.7,344221,0.5583210222042954,0.41115891834810897,0.001,0.0,
0.7,344221,0.5583210222042954,0.41115891834810897,0.0015,0.0,
0.7,344221,0.5583210222042954,0.41115891834810897,0.003,0.0,
1.5,344221,1.0548960596744494,0.7709769520313673,0.001,0.0,
1.5,344221,1.0548960596744494,0.7709769520313673,0.0015,0.0,
1.5,344221,1.0548960596744494,0.7709769520313673,0.003,0.0,
