feature,BENIGN,Bot,DDoS,DoS Hulk,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack Brute Force
flow_duration,4.9852595e+06,2.1169388e+06,1.4449049e+06,759302.94,1.9931579e+06,3.121866e+07,99192.98,2.9592212e+06,1.2342186e+07
fwd_packets,12.04248,5.9204335,71.38986,4.7384267,26.918533,12.157696,1.8165122,21.003641,23.758316
bwd_packets,9.971347,5.343799,2.965262,1.9898937,10.019411,79.01919,0.9746294,17.91882,10.017088
fwd_bytes,1198.6422,487.96292,9076.195,4902.0522,2000.9567,1191.0422,59.156548,3003.1287,6078.38
bwd_bytes,3966.8247,3917.3193,4318.184,3884.0657,1124.3627,82840.336,193.65306,4089.8464,4194.6694
fwd_pkt_len_max,398.9891,413.75653,401.3384,400.48074,399.32224,400.52264,390.5337,407.693,1647.5795
fwd_pkt_len_min,39.813362,38.32294,39.643887,40.23279,39.742165,39.983883,40.32322,39.476955,39.88898
fwd_pkt_len_mean,120.06531,115.91018,121.16865,119.3142,120.0164,118.57412,120.28586,119.88477,120.36353
bwd_pkt_len_max,900.8765,869.17004,888.56445,887.9002,924.2785,889.8999,887.9879,913.9158,870.0535
bwd_pkt_len_min,40.05514,40.74828,40.00197,39.619392,40.12708,40.691097,39.868114,40.496803,39.978733
bwd_pkt_len_mean,349.01257,339.14172,353.66595,355.13162,352.72772,354.2659,354.27637,357.86203,350.1728
flow_bytes_per_s,3423.1526,5759.206,31184.648,39073.86,5363.032,10214.207,8380.071,7648.184,2750.3298
flow_pkts_per_s,14.685225,16.082174,168.80916,31.166916,62.558216,10.097511,93.584015,43.377377,9.285816
flow_iat_mean,403214.72,372748.3,405467.7,409467.84,403759.9,398137.75,8206.431,394143.94,401067.34
flow_iat_std,501779.3,99317.445,515414.97,514754.56,512938.62,506523.94,506948.56,515086.7,516829.66
flow_iat_max,1.5056674e+06,1.5490158e+06,1.5548404e+06,1.5086965e+06,1.5123188e+06,1.4813628e+06,1.4939458e+06,1.4979528e+06,1.526915e+06
flow_iat_min,4983.144,5364.8057,4903.936,242.87578,5111.7056,5286.642,4872.0806,4930.3223,4793.152
fwd_iat_mean,601536.2,686540.9,571694.44,591868.3,607510.5,580034.94,585178.56,594194.5,594334.7
bwd_iat_mean,606729.75,691370.1,604825.5,634065.1,610601.06,611545.25,612334.6,580852.94,609283.94
syn_flag_count,1.007122,0.99283123,9.901939,2.010735,6.010388,0.97814804,12.094005,6.110691,1.0290056
psh_flag_count,3.0153387,0.99462366,4.0832443,8.051325,3.05367,2.9906347,0.0,2.9608114,11.97652
ack_flag_count,14.987255,5.960575,15.107585,2.0486412,14.980608,80.03676,0.0,40.043995,15.123622
down_up_ratio,1.4002604,1.3537471,1.4271399,1.4011189,1.3875326,7.077707,1.4014449,1.3824493,1.406257
pkt_size_avg,300.5945,308.5464,599.88416,904.77106,301.99283,306.54105,60.00201,296.57553,297.29538
