model,threshold_mode,metric,ratio,2sigma_control,undefended,"D1 (E*=8, g=2)","D1 (E*=8, g=2) recovery",loss filter,loss filter recovery,kNN sanitize,kNN sanitize recovery
rf,fixed,FPR rise,0.05,0.009,+0.009 +/- 0.006,-0.000 +/- 0.004,,+0.005 +/- 0.004,,+0.001 +/- 0.004,
rf,fixed,FPR rise,0.1,0.009,+0.025 +/- 0.005,-0.002 +/- 0.002,106%,+0.027 +/- 0.013,-10%,+0.001 +/- 0.004,96%
rf,fixed,FPR rise,0.2,0.009,+0.337 +/- 0.139,+0.003 +/- 0.006,99%,+0.329 +/- 0.143,2%,-0.000 +/- 0.006,100%
rf,fixed,FPR rise,0.5,0.009,+0.880 +/- 0.024,+0.067 +/- 0.009,92%,+0.880 +/- 0.026,0%,+0.004 +/- 0.008,99%
rf,recalibrated,TPR drop,0.05,0.061,+0.034 +/- 0.050,+0.003 +/- 0.034,,+0.010 +/- 0.025,,-0.007 +/- 0.008,
rf,recalibrated,TPR drop,0.1,0.061,+0.060 +/- 0.035,-0.009 +/- 0.019,,+0.047 +/- 0.023,,+0.017 +/- 0.051,
rf,recalibrated,TPR drop,0.2,0.061,+0.140 +/- 0.015,+0.029 +/- 0.029,79%,+0.135 +/- 0.029,3%,+0.015 +/- 0.076,89%
rf,recalibrated,TPR drop,0.5,0.061,+0.282 +/- 0.038,+0.036 +/- 0.037,87%,+0.289 +/- 0.035,-2%,+0.087 +/- 0.128,69%
xgboost,fixed,FPR rise,0.05,0.012,+0.005 +/- 0.007,-0.003 +/- 0.004,,+0.001 +/- 0.003,,+0.003 +/- 0.003,
xgboost,fixed,FPR rise,0.1,0.012,+0.014 +/- 0.023,-0.004 +/- 0.005,126%,+0.012 +/- 0.016,18%,+0.003 +/- 0.004,77%
xgboost,fixed,FPR rise,0.2,0.012,+0.279 +/- 0.374,-0.001 +/- 0.002,100%,+0.282 +/- 0.379,-1%,+0.003 +/- 0.002,99%
xgboost,fixed,FPR rise,0.5,0.012,+0.563 +/- 0.457,+0.040 +/- 0.043,93%,+0.566 +/- 0.455,-0%,+0.006 +/- 0.002,99%
xgboost,fixed,FPR rise,0.8,0.012,+0.923 +/- 0.058,+0.095 +/- 0.046,90%,,,,
xgboost,fixed,FPR rise,0.9,0.012,+0.965 +/- 0.005,+0.132 +/- 0.036,86%,,,,
xgboost,recalibrated,TPR drop,0.05,0.04,-0.001 +/- 0.019,-0.025 +/- 0.044,,-0.020 +/- 0.030,,-0.009 +/- 0.017,
xgboost,recalibrated,TPR drop,0.1,0.04,+0.009 +/- 0.040,-0.010 +/- 0.031,,+0.000 +/- 0.019,,+0.007 +/- 0.017,
xgboost,recalibrated,TPR drop,0.2,0.04,+0.060 +/- 0.052,-0.022 +/- 0.023,137%,+0.054 +/- 0.039,11%,-0.001 +/- 0.006,101%
xgboost,recalibrated,TPR drop,0.5,0.04,+0.219 +/- 0.058,+0.009 +/- 0.020,96%,+0.207 +/- 0.053,5%,-0.000 +/- 0.019,100%
xgboost,recalibrated,TPR drop,0.8,0.04,+0.415 +/- 0.027,+0.159 +/- 0.037,62%,,,,
xgboost,recalibrated,TPR drop,0.9,0.04,+0.520 +/- 0.023,+0.162 +/- 0.034,69%,,,,
