E_star,gamma,components,delta_fpr_mean,delta_fpr_sd,n_seeds,within_2sigma
2.0,1.0,all,0.34034499999999995,0.4354318062997925,5,False
2.0,2.0,all,0.08395500000000002,0.08732014980804831,5,False
2.0,3.0,all,0.07566500000000001,0.07779861743630154,5,False
4.0,1.0,all,0.08126,0.09013823515856076,5,False
4.0,2.0,all,0.05988500000000001,0.06369563024650907,5,False
4.0,3.0,all,0.059419999999999994,0.06200494788724525,5,False
8.0,1.0,all,0.05293000000000001,0.05940259727065812,5,False
8.0,2.0,all,0.040244999999999996,0.042940723678112365,5,False
8.0,2.0,bytes,0.049194999999999996,0.051411499807922346,5,False
8.0,2.0,depth,0.015290000000000002,0.016568603592336924,5,False
8.0,2.0,duration_s,0.065885,0.06912691814698527,5,False
8.0,2.0,packets,0.01048,0.010546243407014653,5,True
8.0,3.0,all,0.035750000000000004,0.03786989652085149,5,False
16.0,1.0,all,0.02966,0.03166842670547434,5,False
16.0,2.0,all,0.02455,0.02539433376759469,5,False
16.0,3.0,all,0.01966,0.020384427266911375,5,False
32.0,1.0,all,0.015090000000000001,0.017471768299173386,5,False
32.0,2.0,all,0.005040000000000001,0.005897261016777197,5,True
32.0,3.0,all,0.003385,0.003909867325114755,5,True
