model,target_poison_ratio,mean_weight,zero_weight_frac,effective_ratio,nominal_ratio
rf,0.05,0.2300935666346317,0.0,0.011965520929197556,0.050001583330694446
rf,0.1,0.22952479222707317,0.0,0.024865692975609477,0.0999909999099991
rf,0.2,0.22889369484585825,0.0,0.054125792481016136,0.2
rf,0.5,0.23073336397588343,0.0,0.1874737390586237,0.5
xgboost,0.05,0.2300935666346317,0.0,0.011965520929197556,0.050001583330694446
xgboost,0.1,0.22952479222707317,0.0,0.024865692975609477,0.0999909999099991
xgboost,0.2,0.22889369484585825,0.0,0.054125792481016136,0.2
xgboost,0.5,0.23073336397588343,0.0,0.1874737390586237,0.5
xgboost,0.8,0.23020646208340684,0.0,0.47938827388904504,0.8
xgboost,0.9,0.2298740941076632,0.0,0.6741467261507388,0.9
