dataset,model,ratio,defense,fpr,mean_hp_weight,tpr_seen_both,control_seen_both,tpr_seed_only,control_seed_only,tpr_honeypot_only,control_honeypot_only,seen_both_gain_retained,honeypot_only_gain_retained
synthetic,rf,0.05,undefended,0.0109,,0.953,0.946,0.998,0.998,0.982,0.39,,100%
synthetic,rf,0.05,"D1 (E*=8, g=2)",0.0082,0.101,0.944,0.946,0.998,0.998,0.461,0.39,,12%
synthetic,rf,0.05,loss filter,0.0105,0.986,0.952,0.946,0.996,0.998,0.978,0.39,,99%
synthetic,rf,0.05,kNN sanitize,0.0086,0.597,0.947,0.946,0.997,0.998,0.657,0.39,,45%
synthetic,rf,0.2,undefended,0.0161,,0.961,0.946,0.997,0.998,0.997,0.39,,100%
synthetic,rf,0.2,"D1 (E*=8, g=2)",0.0087,0.1,0.947,0.946,0.998,0.998,0.664,0.39,,45%
synthetic,rf,0.2,loss filter,0.016,0.99,0.961,0.946,0.998,0.998,0.997,0.39,,100%
synthetic,rf,0.2,kNN sanitize,0.0106,0.6,0.953,0.946,0.997,0.998,0.839,0.39,,74%
synthetic,xgboost,0.05,undefended,0.0107,,0.955,0.95,0.996,0.996,0.984,0.341,,100%
synthetic,xgboost,0.05,"D1 (E*=8, g=2)",0.0086,0.101,0.951,0.95,0.996,0.996,0.406,0.341,,10%
synthetic,xgboost,0.05,loss filter,0.0103,0.986,0.954,0.95,0.995,0.996,0.983,0.341,,100%
synthetic,xgboost,0.05,kNN sanitize,0.0089,0.597,0.952,0.95,0.996,0.996,0.613,0.341,,42%
synthetic,xgboost,0.2,undefended,0.0139,,0.963,0.95,0.997,0.996,0.994,0.341,,100%
synthetic,xgboost,0.2,"D1 (E*=8, g=2)",0.0089,0.1,0.953,0.95,0.997,0.996,0.72,0.341,,58%
synthetic,xgboost,0.2,loss filter,0.0135,0.99,0.963,0.95,0.997,0.996,0.994,0.341,,100%
synthetic,xgboost,0.2,kNN sanitize,0.0094,0.6,0.954,0.95,0.995,0.996,0.853,0.341,,78%
CICIDS2017,rf,0.05,undefended,0.0102,1.0,0.806,0.798,0.995,0.995,0.81,0.619,,100%
CICIDS2017,rf,0.05,"D1 (E*=8, g=2)",0.0076,0.84,0.801,0.798,0.995,0.995,0.744,0.619,,65%
CICIDS2017,rf,0.05,loss filter,0.0091,0.993,0.807,0.798,0.995,0.995,0.794,0.619,,92%
CICIDS2017,rf,0.05,kNN sanitize,0.006,0.513,0.797,0.798,0.995,0.995,0.744,0.619,,65%
CICIDS2017,rf,0.2,undefended,0.0103,1.0,0.817,0.798,0.995,0.995,0.865,0.619,,100%
CICIDS2017,rf,0.2,"D1 (E*=8, g=2)",0.0071,0.833,0.802,0.798,0.995,0.995,0.747,0.619,,52%
CICIDS2017,rf,0.2,loss filter,0.0081,0.998,0.817,0.798,0.995,0.995,0.864,0.619,,100%
CICIDS2017,rf,0.2,kNN sanitize,0.0054,0.512,0.807,0.798,0.995,0.995,0.745,0.619,,51%
CICIDS2017,xgboost,0.05,undefended,0.0052,1.0,0.788,0.79,0.994,0.995,0.773,0.599,,100%
CICIDS2017,xgboost,0.05,"D1 (E*=8, g=2)",0.0035,0.84,0.772,0.79,0.994,0.995,0.743,0.599,,83%
CICIDS2017,xgboost,0.05,loss filter,0.0038,0.993,0.784,0.79,0.994,0.995,0.769,0.599,,98%
CICIDS2017,xgboost,0.05,kNN sanitize,0.0046,0.513,0.784,0.79,0.994,0.995,0.743,0.599,,83%
CICIDS2017,xgboost,0.2,undefended,0.0047,1.0,0.8,0.79,0.994,0.995,0.824,0.599,,100%
CICIDS2017,xgboost,0.2,"D1 (E*=8, g=2)",0.0074,0.833,0.774,0.79,0.994,0.995,0.747,0.599,,66%
CICIDS2017,xgboost,0.2,loss filter,0.0052,0.998,0.8,0.79,0.994,0.995,0.818,0.599,,97%
CICIDS2017,xgboost,0.2,kNN sanitize,0.0026,0.512,0.788,0.79,0.994,0.995,0.747,0.599,,66%
