run_dir,calibration_tau,model,threshold_mode,jitter,realized_nn_median,target_poison_ratio,n_seeds,damage,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,sigma_control,clears_2sigma
cicids,0.0,rf,fixed,0.0,0.010602133547744839,0.005,5,0.01096,0.01096,0.005987476513523871,0.0028045716138445087,0.0031812155231009985,0.014823297644627679,False
cicids,0.0,rf,fixed,0.01,0.014301275655447476,0.005,5,0.020955,0.020955,0.014020814883593611,0.014719948123530857,0.006756866545371202,0.014823297644627679,False
cicids,0.0,rf,fixed,0.03,0.031457928635491225,0.005,5,0.02332,0.02332,0.016866974017291897,0.010634676177352675,0.005425492108439107,0.014823297644627679,False
cicids,0.0,rf,fixed,0.1,0.09100813636040211,0.005,5,0.021015,0.021015,0.012911266882068546,0.009159439085677224,0.0045485897208715695,0.014823297644627679,False
cicids,0.0,rf,fixed,0.3,0.25203698837677635,0.005,5,0.019545,0.019545,0.017185089831013398,0.010991326902812681,0.012520955895533096,0.014823297644627679,False
cicids,0.0,rf,fixed,1.5,1.0610277222805933,0.005,5,0.016165,0.016165,0.026902744980763574,0.00695468914646995,0.0034856387710554488,0.014823297644627679,False
cicids,0.0,rf,fixed,0.0,0.010494820840572353,0.01,5,0.031784999999999994,0.031784999999999994,0.026684596446264645,0.008770365566993598,0.007796105971161953,0.014823297644627679,True
cicids,0.0,rf,fixed,0.01,0.01428035207804062,0.01,5,0.0065699999999999995,0.0065699999999999995,0.012698713025342371,0.009175650482289032,0.004799299021306221,0.014823297644627679,False
cicids,0.0,rf,fixed,0.03,0.030986235436547927,0.01,5,0.0127,0.0127,0.01888345009525537,0.011526302991002657,0.007892011911717584,0.014823297644627679,False
cicids,0.0,rf,fixed,0.1,0.09032301474981078,0.01,5,0.01717,0.01717,0.01219771238798489,0.007327551268541765,0.0027610583285064935,0.014823297644627679,False
cicids,0.0,rf,fixed,0.3,0.25600611954755365,0.01,5,0.019289999999999998,0.019289999999999998,0.017616191061066523,0.006938477749858141,0.006246806686743223,0.014823297644627679,False
cicids,0.0,rf,fixed,1.5,1.0628672291709718,0.01,5,0.01172,0.01172,0.0161252945709528,0.00418254032584906,0.002071794922422531,0.014823297644627679,False
cicids,0.0,rf,fixed,0.0,0.010353908058669573,0.02,5,0.055400000000000005,0.055400000000000005,0.02295054465584641,0.01998865202237172,0.014278297428363774,0.014823297644627679,True
cicids,0.0,rf,fixed,0.01,0.013824327365341147,0.02,5,0.017895,0.017895,0.01753833658018913,0.012223393045310837,0.004351635311410429,0.014823297644627679,False
cicids,0.0,rf,fixed,0.02,0.022049220694563384,0.02,5,0.027025,0.027025,0.01505175446584218,0.014622679743859935,0.003750845656716188,0.014823297644627679,False
cicids,0.0,rf,fixed,0.03,0.030852270334861414,0.02,5,0.025129999999999996,0.025129999999999996,0.009295738270842187,0.01932398476128718,0.016947074873472277,0.014823297644627679,False
cicids,0.0,rf,fixed,0.05,0.048231209145673755,0.02,5,0.02102,0.02102,0.01696066589199846,0.018383723757801708,0.010168920776893055,0.014823297644627679,False
cicids,0.0,rf,fixed,0.07,0.06536318929610631,0.02,5,0.016404999999999996,0.016404999999999996,0.017658287714271727,0.015335981194779923,0.008819282855718645,0.014823297644627679,False
cicids,0.0,rf,fixed,0.1,0.09062948250900545,0.02,5,0.016715,0.016715,0.02531250679012255,0.01707060063224446,0.00727790605280096,0.014823297644627679,False
cicids,0.0,rf,fixed,0.2,0.17278407595355014,0.02,5,0.029375000000000002,0.029375000000000002,0.015256033642464218,0.01895112263921537,0.006116553711440994,0.014823297644627679,False
cicids,0.0,rf,fixed,0.3,0.2556677139142656,0.02,5,0.039999999999999994,0.039999999999999994,0.011247847016207143,0.00995379751965635,0.004059894985929717,0.014823297644627679,True
cicids,0.0,rf,fixed,0.7,0.5602404002212811,0.02,5,0.03957,0.03957,0.012166724600318691,0.008462349031369021,0.012812978599367869,0.014823297644627679,True
cicids,0.0,rf,fixed,1.5,1.0621106413443386,0.02,5,0.021925,0.021925,0.021047067788649326,0.0007133014509199676,0.007410266452883349,0.014823297644627679,False
cicids,0.0,rf,fixed,0.0,0.010431682190518916,0.05,5,0.46782500000000005,0.46782500000000005,0.04901493713655053,0.05774499473129609,0.020111411988476206,0.014823297644627679,True
