arm,model,metric,ratio,2sigma,undefended,d1_E8_g2,knn,loss
a1,rf,FPR rise,0.2,0.009,+0.004 +/- 0.004,+0.004 +/- 0.003,+0.001 +/- 0.006,+0.004 +/- 0.004
a1,rf,FPR rise,0.5,0.009,+0.011 +/- 0.005,+0.005 +/- 0.005,+0.002 +/- 0.009,+0.015 +/- 0.007
a1,rf,TPR drop,0.2,0.061,+0.103 +/- 0.038,+0.085 +/- 0.019,+0.010 +/- 0.036,+0.100 +/- 0.033
a1,rf,TPR drop,0.5,0.061,+0.095 +/- 0.031,+0.104 +/- 0.022,+0.027 +/- 0.060,+0.099 +/- 0.030
a1,xgboost,FPR rise,0.2,0.012,-0.001 +/- 0.004,-0.004 +/- 0.005,-0.003 +/- 0.005,-0.001 +/- 0.004
a1,xgboost,FPR rise,0.5,0.012,-0.004 +/- 0.005,-0.004 +/- 0.005,-0.003 +/- 0.005,-0.004 +/- 0.004
a1,xgboost,TPR drop,0.2,0.04,+0.007 +/- 0.012,-0.010 +/- 0.017,-0.043 +/- 0.026,+0.007 +/- 0.012
a1,xgboost,TPR drop,0.5,0.04,-0.002 +/- 0.006,-0.001 +/- 0.029,-0.027 +/- 0.030,-0.005 +/- 0.002
junk,rf,FPR rise,0.2,0.009,+0.004 +/- 0.007,+0.001 +/- 0.005,+0.001 +/- 0.007,+0.004 +/- 0.007
junk,rf,FPR rise,0.5,0.009,+0.003 +/- 0.006,+0.000 +/- 0.005,+0.001 +/- 0.008,+0.001 +/- 0.006
junk,rf,TPR drop,0.2,0.061,-0.015 +/- 0.033,-0.027 +/- 0.029,-0.032 +/- 0.020,-0.013 +/- 0.027
junk,rf,TPR drop,0.5,0.061,-0.013 +/- 0.029,-0.023 +/- 0.028,-0.028 +/- 0.028,-0.016 +/- 0.030
junk,xgboost,FPR rise,0.2,0.012,-0.003 +/- 0.004,-0.004 +/- 0.005,-0.004 +/- 0.005,-0.004 +/- 0.004
junk,xgboost,FPR rise,0.5,0.012,-0.004 +/- 0.005,-0.005 +/- 0.006,-0.005 +/- 0.006,-0.004 +/- 0.005
junk,xgboost,TPR drop,0.2,0.04,-0.031 +/- 0.022,-0.045 +/- 0.020,-0.040 +/- 0.024,-0.031 +/- 0.026
junk,xgboost,TPR drop,0.5,0.04,-0.026 +/- 0.025,-0.043 +/- 0.017,-0.046 +/- 0.017,-0.029 +/- 0.023
