calibration,model,threshold_mode,metric,arm,ratio,n,mean,sd,two_sigma
old calibration,rf,fixed,fpr,a1,0.02,5,0.021925000000000004,0.02104706778864933,0.02964659528925536
old calibration,rf,fixed,fpr,a1,0.05,5,0.031020000000000002,0.008233191209974419,0.02964659528925536
old calibration,rf,fixed,fpr,a1,0.2,5,0.037434999999999996,0.015313756070931783,0.02964659528925536
old calibration,rf,fixed,fpr,a1,0.5,5,0.04217,0.008923939012566145,0.02964659528925536
old calibration,rf,fixed,fpr,s0j,0.02,5,0.0029149999999999983,0.015483434696474813,0.02964659528925536
old calibration,rf,fixed,fpr,s0j,0.05,5,0.02032,0.010549754144054733,0.02964659528925536
old calibration,rf,fixed,fpr,s0j,0.2,5,0.030844999999999994,0.015562308231750198,0.02964659528925536
old calibration,rf,fixed,fpr,s0j,0.5,5,0.035115,0.016712800109496915,0.02964659528925536
old calibration,rf,fixed,fpr,junk,0.02,5,0.029824999999999997,0.012234812013267716,0.02964659528925536
old calibration,rf,fixed,fpr,junk,0.05,5,0.03073,0.020076193924646178,0.02964659528925536
old calibration,rf,fixed,fpr,junk,0.2,5,0.044895,0.007599288618022083,0.02964659528925536
old calibration,rf,fixed,fpr,junk,0.5,5,0.0472,0.015390134827219676,0.02964659528925536
old calibration,rf,fixed,fpr,s0,0.02,5,-0.0033450000000000008,0.008155201560967086,0.02964659528925536
old calibration,rf,fixed,fpr,s0,0.05,5,0.008575,0.015741495719911753,0.02964659528925536
old calibration,rf,fixed,fpr,s0,0.2,5,0.026500000000000003,0.017491792718300776,0.02964659528925536
old calibration,rf,fixed,fpr,s0,0.5,5,0.028679999999999994,0.012900816350138462,0.02964659528925536
old calibration,rf,recalibrated,tpr,a1,0.02,5,-0.04510010537407796,0.042291577037484464,0.060587674453700786
old calibration,rf,recalibrated,tpr,a1,0.05,5,-0.0636621544946097,0.02405116540111789,0.060587674453700786
old calibration,rf,recalibrated,tpr,a1,0.2,5,-0.10329901921050495,0.0383402357428248,0.060587674453700786
old calibration,rf,recalibrated,tpr,a1,0.5,5,-0.09533922347410226,0.030677064442320462,0.060587674453700786
old calibration,rf,recalibrated,tpr,s0j,0.02,5,-0.0022858069222663423,0.02670470252966942,0.060587674453700786
old calibration,rf,recalibrated,tpr,s0j,0.05,5,-0.017313771581421732,0.027695677791232283,0.060587674453700786
old calibration,rf,recalibrated,tpr,s0j,0.2,5,-0.05597795250060791,0.03808654506250316,0.060587674453700786
old calibration,rf,recalibrated,tpr,s0j,0.5,5,-0.04325200616033069,0.021444941946360124,0.060587674453700786
old calibration,rf,recalibrated,tpr,junk,0.02,5,0.023944232795655385,0.031971436846869025,0.060587674453700786
old calibration,rf,recalibrated,tpr,junk,0.05,5,0.024090135365161757,0.024151403843362267,0.060587674453700786
old calibration,rf,recalibrated,tpr,junk,0.2,5,0.015287347004944496,0.03255765500158592,0.060587674453700786
old calibration,rf,recalibrated,tpr,junk,0.5,5,0.013341979411526327,0.0290033166993159,0.060587674453700786
old calibration,rf,recalibrated,tpr,s0,0.02,5,0.0487638810083489,0.041300684521478344,0.060587674453700786
old calibration,rf,recalibrated,tpr,s0,0.05,5,0.05829618221609793,0.03249795737562258,0.060587674453700786
old calibration,rf,recalibrated,tpr,s0,0.2,5,0.0786576963605415,0.03706594120232546,0.060587674453700786
old calibration,rf,recalibrated,tpr,s0,0.5,5,0.11388506119802222,0.030290648605504643,0.060587674453700786
old calibration,xgboost,fixed,fpr,a1,0.02,5,0.0025299999999999997,0.01079699611002986,0.019955731645575014
old calibration,xgboost,fixed,fpr,a1,0.05,5,-0.001745,0.006861040373004663,0.019955731645575014
old calibration,xgboost,fixed,fpr,a1,0.2,5,0.023725,0.018726518630007016,0.019955731645575014
old calibration,xgboost,fixed,fpr,a1,0.5,5,0.035465,0.019707760210130425,0.019955731645575014
old calibration,xgboost,fixed,fpr,s0j,0.02,5,-0.004954999999999999,0.008166880524410773,0.019955731645575014
old calibration,xgboost,fixed,fpr,s0j,0.05,5,-0.004445,0.010506893570413664,0.019955731645575014
old calibration,xgboost,fixed,fpr,s0j,0.2,5,0.004220000000000002,0.013405262492767533,0.019955731645575014
old calibration,xgboost,fixed,fpr,s0j,0.5,5,0.01941,0.006991950729231435,0.019955731645575014
old calibration,xgboost,fixed,fpr,junk,0.02,5,0.015290000000000002,0.012355547842973217,0.019955731645575014
old calibration,xgboost,fixed,fpr,junk,0.05,5,0.017335,0.009611152376276218,0.019955731645575014
old calibration,xgboost,fixed,fpr,junk,0.2,5,0.018335,0.02256643386758306,0.019955731645575014
old calibration,xgboost,fixed,fpr,junk,0.5,5,0.025165,0.015617754320003882,0.019955731645575014
old calibration,xgboost,fixed,fpr,s0,0.02,5,0.020805,0.013570192518899649,0.019955731645575014
old calibration,xgboost,fixed,fpr,s0,0.05,5,0.028254999999999995,0.010448974231952153,0.019955731645575014
old calibration,xgboost,fixed,fpr,s0,0.2,5,0.029105000000000002,0.011394782248906738,0.019955731645575014
old calibration,xgboost,fixed,fpr,s0,0.5,5,0.040465,0.013477580921663946,0.019955731645575014
old calibration,xgboost,recalibrated,tpr,a1,0.02,5,-0.00030801653562451126,0.04310682453163622,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,a1,0.05,5,0.0004539191051309288,0.02425227100426036,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,a1,0.2,5,-0.007051957526140895,0.012213138368012688,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,a1,0.5,5,0.0024965550782200196,0.006178275761893256,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,s0j,0.02,5,0.030347734457323527,0.023877755558387132,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,s0j,0.05,5,0.017913593256059034,0.038654621130855916,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,s0j,0.2,5,0.01014833427899815,0.024765156857266112,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,s0j,0.5,5,0.05348139742238796,0.031044898584504335,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,junk,0.02,5,0.022663532463321735,0.024373337460808553,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,junk,0.05,5,0.02632730809759265,0.02576084780731646,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,junk,0.2,5,0.03101240171840809,0.022472498542978062,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,junk,0.5,5,0.025711275026343537,0.024925147500329668,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,s0,0.02,5,0.04960687363216345,0.02060585850512469,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,s0,0.05,5,0.0527032503850207,0.021056991109247455,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,s0,0.2,5,0.08428305098484237,0.024229693514280098,0.040097070517014194
old calibration,xgboost,recalibrated,tpr,s0,0.5,5,0.09605252492502232,0.014778290834364454,0.040097070517014194
new calibration (tau=0.1),rf,fixed,fpr,a1,0.02,5,0.002145,0.00311535511619462,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,a1,0.05,5,-0.0006499999999999999,0.0035559369370111163,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,a1,0.2,5,0.004489999999999999,0.004364222439335556,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,a1,0.5,5,0.010519999999999998,0.005449925458205827,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,s0j,0.02,5,0.001405,0.006145842090389241,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,s0j,0.05,5,0.00101,0.004711011037983248,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,s0j,0.2,5,0.004700000000000001,0.009656587777263768,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,s0j,0.5,5,0.0054800000000000005,0.00695764866891107,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,a1truth,0.02,5,-0.006684999999999999,0.0043823010508179374,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,a1truth,0.05,5,-0.00683,0.002999552049890116,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,a1truth,0.2,5,-0.006520000000000001,0.004351522721990545,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,a1truth,0.5,5,-0.00395,0.0036374785222733613,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,junk,0.02,5,0.0023250000000000002,0.006919537556802477,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,junk,0.05,5,0.0012150000000000002,0.004421983435066215,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,junk,0.2,5,0.00381,0.007389701448637827,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,junk,0.5,5,0.00264,0.005655075154230932,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,s0,0.05,5,0.0016700000000000003,0.0038370887401778966,0.008911134344522164
new calibration (tau=0.1),rf,fixed,fpr,s0,0.2,5,0.001695,0.007217695269267053,0.008911134344522164
new calibration (tau=0.1),rf,recalibrated,tpr,a1,0.02,5,-0.04510010537407796,0.042291577037484464,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,a1,0.05,5,-0.0636621544946097,0.02405116540111789,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,a1,0.2,5,-0.10329901921050495,0.0383402357428248,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,a1,0.5,5,-0.09533922347410226,0.030677064442320462,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,s0j,0.02,5,-0.0022858069222663423,0.02670470252966942,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,s0j,0.05,5,-0.017313771581421732,0.027695677791232283,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,s0j,0.2,5,-0.05597795250060791,0.03808654506250316,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,s0j,0.5,5,-0.04325200616033069,0.021444941946360124,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,a1truth,0.02,5,0.02785117937910351,0.03442186689893137,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,a1truth,0.05,5,0.014249817621788142,0.027632193560241373,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,a1truth,0.2,5,-0.008478560427980852,0.04000495115370185,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,a1truth,0.5,5,-0.11797033314420033,0.08541126655627453,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,junk,0.02,5,0.023944232795655385,0.031971436846869025,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,junk,0.05,5,0.024090135365161757,0.024151403843362267,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,junk,0.2,5,0.015287347004944496,0.03255765500158592,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,junk,0.5,5,0.013341979411526327,0.0290033166993159,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,s0,0.05,5,0.05829618221609793,0.03249795737562258,0.060587674453700786
new calibration (tau=0.1),rf,recalibrated,tpr,s0,0.2,5,0.0786576963605415,0.03706594120232546,0.060587674453700786
new calibration (tau=0.1),xgboost,fixed,fpr,a1,0.02,5,-0.0013849999999999993,0.0052378013039824246,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,a1,0.05,5,-0.0006499999999999995,0.0033069056533260818,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,a1,0.2,5,-0.0006999999999999993,0.00392376572950017,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,a1,0.5,5,-0.00432,0.005477265513009205,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,s0j,0.02,5,-0.0032699999999999995,0.0037526823739826415,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,s0j,0.05,5,-0.0011549999999999998,0.003324219833284194,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,s0j,0.2,5,-0.005549999999999999,0.006424100131535933,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,s0j,0.5,5,-0.004285,0.004843120120335649,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,a1truth,0.02,5,-0.0010549999999999997,0.0021605410202076695,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,a1truth,0.05,5,-0.0043,0.0048290462308824495,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,a1truth,0.2,5,-0.0057599999999999995,0.006647617054253351,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,a1truth,0.5,5,-0.0059499999999999996,0.006564630606515494,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,junk,0.02,5,0.00043000000000000037,0.006608904977377114,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,junk,0.05,5,-0.0018499999999999996,0.003057930264083862,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,junk,0.2,5,-0.0033099999999999996,0.0036844945379251137,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,junk,0.5,5,-0.003925,0.004652082866845773,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,s0,0.05,5,-0.0015999999999999994,0.004931911394175689,0.012222724277979529
new calibration (tau=0.1),xgboost,fixed,fpr,s0,0.2,5,-0.0020499999999999997,0.0028489581429006635,0.012222724277979529
new calibration (tau=0.1),xgboost,recalibrated,tpr,a1,0.02,5,-0.00030801653562451126,0.04310682453163622,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,a1,0.05,5,0.0004539191051309288,0.02425227100426036,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,a1,0.2,5,-0.007051957526140895,0.012213138368012688,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,a1,0.5,5,0.0024965550782200196,0.006178275761893256,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,s0j,0.02,5,0.030347734457323527,0.023877755558387132,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,s0j,0.05,5,0.017913593256059034,0.038654621130855916,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,s0j,0.2,5,0.01014833427899815,0.024765156857266112,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,s0j,0.5,5,0.05348139742238796,0.031044898584504335,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,a1truth,0.02,5,-0.05727486422955334,0.06937674235457125,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,a1truth,0.05,5,0.022939126205722627,0.033189989033813476,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,a1truth,0.2,5,-0.18043284428953552,0.0395957762054253,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,a1truth,0.5,5,-0.19040285320580366,0.020773214289055108,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,junk,0.02,5,0.022663532463321735,0.024373337460808553,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,junk,0.05,5,0.02632730809759265,0.02576084780731646,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,junk,0.2,5,0.03101240171840809,0.022472498542978062,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,junk,0.5,5,0.025711275026343537,0.024925147500329668,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,s0,0.05,5,0.0527032503850207,0.021056991109247455,0.040097070517014194
new calibration (tau=0.1),xgboost,recalibrated,tpr,s0,0.2,5,0.08428305098484237,0.024229693514280098,0.040097070517014194
