model,threshold_mode,scenario,target_poison_ratio,jitter,fpr_mean,fpr_sd,tpr_mean,tpr_sd,realized_nn
rf,fixed,a1,0.05,0.0,0.50949,0.05326308113975384,0.9337440220474994,0.018900500154658096,0.01043168219051888
rf,fixed,a1,0.05,0.01,0.075625,0.009380515044495157,0.8944638080570642,0.007951644593175168,0.013948018330317979
rf,fixed,a1,0.05,0.02,0.074935,0.011664283089843115,0.8984356002269596,0.01112431421963867,0.02216913023794056
rf,fixed,a1,0.05,0.03,0.071035,0.014081821171283215,0.9093134473534896,0.01751481795773203,0.030930574590417398
rf,fixed,a1,0.05,0.05,0.074595,0.012617378887867327,0.9055686147361595,0.02248144321692255,0.0483015871788877
rf,fixed,a1,0.05,0.07,0.07300999999999999,0.008055948888864677,0.9123774013131232,0.014251860037620216,0.06531899891207274
rf,fixed,a1,0.05,0.1,0.076715,0.013092132656675918,0.915327875496474,0.01628807754317616,0.09049369262974466
rf,fixed,a1,0.05,0.2,0.079245,0.011668231442682309,0.9012239604441923,0.013095984204816663,0.17261343271534896
rf,fixed,a1,0.05,0.3,0.08863,0.006161584617612578,0.8935559698468023,0.015540169028231214,0.25425239581318304
rf,fixed,a1,0.05,0.7,0.08004,0.012178318336289294,0.893393855880684,0.011576174539232702,0.5599149552431368
rf,fixed,a1,0.05,1.5,0.072685,0.013183744725987379,0.869968387776607,0.011484576029187196,1.0591578042930059
rf,fixed,a1,0.2,0.0,0.96305,0.009086683250779697,0.9918294561076436,0.004533180170025452,0.0110714056576436
rf,fixed,a1,0.2,0.01,0.084165,0.00713811512235548,0.9256383237415904,0.008118980768427963,0.01438114403506926
rf,fixed,a1,0.2,0.02,0.086885,0.009335091724241384,0.9146307854421659,0.010855494229606936,0.02234033452151992
rf,fixed,a1,0.2,0.03,0.07761,0.01096697599614406,0.9225095241955096,0.010253147670814035,0.03114576622709776
rf,fixed,a1,0.2,0.05,0.08452,0.006482028039124789,0.9262867796060631,0.013709249761326004,0.04852012134094384
rf,fixed,a1,0.2,0.07,0.081665,0.007839196387385639,0.9091513333873713,0.0025609389060531848,0.06549662205094063
rf,fixed,a1,0.2,0.1,0.091045,0.010963182703941407,0.9171597633136095,0.00840123467977346,0.09055539550988478
rf,fixed,a1,0.2,0.2,0.086105,0.006911050933107064,0.9107400502553296,0.014006379294593798,0.17261844716975422
rf,fixed,a1,0.2,0.3,0.09331,0.010160640973875616,0.9056334603226068,0.009712372048131563,0.25405201657983284
rf,fixed,a1,0.2,0.7,0.095565,0.0037611750158693742,0.8936532382264731,0.04260124775883272,0.5591151059912843
rf,fixed,a1,0.2,1.5,0.07909999999999999,0.011525772750666227,0.8410958904109588,0.017525993097934543,1.0542563956797593
rf,fixed,control,0.0,-1.0,0.041665,0.01089805888679264,0.8759990273162034,0.0027525977600162304,
rf,recalibrated,a1,0.05,0.0,0.009755,0.00027522717889045726,0.77610440139418,0.05015152819031465,0.01043168219051888
rf,recalibrated,a1,0.05,0.01,0.009925,0.00010307764064044154,0.8053821836751236,0.021417687722725526,0.013948018330317979
rf,recalibrated,a1,0.05,0.02,0.009615,0.00021549361939509915,0.8048796303801573,0.0345205884470273,0.02216913023794056
rf,recalibrated,a1,0.05,0.03,0.009665,0.0003184925430838225,0.7886195995785037,0.04557246049111995,0.030930574590417398
rf,recalibrated,a1,0.05,0.05,0.009604999999999999,0.00042661458015403117,0.8044257112750263,0.043442285707228225,0.0483015871788877
rf,recalibrated,a1,0.05,0.07,0.0099,0.00012990381056766538,0.7945853935316528,0.034967253459765986,0.06531899891207274
rf,recalibrated,a1,0.05,0.1,0.0094,0.0005108204185425637,0.7748885466482938,0.05663967690381904,0.09049369262974466
rf,recalibrated,a1,0.05,0.2,0.009670000000000002,0.00035373012311648035,0.7538461538461538,0.05150255713683197,0.17261343271534896
rf,recalibrated,a1,0.05,0.3,0.009445,0.0007835017549437908,0.7466320823538948,0.04749497938001318,0.25425239581318304
rf,recalibrated,a1,0.05,0.7,0.009850000000000001,8.66025403784435e-05,0.7243414120126449,0.021500309368687298,0.5599149552431368
rf,recalibrated,a1,0.05,1.5,0.00988,0.00015949137907736533,0.7459836264894221,0.034161811459974954,1.0591578042930059
rf,recalibrated,a1,0.2,0.0,0.00999,2.2360679774997857e-05,0.6697576396206533,0.036117931127905886,0.0110714056576436
rf,recalibrated,a1,0.2,0.01,0.009845,0.00011911129249571556,0.7562292291480912,0.09390918681647137,0.01438114403506926
rf,recalibrated,a1,0.2,0.02,0.009845000000000001,0.0003193743884534264,0.7963686471589527,0.07184761765195603,0.02234033452151992
rf,recalibrated,a1,0.2,0.03,0.009850000000000001,0.000225,0.79786009564724,0.0720277934029069,0.03114576622709776
