model,threshold_mode,jitter,realized_nn_median,ratios_tested,first_clears_ratio,first_clears_beyond_s0_ratio
rf,fixed,0.0,0.010610065008796143,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.01,0.02
rf,fixed,0.01,0.01411691795425717,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.05,
rf,fixed,0.02,0.022153741580795562,"0.02,0.05,0.1,0.2",0.05,0.02
rf,fixed,0.03,0.031057209392491007,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.1,
rf,fixed,0.05,0.04834125180715175,"0.02,0.05,0.1,0.2",0.05,
rf,fixed,0.07,0.06536219382595505,"0.02,0.05,0.1,0.2",0.05,
rf,fixed,0.1,0.0905210498492162,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.05,
rf,fixed,0.2,0.17265924430862806,"0.02,0.05,0.1,0.2",0.05,0.02
rf,fixed,0.3,0.25426938806317495,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.02,0.02
rf,fixed,0.7,0.5597898093114597,"0.02,0.05,0.1,0.2",0.02,0.02
rf,fixed,1.5,1.0587494326906464,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.05,
rf,recalibrated,0.0,0.010610065008796143,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.2,
rf,recalibrated,0.01,0.01411691795425717,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",,
rf,recalibrated,0.02,0.022153741580795562,"0.02,0.05,0.1,0.2",,
rf,recalibrated,0.03,0.031057209392491007,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",,
rf,recalibrated,0.05,0.04834125180715175,"0.02,0.05,0.1,0.2",,
rf,recalibrated,0.07,0.06536219382595505,"0.02,0.05,0.1,0.2",,
rf,recalibrated,0.1,0.0905210498492162,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",,
rf,recalibrated,0.2,0.17265924430862806,"0.02,0.05,0.1,0.2",0.2,
rf,recalibrated,0.3,0.25426938806317495,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.05,
rf,recalibrated,0.7,0.5597898093114597,"0.02,0.05,0.1,0.2",0.02,
rf,recalibrated,1.5,1.0587494326906464,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.05,
xgboost,fixed,0.0,0.010610065008796143,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.02,0.02
xgboost,fixed,0.01,0.01411691795425717,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.5,
xgboost,fixed,0.02,0.022153741580795562,"0.02,0.05,0.1,0.2",,
xgboost,fixed,0.03,0.031057209392491007,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.5,
xgboost,fixed,0.05,0.04834125180715175,"0.02,0.05,0.1,0.2",,
xgboost,fixed,0.07,0.06536219382595505,"0.02,0.05,0.1,0.2",,
xgboost,fixed,0.1,0.0905210498492162,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.5,
xgboost,fixed,0.2,0.17265924430862806,"0.02,0.05,0.1,0.2",,
xgboost,fixed,0.3,0.25426938806317495,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.5,
xgboost,fixed,0.7,0.5597898093114597,"0.02,0.05,0.1,0.2",0.2,
xgboost,fixed,1.5,1.0587494326906464,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.2,
xgboost,recalibrated,0.0,0.010610065008796143,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.2,
xgboost,recalibrated,0.01,0.01411691795425717,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",,
xgboost,recalibrated,0.02,0.022153741580795562,"0.02,0.05,0.1,0.2",,
xgboost,recalibrated,0.03,0.031057209392491007,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",,
xgboost,recalibrated,0.05,0.04834125180715175,"0.02,0.05,0.1,0.2",,
xgboost,recalibrated,0.07,0.06536219382595505,"0.02,0.05,0.1,0.2",,
xgboost,recalibrated,0.1,0.0905210498492162,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",,
xgboost,recalibrated,0.2,0.17265924430862806,"0.02,0.05,0.1,0.2",0.02,
xgboost,recalibrated,0.3,0.25426938806317495,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",0.02,
xgboost,recalibrated,0.7,0.5597898093114597,"0.02,0.05,0.1,0.2",,
xgboost,recalibrated,1.5,1.0587494326906464,"0.005,0.01,0.02,0.05,0.1,0.2,0.5",,
