model,threshold_mode,metric,mean,sigma_control,round_to_round_sd,std_across_seeds,n_obs,n_seeds
rf,fixed,fpr,0.046099999999999995,0.01482329764462768,0.013377125915510971,0.007401801512132029,50,5
rf,fixed,tpr,0.875666693685661,0.004497682586038158,0.0038102958340097194,0.0026662141833141834,50,5
rf,fixed,auroc,0.9670158554551349,0.007493449262955117,0.007212477233338998,0.002948517179332095,50,5
rf,recalibrated,fpr,0.009521,0.0006087658978354052,0.000600272135138858,0.00015442028687967166,50,5
rf,recalibrated,tpr,0.8259430979978926,0.030293837226850393,0.03051486681191843,0.003993134698220131,50,5
rf,recalibrated,auroc,0.9670158554551349,0.007493449262955117,0.007212477233338998,0.002948517179332095,50,5
xgboost,fixed,fpr,0.0386035,0.009977865822787507,0.00938483960903869,0.004662784039605524,50,5
xgboost,fixed,tpr,0.8693491124260355,0.006205554882063034,0.00563460594253987,0.0032394086343212644,50,5
xgboost,fixed,auroc,0.9829495244994731,0.0015074839214466737,0.0014392944008627731,0.0004845123108283685,50,5
xgboost,recalibrated,fpr,0.008765,0.0013768771972570866,0.0013981159035623217,0.00021389980130893067,50,5
xgboost,recalibrated,tpr,0.8180076193564076,0.020048535258507097,0.0205338860958953,0.0038760606853053175,50,5
xgboost,recalibrated,auroc,0.9829495244994731,0.0015074839214466737,0.0014392944008627731,0.0004845123108283685,50,5
