scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,2,0.02,0,fixed,0.11599999999999999,30000,0,0.0,0.05865,0.8708762259868688,0.8207792207792208,0.8450859322767137,0.9692105161303396,37654,2346,1593,10744,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8600415033433249,4337,0.99675,4000,0.75675,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,0,recalibrated,0.3502222222222222,30000,0,0.0,0.009825,0.8430736807976007,0.9635908838243469,0.8993126107820675,0.9692105161303396,39607,393,1936,10401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99525,4000,0.731,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,1,fixed,0.11599999999999999,30031,31,0.0010322666577869534,0.0338,0.875577531004296,0.8887609017607372,0.8821199624351804,0.9677149063791846,38648,1352,1535,10802,31,1143.5457786896245,176637599.7912206,39913.7938008907,31,1143.5457786896245,176637599.7912206,39913.7938008907,True,False,0.8697256167857966,4337,0.99675,4000,0.76075,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,1,recalibrated,0.23265144051350947,30031,31,0.0010322666577869534,0.009425,0.8565291399854097,0.9655519005847953,0.9077788754778575,0.9677149063791846,39623,377,1770,10567,31,1143.5457786896245,176637599.7912206,39913.7938008907,31,1143.5457786896245,176637599.7912206,39913.7938008907,True,False,0.830066866497579,4337,0.9955,4000,0.74625,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,2,fixed,0.11599999999999999,30061,61,0.0020292072785336483,0.07405,0.8772797276485369,0.7851287631483497,0.8286501799249675,0.9637280102537084,37038,2962,1514,10823,61,2852.242820165737,181101151.11455095,54669.27862642424,30,1708.6970414761126,4463551.323330333,14755.484825533538,True,False,0.8671893013603874,4337,0.9965,4000,0.769,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,2,recalibrated,0.43422222222222223,30061,61,0.0020292072785336483,0.0098,0.8265380562535463,0.9629804514118425,0.8895577074064381,0.9637280102537084,39608,392,2140,10197,61,2852.242820165737,181101151.11455095,54669.27862642424,30,1708.6970414761126,4463551.323330333,14755.484825533538,True,False,0.8005533779109983,4337,0.995,4000,0.68625,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,3,fixed,0.11599999999999999,30092,92,0.003057290974345341,0.0387,0.8787387533436005,0.875050447978045,0.8768907223165898,0.9754852344573235,38452,1548,1496,10841,92,4921.18008480972,400900748.5851791,97808.96291176559,31,2068.937264643983,219799597.47062814,43139.68428534135,True,False,0.8669587272308047,4337,0.99675,4000,0.7735,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,3,recalibrated,0.22409523809523807,30092,92,0.003057290974345341,0.00995,0.8649590662235551,0.9640437257204806,0.9118174826967445,0.9754852344573235,39602,398,1666,10671,92,4921.18008480972,400900748.5851791,97808.96291176559,31,2068.937264643983,219799597.47062814,43139.68428534135,True,False,0.8489739451233571,4337,0.99625,4000,0.751,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,4,fixed,0.11599999999999999,30122,122,0.004050195870128145,0.036775,0.8819810326659642,0.8809099740932642,0.8814451780145003,0.9624274418416147,38529,1471,1456,10881,122,35376.96106729729,404597768.04468805,152462.628745985,30,30455.780982487573,3697019.4595089266,54653.66583421943,True,False,0.8736453769887018,4337,0.99675,4000,0.77625,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,4,recalibrated,0.43457142857142855,30122,122,0.004050195870128145,0.01,0.8043284428953554,0.9612515741548,0.8758164165931156,0.9624274418416147,39600,400,2414,9923,122,35376.96106729729,404597768.04468805,152462.628745985,30,30455.780982487573,3697019.4595089266,54653.66583421943,True,False,0.7798017062485589,4337,0.9955,4000,0.63975,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
