scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,3,accumulate,fixed_ratio,0.005,0,fixed,0.12533333333333332,30000,0,0.0,0.0379,0.876469157817946,0.8770378781734123,0.8767534257682641,0.9640888019777903,38484,1516,1524,10813,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8575051879179156,4337,0.9965,4000,0.777,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,0,recalibrated,0.2163729603729604,30000,0,0.0,0.0097,0.8587176785280052,0.9646694591149153,0.9086152922509542,0.9640888019777903,39612,388,1743,10594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8349089232188148,4337,0.99625,4000,0.747,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,1,fixed,0.12533333333333332,30008,8,0.00026659557451346307,0.06225,0.8671476047661506,0.8111919927206551,0.8382370225269343,0.9701007406581827,37510,2490,1639,10698,8,119.0,39455.0,148.434702,8,119.0,39455.0,148.434702,True,False,0.8505879640304358,4337,0.9965,4000,0.75575,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,1,recalibrated,0.3568571428571428,30008,8,0.00026659557451346307,0.009125,0.7902245278430737,0.9639114099268341,0.8684691105073271,0.9701007406581827,39635,365,2588,9749,8,119.0,39455.0,148.434702,8,119.0,39455.0,148.434702,True,False,0.8160018445930367,4337,0.995,4000,0.5575,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,2,fixed,0.12533333333333332,30015,15,0.0004997501249375312,0.052175,0.8724973656480506,0.8376001867558945,0.8546927108146738,0.9725060691416065,37913,2087,1573,10764,15,215.0,55123.0,330.930686,7,96.0,15668.0,182.495984,True,False,0.8591192068249942,4337,0.9965,4000,0.763,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,2,recalibrated,0.3746666666666667,30015,15,0.0004997501249375312,0.009925,0.8123530842182054,0.9618965351761205,0.880822640182809,0.9725060691416065,39603,397,2315,10022,15,215.0,55123.0,330.930686,7,96.0,15668.0,182.495984,True,False,0.8060871570209822,4337,0.99475,4000,0.63675,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,3,fixed,0.12533333333333332,30023,23,0.0007660793391733005,0.02105,0.8695793142579233,0.9272255834053587,0.8974777261889824,0.963129980951609,39158,842,1609,10728,23,273.0,65588.0,340.883756,8,58.0,10465.0,9.95307,True,False,0.8489739451233571,4337,0.99725,4000,0.76425,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,3,recalibrated,0.14177112939416603,30023,23,0.0007660793391733005,0.0099,0.8660128070033233,0.964259927797834,0.9124994661997695,0.963129980951609,39604,396,1653,10684,23,273.0,65588.0,340.883756,8,58.0,10465.0,9.95307,True,False,0.8459764814387826,4337,0.99725,4000,0.7565,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,4,fixed,0.12533333333333332,30030,30,0.000999000999000999,0.029525,0.8744427332414687,0.9013284317821038,0.8876820538138732,0.9597248794277377,38819,1181,1549,10788,30,358.0,77015.0,478.683039,7,85.0,11427.0,137.799283,True,False,0.8635001152870648,4337,0.99625,4000,0.7645,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
a1,rf,3,accumulate,fixed_ratio,0.005,4,recalibrated,0.3793333333333333,30030,30,0.000999000999000999,0.00955,0.8450190483910189,0.9646525400203572,0.9008814379536814,0.9597248794277377,39618,382,1912,10425,30,358.0,77015.0,478.683039,7,85.0,11427.0,137.799283,True,False,0.802859119206825,4337,0.99475,4000,0.741,4000,0.0,cicids,0.010396755920929498,0.0009334721879811526,0.0848347679867735,151
