scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,3,0.05,0,fixed,0.07161957025527954,30000,0,0.0,0.0271,0.8726594796141688,0.9085232067510548,0.8902302889982221,0.9846855809759261,38916,1084,1571,10766,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.866036430712474,4337,0.99675,4000,0.75575,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,0,recalibrated,0.31572332978248596,30000,0,0.0,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,1,fixed,0.07161957025527954,30079,79,0.002626417101632368,0.03155,0.873713220393937,0.8951914292832821,0.8843219296086635,0.9864317226635325,38738,1262,1558,10779,79,1020.4649792836065,320220.6978465348,1252.8099598584813,79,1020.4649792836065,320220.6978465348,1252.8099598584813,True,False,0.869495042656214,4337,0.99675,4000,0.75525,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,1,recalibrated,0.2695285677909851,30079,79,0.002626417101632368,0.009575,0.8339142417119235,0.9641083309905351,0.894297635605007,0.9864317226635325,39617,383,2049,10288,79,1020.4649792836065,320220.6978465348,1252.8099598584813,79,1020.4649792836065,320220.6978465348,1252.8099598584813,True,False,0.8222273460917685,4337,0.996,4000,0.6845,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,2,fixed,0.07161957025527954,30158,158,0.005239074209165064,0.038225,0.8712815109021642,0.8754683173155237,0.8733698964046313,0.9851524773040448,38471,1529,1588,10749,158,2939.2132170183377,1579817.2869693483,2786.784829427413,79,1918.7482377347312,1259596.5891228137,1533.9748695689318,True,False,0.8641918376758128,4337,0.99675,4000,0.7535,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,2,recalibrated,0.15767355263233185,30158,158,0.005239074209165064,0.008325,0.8509362081543325,0.9692549164435417,0.90625,0.9851524773040448,39667,333,1839,10498,158,2939.2132170183377,1579817.2869693483,2786.784829427413,79,1918.7482377347312,1259596.5891228137,1533.9748695689318,True,False,0.8501268157712705,4337,0.9965,4000,0.70625,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,3,fixed,0.07161957025527954,30237,237,0.007838079174521282,0.02155,0.8878981924292778,0.9270480704129993,0.9070508839481638,0.9866561765421091,39138,862,1383,10954,237,11907.829266599652,12114776.348749764,4242.278424049394,79,8968.616049581315,10534959.061780415,1455.4935946219805,True,False,0.8791791560986857,4337,0.9965,4000,0.78875,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,3,recalibrated,0.29830771684646606,30237,237,0.007838079174521282,0.008225,0.8154332495744508,0.968331889498508,0.8853295784563936,0.9866561765421091,39671,329,2277,10060,237,11907.829266599652,12114776.348749764,4242.278424049394,79,8968.616049581315,10534959.061780415,1455.4935946219805,True,False,0.8309891630159096,4337,0.99575,4000,0.61825,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,4,fixed,0.07161957025527954,30316,316,0.010423538725425518,0.03255,0.875577531004296,0.8924322538003966,0.8839245530051962,0.9848908517062495,38698,1302,1535,10802,316,12623.652998917974,12237692.770226942,5461.930843362916,79,715.8237323183216,122916.42147717881,1219.6524193135224,True,False,0.8731842287295365,4337,0.99675,4000,0.757,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,4,recalibrated,0.3764868378639221,30316,316,0.010423538725425518,0.007075,0.8306719623895599,0.973126958503466,0.8962742697218822,0.9848908517062495,39717,283,2089,10248,316,12623.652998917974,12237692.770226942,5461.930843362916,79,715.8237323183216,122916.42147717881,1219.6524193135224,True,False,0.8100069172238875,4337,0.99575,4000,0.688,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
