scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,5,accumulate,fixed_ratio,0.005,0,fixed,0.0815638080239296,30000,0,0.0,0.019625,0.861230445002837,0.9312007011393515,0.8948498757737819,0.9845039829375051,39215,785,1712,10625,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8655752824533087,4337,0.99625,4000,0.7215,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,0,recalibrated,0.1613209992647171,30000,0,0.0,0.00945,0.8465591310691416,0.9650711513583441,0.9019387711041064,0.9845039829375051,39622,378,1893,10444,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8351394973483975,4337,0.99625,4000,0.70925,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,1,fixed,0.0815638080239296,30008,8,0.00026659557451346307,0.029825,0.8583934505957689,0.8987524399558686,0.8781094527363185,0.9835140633865608,38807,1193,1747,10590,8,467.70427733229064,546022.563184223,304.5318982247142,8,467.70427733229064,546022.563184223,304.5318982247142,True,False,0.8635001152870648,4337,0.997,4000,0.71425,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,1,recalibrated,0.2877110242843628,30008,8,0.00026659557451346307,0.0069,0.7969522574369782,0.9726948951325682,0.8760971263087548,0.9835140633865608,39724,276,2505,9832,8,467.70427733229064,546022.563184223,304.5318982247142,8,467.70427733229064,546022.563184223,304.5318982247142,True,False,0.8079317500576435,4337,0.9955,4000,0.5865,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,2,fixed,0.0815638080239296,30015,15,0.0004997501249375312,0.02675,0.8759828159195915,0.9099099099099099,0.8926241017593128,0.9860191973332253,38930,1070,1530,10807,15,566.1720828056466,557612.2903119009,463.36752468315694,7,98.4678054733559,11589.727127677905,158.8356264584427,True,False,0.8777957113211897,4337,0.99675,4000,0.75325,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,2,recalibrated,0.28479892015457153,30015,15,0.0004997501249375312,0.0094,0.80570641160736,0.9635517642497092,0.8775879574449301,0.9860191973332253,39624,376,2397,9940,15,566.1720828056466,557612.2903119009,463.36752468315694,7,98.4678054733559,11589.727127677905,158.8356264584427,True,False,0.800092229651833,4337,0.99575,4000,0.62175,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,3,fixed,0.0815638080239296,30023,23,0.0007660793391733005,0.02685,0.8595282483585961,0.9080321972940572,0.8831147199666874,0.9844223149874362,38926,1074,1733,10604,23,663.9835743900571,582160.6344415292,530.962693017512,8,97.81149158441055,24548.344129628284,67.59516833435504,True,False,0.8664975789716394,4337,0.99675,4000,0.71475,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,3,recalibrated,0.26355236768722534,30023,23,0.0007660793391733005,0.0098,0.8342384696441598,0.9633096218644702,0.8941401329221146,0.9844223149874362,39608,392,2045,10292,23,663.9835743900571,582160.6344415292,530.962693017512,8,97.81149158441055,24548.344129628284,67.59516833435504,True,False,0.8185381600184459,4337,0.99625,4000,0.68925,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,4,fixed,0.0815638080239296,30030,30,0.000999000999000999,0.020725,0.8593661343924779,0.9274779109439244,0.8921238640188489,0.9843310853530032,39171,829,1735,10602,30,752.8532752862924,604757.6433411648,665.3354028413439,7,88.86970089623523,22597.008899635588,134.37270982383185,True,False,0.8676504496195527,4337,0.9965,4000,0.71325,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,4,recalibrated,0.28880003094673157,30030,30,0.000999000999000999,0.005925,0.801329334522169,0.9765879679936778,0.8803205699020481,0.9843310853530032,39763,237,2451,9886,30,752.8532752862924,604757.6433411648,665.3354028413439,7,88.86970089623523,22597.008899635588,134.37270982383185,True,False,0.8249942356467604,4337,0.99575,4000,0.58125,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
