scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,0,fixed,0.07161957025527954,30000,0,0.0,,,0.0,0.0,0.5364391000002797,0.0271,0.8726594796141688,0.9085232067510548,0.8902302889982221,0.9846855809759261,38916,1084,1571,10766,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.866036430712474,4337,0.99675,4000,0.75575,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,0,recalibrated,0.31572332978248596,30000,0,0.0,,,0.0,0.0,0.5364391000002797,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,1,fixed,0.07161957025527954,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,1.750000228639692e-05,0.5083877999986726,0.03625,0.8740374483261732,0.881468159895365,0.8777370777370777,0.9842974031369053,38550,1450,1554,10783,375,15734.686271282035,22025016.372338958,169689.31468779908,375,15734.686271282035,22025016.372338958,169689.31468779908,True,False,0.8678810237491353,4337,0.99675,4000,0.758,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,1,recalibrated,0.30132246017456055,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,1.750000228639692e-05,0.5083877999986726,0.008125,0.8416957120855961,0.9696516948361191,0.9011542133125054,0.9842974031369053,39675,325,1953,10384,375,15734.686271282035,22025016.372338958,169689.31468779908,375,15734.686271282035,22025016.372338958,169689.31468779908,True,False,0.7975559142264238,4337,0.996,4000,0.73525,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,2,fixed,0.07161957025527954,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,1.880000127130188e-05,0.5131550000005518,0.018225,0.8729837075464051,0.9366031828854683,0.9036751132740392,0.9846571958336711,39271,729,1567,10770,750,23085.2759162735,137436682.6751829,309685.93693807,375,7350.589644991464,115411666.30284394,139996.62225027094,True,False,0.8713396356928753,4337,0.99675,4000,0.751,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,2,recalibrated,0.31310439109802246,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,1.880000127130188e-05,0.5131550000005518,0.00975,0.8297803355759099,0.963301025689282,0.8915694129942519,0.9846571958336711,39610,390,2100,10237,750,23085.2759162735,137436682.6751829,309685.93693807,375,7350.589644991464,115411666.30284394,139996.62225027094,True,False,0.8086234724463915,4337,0.996,4000,0.6865,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,3,fixed,0.07161957025527954,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,3.389999983482994e-05,0.6127016999998887,0.02345,0.8568533679176461,0.9184985663393865,0.8866057200369034,0.9844559627543162,39062,938,1766,10571,1125,32866.8777160682,300051297.897686,527609.7624176377,375,9781.601799794702,162614615.2225031,217923.82547956775,True,False,0.8605026516024902,4337,0.99675,4000,0.713,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,3,recalibrated,0.3382185697555542,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,3.389999983482994e-05,0.6127016999998887,0.0098,0.786009564724001,0.9611458023590048,0.8647997859627218,0.9844559627543162,39608,392,2640,9697,1125,32866.8777160682,300051297.897686,527609.7624176377,375,9781.601799794702,162614615.2225031,217923.82547956775,True,False,0.8083928983168088,4337,0.996,4000,0.55175,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,4,fixed,0.07161957025527954,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.9999999242136255e-05,0.5006586000017705,0.051775,0.8588797924941234,0.8365043025183547,0.8475443928971363,0.9837436927535057,37929,2071,1741,10596,1500,57848.24553438738,345146545.1699352,732907.4908393356,375,24981.36781831918,45095247.27224924,205297.7284216978,True,False,0.869495042656214,4337,0.9965,4000,0.70975,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,4,recalibrated,0.2999706268310547,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.9999999242136255e-05,0.5006586000017705,0.009675,0.8295371646267325,0.9635627530364372,0.8915410750065337,0.9837436927535057,39613,387,2103,10234,1500,57848.24553438738,345146545.1699352,732907.4908393356,375,24981.36781831918,45095247.27224924,205297.7284216978,True,False,0.8123126585197141,4337,0.9955,4000,0.68225,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
a1truth,xgboost,3,accumulate,fixed_ratio,ground_truth,none,0.0,0.0,0.2,5,fixed,0.07161957025527954,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,3.5600000046542846e-05,0.5813061999997444,0.027325,0.8507740941882144,0.9056864267840193,0.8773718966814344,0.9834541430250466,38907,1093,1841,10496,1875,68164.6020662382,357545392.42303044,910416.806546188,375,10316.356531850834,12398847.253095202,177509.31570685233,True,False,0.8607332257320729,4337,0.99675,4000,0.694,4000,0.7,1.0,cicids,,,,0.5609662844951115,0.4208603221420441,0.7174266206122707,2000
