scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
control,rf,3,0.0,0,fixed,0.12533333333333332,30000,0,0.0,0.0379,0.876469157817946,0.8770378781734123,0.8767534257682641,0.9640888019777903,38484,1516,1524,10813,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8575051879179156,4337,0.9965,4000,0.777,4000,,cicids
control,rf,3,0.0,0,recalibrated,0.2163729603729604,30000,0,0.0,0.0097,0.8587176785280052,0.9646694591149153,0.9086152922509542,0.9640888019777903,39612,388,1743,10594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8349089232188148,4337,0.99625,4000,0.747,4000,,cicids
control,rf,3,0.0,1,fixed,0.12533333333333332,30000,0,0.0,0.06715,0.8721731377158142,0.800237988993009,0.8346584959081564,0.9668991235713706,37314,2686,1577,10760,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8607332257320729,4337,0.99675,4000,0.76,4000,,cicids
control,rf,3,0.0,1,recalibrated,0.462,30000,0,0.0,0.01,0.7784712652995055,0.960015993602559,0.8597645584351641,0.9668991235713706,39600,400,2733,9604,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7950195988010145,4337,0.99475,4000,0.54425,4000,,cicids
control,rf,3,0.0,2,fixed,0.12533333333333332,30000,0,0.0,0.057425,0.878252411445246,0.8250837648492233,0.8508382739801327,0.9646137634757235,37703,2297,1502,10835,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8729536545999539,4337,0.99675,4000,0.7655,4000,,cicids
control,rf,3,0.0,2,recalibrated,0.48,30000,0,0.0,0.01,0.7522898597714193,0.9586819543435595,0.8430375147606504,0.9646137634757235,39600,400,3056,9281,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7848743370993775,4337,0.9945,4000,0.47475,4000,,cicids
control,rf,3,0.0,3,fixed,0.12533333333333332,30000,0,0.0,0.02775,0.8692550863256869,0.9062024674666216,0.8873443382565884,0.9592366610602253,38890,1110,1613,10724,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.851740834678349,4337,0.9965,4000,0.761,4000,,cicids
control,rf,3,0.0,3,recalibrated,0.36,30000,0,0.0,0.0098,0.842344167950069,0.9636498516320475,0.8989230569612042,0.9592366610602253,39608,392,1945,10392,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8044731381139036,4337,0.99475,4000,0.731,4000,,cicids
control,rf,3,0.0,4,fixed,0.12533333333333332,30000,0,0.0,0.048175,0.8724163086649915,0.8481481481481481,0.8601110800335637,0.9659735713706736,38073,1927,1574,10763,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8614249481208208,4337,0.99675,4000,0.76,4000,,cicids
control,rf,3,0.0,4,recalibrated,0.46399999999999997,30000,0,0.0,0.009875,0.8399124584582962,0.9632797248303431,0.8973759418030658,0.9659735713706736,39605,395,1975,10362,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7938667281531012,4337,0.995,4000,0.73475,4000,,cicids
