scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
control,xgboost,3,0.0,0,fixed,0.07161957025527954,30000,0,0.0,0.0271,0.8726594796141688,0.9085232067510548,0.8902302889982221,0.9846855809759261,38916,1084,1571,10766,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.866036430712474,4337,0.99675,4000,0.75575,4000,,cicids
control,xgboost,3,0.0,0,recalibrated,0.31572332978248596,30000,0,0.0,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,,cicids
control,xgboost,3,0.0,1,fixed,0.07161957025527954,30000,0,0.0,0.0413,0.8723352516819324,0.8669244401482198,0.8696214294371944,0.9841161374321148,38348,1652,1575,10762,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8639612635462302,4337,0.99675,4000,0.757,4000,,cicids
control,xgboost,3,0.0,1,recalibrated,0.40023642778396606,30000,0,0.0,0.01,0.7941963200129691,0.9607766228672289,0.8695806523186156,0.9841161374321148,39600,400,2539,9798,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7950195988010145,4337,0.995,4000,0.5925,4000,,cicids
control,xgboost,3,0.0,2,fixed,0.07161957025527954,30000,0,0.0,0.0397,0.8667423198508551,0.8706945688461851,0.8687139491429036,0.9820127674880441,38412,1588,1644,10693,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.86741987548997,4337,0.99675,4000,0.736,4000,,cicids
control,xgboost,3,0.0,2,recalibrated,0.30579668283462524,30000,0,0.0,0.009925,0.7998703088271054,0.9613248904042864,0.8731970622068844,0.9820127674880441,39603,397,2469,9868,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8134655291676274,4337,0.996,4000,0.589,4000,,cicids
control,xgboost,3,0.0,3,fixed,0.07161957025527954,30000,0,0.0,0.0285,0.8599335332738915,0.902970465571538,0.880926679398821,0.9831226655588879,38860,1140,1728,10609,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8667281531012221,4337,0.99675,4000,0.71575,4000,,cicids
control,xgboost,3,0.0,3,recalibrated,0.40806424617767334,30000,0,0.0,0.00535,0.7921698954364919,0.978572143786923,0.8755599354954309,0.9831226655588879,39786,214,2564,9773,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7959418953193451,4337,0.99575,4000,0.5845,4000,,cicids
control,xgboost,3,0.0,4,fixed,0.07161957025527954,30000,0,0.0,0.054975,0.862932641647078,0.8288049824834566,0.8455245810499562,0.9828852486422955,37801,2199,1691,10646,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8722619322112058,4337,0.99675,4000,0.719,4000,,cicids
control,xgboost,3,0.0,4,recalibrated,0.4494009017944336,30000,0,0.0,0.007875,0.7880359893004782,0.9686161203546877,0.8690444265665506,0.9828852486422955,39685,315,2615,9722,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7844131888402122,4337,0.995,4000,0.585,4000,,cicids
