scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,0,fixed,0.11599999999999999,30000,0,0.0,,,0.0,0.0,4.3166545999993104,0.05865,0.8708762259868688,0.8207792207792208,0.8450859322767137,0.9692105161303396,37654,2346,1593,10744,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8600415033433249,4337,0.99675,4000,0.75675,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,0,recalibrated,0.3502222222222222,30000,0,0.0,,,0.0,0.0,4.3166545999993104,0.009825,0.8430736807976007,0.9635908838243469,0.8993126107820675,0.9692105161303396,39607,393,1936,10401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99525,4000,0.731,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,1,fixed,0.11599999999999999,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,5.230000169831328e-05,1.3975643000012496,0.053825,0.8759828159195915,0.8338734567901235,0.8544096137881962,0.9382919155791521,37847,2153,1530,10807,375,6150.0,3009400.0,14968.331917,375,6150.0,3009400.0,14968.331917,True,False,0.8738759511182845,4337,0.9965,4000,0.75775,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,1,recalibrated,0.3186666666666667,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,5.230000169831328e-05,1.3975643000012496,0.00985,0.8463970171030234,0.963639719453673,0.9012212488672162,0.9382919155791521,39606,394,1895,10442,375,6150.0,3009400.0,14968.331917,375,6150.0,3009400.0,14968.331917,True,False,0.8044731381139036,4337,0.99525,4000,0.743,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,2,fixed,0.11599999999999999,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,2.2000000171829015e-05,1.3565068999996583,0.0617,0.8806841209370188,0.8148953723843096,0.8465134398130113,0.952558801775148,37532,2468,1472,10865,750,11581.0,6532589.0,28778.738328,375,5431.0,3523189.0,13810.406411,True,False,0.8826377680424257,4337,0.997,4000,0.76225,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,2,recalibrated,0.3520952380952382,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,2.2000000171829015e-05,1.3565068999996583,0.0091,0.8419388830347735,0.966142684401451,0.8997747747747747,0.952558801775148,39636,364,1950,10387,750,11581.0,6532589.0,28778.738328,375,5431.0,3523189.0,13810.406411,True,False,0.7862577818768735,4337,0.9955,4000,0.74875,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,3,fixed,0.11599999999999999,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,1.8200003978563473e-05,1.267533199999889,0.071925,0.8798735511064278,0.7904893678997961,0.8327899037170586,0.9508243049363703,37123,2877,1482,10855,1125,16665.0,9043752.0,43871.30134,375,5084.0,2511163.0,15092.563012,True,False,0.8798708784874337,4337,0.9965,4000,0.76325,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,3,recalibrated,0.3967326792586325,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,1.8200003978563473e-05,1.267533199999889,0.00995,0.8340763556780416,0.9627619760479041,0.8938110749185667,0.9508243049363703,39602,398,2047,10290,1125,16665.0,9043752.0,43871.30134,375,5084.0,2511163.0,15092.563012,True,False,0.7712704634540004,4337,0.99425,4000,0.742,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,4,fixed,0.11599999999999999,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.4900004063965753e-05,1.2857044000011228,0.0726,0.8785766393774823,0.7886924252346649,0.8312116564417177,0.9638139509199968,37096,2904,1498,10839,1500,22243.0,13548250.0,59966.660891,375,5578.0,4504498.0,16095.359551,True,False,0.8775651371916071,4337,0.99675,4000,0.7615,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,4,recalibrated,0.4616666666666667,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.4900004063965753e-05,1.2857044000011228,0.009075,0.8279970819486099,0.9656834940442428,0.8915557495090553,0.9638139509199968,39637,363,2122,10215,1500,22243.0,13548250.0,59966.660891,375,5578.0,4504498.0,16095.359551,True,False,0.7546691261240489,4337,0.994,4000,0.7415,4000,,1.0,cicids,,,
