scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,0,fixed,0.0815638080239296,30000,0,0.0,,,0.0,0.0,0.5392835999991803,0.019625,0.861230445002837,0.9312007011393515,0.8948498757737819,0.9845039829375051,39215,785,1712,10625,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8655752824533087,4337,0.99625,4000,0.7215,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,0,recalibrated,0.1613209992647171,30000,0,0.0,,,0.0,0.0,0.5392835999991803,0.00945,0.8465591310691416,0.9650711513583441,0.9019387711041064,0.9845039829375051,39622,378,1893,10444,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8351394973483975,4337,0.99625,4000,0.70925,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,1,fixed,0.0815638080239296,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,1.5300000086426735e-05,0.41168800000014016,0.04935,0.8682824025289779,0.8443953965000788,0.8561723214642529,0.9849076760962957,38026,1974,1625,10712,375,6427.0,3932949.0,15464.262104,375,6427.0,3932949.0,15464.262104,True,False,0.8542771501037584,4337,0.99675,4000,0.755,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,1,recalibrated,0.5790176391601562,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,1.5300000086426735e-05,0.41168800000014016,0.0048,0.8322120450676825,0.9816426044554929,0.9007720652746096,0.9849076760962957,39808,192,2070,10267,375,6427.0,3932949.0,15464.262104,375,6427.0,3932949.0,15464.262104,True,False,0.7659672584735993,4337,0.9955,4000,0.74075,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,2,fixed,0.0815638080239296,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,3.7599998904624954e-05,0.5265997999995307,0.04185,0.8833590013779687,0.8668469615017499,0.8750250913324501,0.9875167899408284,38326,1674,1439,10898,750,14068.0,8515799.0,31074.017848,375,7641.0,4582850.0,15609.755744,True,False,0.866036430712474,4337,0.99725,4000,0.78825,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,2,recalibrated,0.44978228211402893,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,3.7599998904624954e-05,0.5265997999995307,0.01,0.8308340763556781,0.9624413145539906,0.8918084134510811,0.9875167899408284,39600,400,2087,10250,750,14068.0,8515799.0,31074.017848,375,7641.0,4582850.0,15609.755744,True,False,0.7604334793636154,4337,0.995,4000,0.743,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,3,fixed,0.0815638080239296,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.7399997634347528e-05,0.5175420999985363,0.049675,0.8866012807003323,0.8462669245647969,0.8659646900482938,0.9882563092729189,38013,1987,1399,10938,1125,19582.0,12680343.0,48247.296976,375,5514.0,4164544.0,17173.279128,True,False,0.8528937053262624,4337,0.99675,4000,0.813,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,3,recalibrated,0.569725513458252,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.7399997634347528e-05,0.5175420999985363,0.00805,0.8187565858798735,0.9691067830758898,0.8876098418277679,0.9882563092729189,39678,322,2236,10101,1125,19582.0,12680343.0,48247.296976,375,5514.0,4164544.0,17173.279128,True,False,0.7256167857966336,4337,0.99425,4000,0.74425,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,4,fixed,0.0815638080239296,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.0399998902576044e-05,0.42545350000000326,0.06485,0.8865202237172732,0.8082920700613406,0.845600742229782,0.985230026546162,37406,2594,1400,10937,1500,25545.0,17061797.0,62494.810119,375,5963.0,4381454.0,14247.513143,True,False,0.857966336177081,4337,0.9965,4000,0.8075,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,4,recalibrated,0.4979898929595947,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.0399998902576044e-05,0.42545350000000326,0.009875,0.8114614574045554,0.96204113011724,0.8803587917161325,0.985230026546162,39605,395,2326,10011,1500,25545.0,17061797.0,62494.810119,375,5963.0,4381454.0,14247.513143,True,False,0.7046345400046115,4337,0.995,4000,0.74375,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,5,fixed,0.0815638080239296,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,4.27999984822236e-05,0.48273580000022775,0.066275,0.9052443868039232,0.8081626745784789,0.8539532038538004,0.9869417858879792,37349,2651,1169,11168,1875,32254.0,22138329.0,77535.40304800001,375,6709.0,5076532.0,15040.592929,True,False,0.9001614018907078,4337,0.997,4000,0.819,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,5,recalibrated,0.5360931158065796,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,4.27999984822236e-05,0.48273580000022775,0.01,0.8288887087622598,0.9623564840956146,0.8906501763706833,0.9869417858879792,39600,400,2111,10226,1875,32254.0,22138329.0,77535.40304800001,375,6709.0,5076532.0,15040.592929,True,False,0.7530551072169702,4337,0.99475,4000,0.74525,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,6,fixed,0.0815638080239296,32250,2250,0.06976744186046512,1.0,0.0,0.06976744186046512,1.710000287857838e-05,0.41560589999789954,0.040925,0.9210504985004458,0.8740769230769231,0.896949125784426,0.9893973534895031,38363,1637,974,11363,2250,37691.0,25467070.0,94043.65554600001,375,5437.0,3328741.0,16508.252498,True,False,0.881023749135347,4337,0.9975,4000,0.888,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,6,recalibrated,0.3079233467578888,32250,2250,0.06976744186046512,1.0,0.0,0.06976744186046512,1.710000287857838e-05,0.41560589999789954,0.008475,0.8399935154413553,0.9683236778172304,0.8996050175788879,0.9893973534895031,39661,339,1974,10363,2250,37691.0,25467070.0,94043.65554600001,375,5437.0,3328741.0,16508.252498,True,False,0.7804934286373069,4337,0.99525,4000,0.74925,4000,,1.0,cicids,,,
junk,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.2,7,fixed,0.0815638080239296,32625,2625,0.08045977011494253,1.0,0.0,0.08045977011494253,2.0600000425474718e-05,0.4232104000002437,0.05825,0.9000567398881414,0.8265594759565282,0.8617438205735128,0.986909863621626,37670,2330,1233,11104,2625,43536.0,28656822.0,108752.46531300001,375,5845.0,3189752.0,14708.809767,True,False,0.8720313580816232,4337,0.99675,4000,0.83375,4000,,1.0,cicids,,,
