scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,rf,4,0.2,0,fixed,0.11,30000,0,0.0,0.047625,0.8770365566993596,0.850294695481336,0.8634586226159126,0.9744534641728135,38095,1905,1517,10820,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.857966336177081,4337,0.9965,4000,0.77825,4000,,cicids
s0,rf,4,0.2,0,recalibrated,0.2346666666666667,30000,0,0.0,0.00985,0.8592040204263597,0.9641622703292705,0.9086622948009085,0.9744534641728135,39606,394,1737,10600,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8360617938667282,4337,0.996,4000,0.7475,4000,,cicids
s0,rf,4,0.2,1,fixed,0.11,30375,375,0.012345679012345678,0.035175,0.9238064359244549,0.8901124648547329,0.906646513662941,0.9883406075220881,38593,1407,940,11397,375,4785.0,4112236.0,28643.379634,375,4785.0,4112236.0,28643.379634,True,False,0.8872492506340789,4337,0.9965,4000,0.89075,4000,,cicids
s0,rf,4,0.2,1,recalibrated,0.41219047619047616,30375,375,0.012345679012345678,0.009875,0.8586366215449461,0.9640516927557335,0.9082958199356914,0.9883406075220881,39605,395,1744,10593,375,4785.0,4112236.0,28643.379634,375,4785.0,4112236.0,28643.379634,True,False,0.8088540465759742,4337,0.99525,4000,0.776,4000,,cicids
s0,rf,4,0.2,2,fixed,0.11,30750,750,0.024390243902439025,0.037575,0.9423684850449866,0.8855206032447254,0.9130605513233331,0.9801783739969199,38497,1503,711,11626,750,9588.0,8302299.0,57107.940508,375,4803.0,4190063.0,28464.560874,True,False,0.8854046575974176,4337,0.997,4000,0.9495,4000,,cicids
s0,rf,4,0.2,2,recalibrated,0.40031578947368424,30750,750,0.024390243902439025,0.00995,0.862122071816487,0.9639296719231466,0.9101878396303111,0.9801783739969199,39602,398,1701,10636,750,9588.0,8302299.0,57107.940508,375,4803.0,4190063.0,28464.560874,True,False,0.802859119206825,4337,0.995,4000,0.7935,4000,,cicids
s0,rf,4,0.2,3,fixed,0.11,31125,1125,0.03614457831325301,0.0657,0.9443949096214639,0.8159534981441278,0.8754884280132252,0.9897606549404231,37372,2628,686,11651,1125,14414.0,12680127.0,86686.598063,375,4826.0,4377828.0,29578.657555,True,False,0.8780262854507724,4337,0.99675,4000,0.964,4000,,cicids
s0,rf,4,0.2,3,recalibrated,0.37733333333333335,31125,1125,0.03614457831325301,0.009925,0.8754154170381778,0.9645440743056176,0.9178210249001445,0.9897606549404231,39603,397,1537,10800,1125,14414.0,12680127.0,86686.598063,375,4826.0,4377828.0,29578.657555,True,False,0.8095457689647222,4337,0.995,4000,0.82725,4000,,cicids
s0,rf,4,0.2,4,fixed,0.11,31500,1500,0.047619047619047616,0.0623,0.9400988895193321,0.8231369765791341,0.877738676353729,0.9899542068574207,37508,2492,739,11598,1500,19088.0,16844851.0,115813.60607499999,375,4674.0,4164724.0,29127.008012,True,False,0.8895549919299055,4337,0.99675,4000,0.93825,4000,,cicids
s0,rf,4,0.2,4,recalibrated,0.486,31500,1500,0.047619047619047616,0.009925,0.8564480830023506,0.9637872845024172,0.9069527896995709,0.9899542068574207,39603,397,1771,10566,1500,19088.0,16844851.0,115813.60607499999,375,4674.0,4164724.0,29127.008012,True,False,0.802167396818077,4337,0.993,4000,0.77875,4000,,cicids
s0,rf,4,0.2,5,fixed,0.11,31875,1875,0.058823529411764705,0.077475,0.9383966928750912,0.7888389206868357,0.8571428571428572,0.9881649165113074,36901,3099,760,11577,1875,23959.0,20986207.0,144941.32552399999,375,4871.0,4141356.0,29127.719449,True,False,0.8833294904311736,4337,0.9965,4000,0.94,4000,,cicids
