scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,rf,5,accumulate,fixed_ratio,0.01,0,fixed,0.10614814814814814,30000,0,0.0,0.0458,0.8776850125638324,0.8552922590837283,0.8663439612753531,0.961020377725541,38168,1832,1509,10828,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8593497809545769,4337,0.9965,4000,0.77875,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,0,recalibrated,0.285016317016317,30000,0,0.0,0.00995,0.8056253546243008,0.9614975331334042,0.8766869542206932,0.961020377725541,39602,398,2398,9939,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8194604565367766,4337,0.996,4000,0.60025,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,1,fixed,0.10614814814814814,30015,15,0.0004997501249375312,0.013875,0.8840885142255005,0.951579131041703,0.9165931341653011,0.9776667534651861,39445,555,1430,10907,15,197.0,156567.0,1153.874076,15,197.0,156567.0,1153.874076,True,False,0.8575051879179156,4337,0.9965,4000,0.8005,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,1,recalibrated,0.1271111111111111,30015,15,0.0004997501249375312,0.01,0.8803598930047823,0.9644791759168813,0.9205017374353759,0.9776667534651861,39600,400,1476,10861,15,197.0,156567.0,1153.874076,15,197.0,156567.0,1153.874076,True,False,0.8549688724925063,4337,0.9965,4000,0.79175,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,2,fixed,0.10614814814814814,30030,30,0.000999000999000999,0.017675,0.9014347086001459,0.9402265809942509,0.9204220980757294,0.9846630136986302,39293,707,1216,11121,30,378.0,303733.0,2265.693403,15,181.0,147166.0,1111.819327,True,False,0.8729536545999539,4337,0.99675,4000,0.837,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,2,recalibrated,0.17333333333333337,30030,30,0.000999000999000999,0.009975,0.8939774661587095,0.9650857542877144,0.9281716810435514,0.9846630136986302,39601,399,1308,11029,30,378.0,303733.0,2265.693403,15,181.0,147166.0,1111.819327,True,False,0.8621166705095689,4337,0.9965,4000,0.826,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,3,fixed,0.10614814814814814,30045,45,0.0014977533699450823,0.055125,0.9081624381940504,0.835558207174286,0.8703487920453663,0.9693291491043203,37795,2205,1133,11204,45,559.0,471392.0,3474.7812430000004,15,181.0,167659.0,1209.08784,True,False,0.8722619322112058,4337,0.997,4000,0.85825,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,3,recalibrated,0.32666666666666666,30045,45,0.0014977533699450823,0.009925,0.860338818189187,0.9639451457633276,0.9091999314716463,0.9693291491043203,39603,397,1723,10614,45,559.0,471392.0,3474.7812430000004,15,181.0,167659.0,1209.08784,True,False,0.8180770117592806,4337,0.9955,4000,0.771,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,4,fixed,0.10614814814814814,30061,61,0.0020292072785336483,0.049075,0.8975439734133096,0.8494169990794722,0.8728175619753281,0.9826121474021237,38037,1963,1264,11073,61,748.0,652713.0,4607.198524,16,189.0,181321.0,1132.417281,True,False,0.8616555222504035,4337,0.99675,4000,0.83725,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,4,recalibrated,0.2866838266838267,30061,61,0.0020292072785336483,0.01,0.8634189835454325,0.9638074556641332,0.9108555303775279,0.9826121474021237,39600,400,1685,10652,61,748.0,652713.0,4607.198524,16,189.0,181321.0,1132.417281,True,False,0.8247636615171777,4337,0.99575,4000,0.773,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,5,fixed,0.10614814814814814,30076,76,0.0025269317728421332,0.0479,0.9020021074815595,0.8531125421649801,0.876876403608999,0.9779358930453108,38084,1916,1209,11128,76,940.0,823979.0,6033.631792,15,192.0,171266.0,1426.433268,True,False,0.8697256167857966,4337,0.9965,4000,0.8425,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,5,recalibrated,0.3453333333333333,30076,76,0.0025269317728421332,0.01,0.860257761206128,0.963679288114047,0.9090364025695932,0.9779358930453108,39600,400,1724,10613,76,940.0,823979.0,6033.631792,15,192.0,171266.0,1426.433268,True,False,0.8187687341480286,4337,0.99525,4000,0.77025,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,6,fixed,0.10614814814814814,30091,91,0.0030241600478548404,0.0372,0.9007862527356731,0.8819141337989048,0.8912503007458498,0.9704545077814704,38512,1488,1224,11113,91,1168.0,985454.0,7068.589962,15,228.0,161475.0,1034.95817,True,False,0.8623472446391515,4337,0.9965,4000,0.84675,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,6,recalibrated,0.426,30091,91,0.0030241600478548404,0.009625,0.8519899489341006,0.964665932452276,0.9048336418026084,0.9704545077814704,39615,385,1826,10511,91,1168.0,985454.0,7068.589962,15,228.0,161475.0,1034.95817,True,False,0.802859119206825,4337,0.99525,4000,0.762,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,7,fixed,0.10614814814814814,30106,106,0.0035208928452800108,0.03095,0.896166004701305,0.8993004717748495,0.8977305022126588,0.9807946735430008,38762,1238,1281,11056,106,1371.0,1164756.0,8299.244911,15,203.0,179302.0,1230.654949,True,False,0.8581969103066636,4337,0.997,4000,0.8365,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,7,recalibrated,0.25179104477611935,30106,106,0.0035208928452800108,0.0098,0.8688498014103915,0.964719647196472,0.9142784032753326,0.9807946735430008,39608,392,1618,10719,106,1371.0,1164756.0,8299.244911,15,203.0,179302.0,1230.654949,True,False,0.8183075858888633,4337,0.99625,4000,0.79625,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,8,fixed,0.10614814814814814,30121,121,0.004017130905348428,0.041925,0.9137553700251276,0.8705019305019305,0.8916043816981056,0.9758752279727648,38323,1677,1064,11273,121,1608.0,1338058.0,9355.615986,15,237.0,173302.0,1056.371075,True,False,0.8692644685266313,4337,0.997,4000,0.87875,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,8,recalibrated,0.3299999999999999,30121,121,0.004017130905348428,0.009775,0.8682013455459188,0.9647811205188255,0.9139468407355263,0.9758752279727648,39609,391,1626,10711,121,1608.0,1338058.0,9355.615986,15,237.0,173302.0,1056.371075,True,False,0.8148489739451233,4337,0.9955,4000,0.79875,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,9,fixed,0.10614814814814814,30136,136,0.004512874966817096,0.04785,0.9133500851098322,0.8548020027309968,0.8831067048081821,0.9792687738104888,38086,1914,1069,11268,136,1790.0,1518337.0,10371.888906,15,182.0,180279.0,1016.27292,True,False,0.869495042656214,4337,0.99675,4000,0.8775,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,9,recalibrated,0.3306666666666666,30136,136,0.004512874966817096,0.01,0.8605819891383643,0.9636924752654987,0.9092232593988182,0.9792687738104888,39600,400,1720,10617,136,1790.0,1518337.0,10371.888906,15,182.0,180279.0,1016.27292,True,False,0.8166935669817846,4337,0.9945,4000,0.77425,4000,,cicids
