scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,xgboost,3,accumulate,fixed_ratio,0.01,0,fixed,0.07161957025527954,30000,0,0.0,0.0271,0.8726594796141688,0.9085232067510548,0.8902302889982221,0.9846855809759261,38916,1084,1571,10766,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.866036430712474,4337,0.99675,4000,0.75575,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,0,recalibrated,0.31572332978248596,30000,0,0.0,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,1,fixed,0.07161957025527954,30015,15,0.0004997501249375312,0.048775,0.8759828159195915,0.8470763442545853,0.8612871089858538,0.9818483383318473,38049,1951,1530,10807,15,179.0,167846.0,1252.320813,15,179.0,167846.0,1252.320813,True,False,0.8706479133041273,4337,0.99675,4000,0.761,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,1,recalibrated,0.4466803967952728,30015,15,0.0004997501249375312,0.009975,0.8429115668314825,0.9630487127245786,0.8989842230386859,0.9818483383318473,39601,399,1938,10399,15,179.0,167846.0,1252.320813,15,179.0,167846.0,1252.320813,True,False,0.7966336177080932,4337,0.9945,4000,0.7415,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,2,fixed,0.07161957025527954,30030,30,0.000999000999000999,0.03735,0.8736321634108778,0.8782594524119948,0.8759396968588727,0.9821652579638486,38506,1494,1559,10778,30,392.0,335795.0,2392.3354950000003,15,213.0,167949.0,1140.014682,True,False,0.8667281531012221,4337,0.99675,4000,0.758,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,2,recalibrated,0.2956734001636505,30030,30,0.000999000999000999,0.009325,0.8503688092729189,0.9656664212076583,0.9043575707943623,0.9821652579638486,39627,373,1846,10491,30,392.0,335795.0,2392.3354950000003,15,213.0,167949.0,1140.014682,True,False,0.814387825685958,4337,0.99575,4000,0.744,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,3,fixed,0.07161957025527954,30045,45,0.0014977533699450823,0.025575,0.8726594796141688,0.9132241920434303,0.8924811406781067,0.9822936897138689,38977,1023,1571,10766,45,587.0,515952.0,3740.5404900000003,15,195.0,180157.0,1348.204995,True,False,0.8662670048420568,4337,0.99675,4000,0.7555,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,3,recalibrated,0.3546680808067322,30045,45,0.0014977533699450823,0.0084,0.8450190483910189,0.9687761360468358,0.902675556325223,0.9822936897138689,39664,336,1912,10425,45,587.0,515952.0,3740.5404900000003,15,195.0,180157.0,1348.204995,True,False,0.802167396818077,4337,0.99575,4000,0.74075,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,4,fixed,0.07161957025527954,30061,61,0.0020292072785336483,0.02735,0.8759017589365324,0.9080672268907563,0.8916945166481,0.9870336568857907,38906,1094,1531,10806,61,791.0,695699.0,5132.816941,16,204.0,179747.0,1392.276451,True,False,0.8683421720083007,4337,0.99675,4000,0.76325,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,4,recalibrated,0.2820929288864136,30061,61,0.0020292072785336483,0.01,0.8497203534084461,0.9632454286501884,0.9029285099052541,0.9870336568857907,39600,400,1854,10483,61,791.0,695699.0,5132.816941,16,204.0,179747.0,1392.276451,True,False,0.8081623241872262,4337,0.99575,4000,0.74875,4000,,cicids
