scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,xgboost,4,0.2,0,fixed,0.05549756437540054,30000,0,0.0,0.0555,0.8663370349355597,0.8280136349550666,0.8467419290948703,0.9802114259949745,37780,2220,1649,10688,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8669587272308047,4337,0.99675,4000,0.73525,4000,,cicids
s0,xgboost,4,0.2,0,recalibrated,0.45792824029922485,30000,0,0.0,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,,cicids
s0,xgboost,4,0.2,1,fixed,0.05549756437540054,30375,375,0.012345679012345678,0.0653,0.9376671800275593,0.8157968970380818,0.8724968887883244,0.9892973838858717,37388,2612,769,11568,375,4785.0,4112236.0,28643.379634,375,4785.0,4112236.0,28643.379634,True,False,0.8842517869495042,4337,0.9975,4000,0.93575,4000,,cicids
s0,xgboost,4,0.2,1,recalibrated,0.17039503157138824,30375,375,0.012345679012345678,0.00995,0.8706330550376915,0.9642696830954305,0.9150621911739649,0.9892973838858717,39602,398,1596,10741,375,4785.0,4112236.0,28643.379634,375,4785.0,4112236.0,28643.379634,True,False,0.8397509799400508,4337,0.99625,4000,0.7785,4000,,cicids
s0,xgboost,4,0.2,2,fixed,0.05549756437540054,30750,750,0.024390243902439025,0.06755,0.9455297073842912,0.8119301176306815,0.8736518873576993,0.9908924150928102,37298,2702,672,11665,750,9588.0,8302299.0,57107.940508,375,4803.0,4190063.0,28464.560874,True,False,0.8849435093382523,4337,0.9975,4000,0.95925,4000,,cicids
s0,xgboost,4,0.2,2,recalibrated,0.19240222871303558,30750,750,0.024390243902439025,0.0097,0.884493799140796,0.9656637168141593,0.9232982188941067,0.9908924150928102,39612,388,1425,10912,750,9588.0,8302299.0,57107.940508,375,4803.0,4190063.0,28464.560874,True,False,0.8289139958496656,4337,0.996,4000,0.83325,4000,,cicids
s0,xgboost,4,0.2,3,fixed,0.05549756437540054,31125,1125,0.03614457831325301,0.06815,0.9456918213504093,0.8106023761550754,0.8729517396184063,0.9910901839993516,37274,2726,670,11667,1125,14414.0,12680127.0,86686.598063,375,4826.0,4377828.0,29578.657555,True,False,0.8780262854507724,4337,0.99825,4000,0.9665,4000,,cicids
s0,xgboost,4,0.2,3,recalibrated,0.24084360897541046,31125,1125,0.03614457831325301,0.0081,0.867471832698387,0.9706149102122257,0.916149467106108,0.9910901839993516,39676,324,1635,10702,1125,14414.0,12680127.0,86686.598063,375,4826.0,4377828.0,29578.657555,True,False,0.8261471062946737,4337,0.996,4000,0.78375,4000,,cicids
s0,xgboost,4,0.2,4,fixed,0.05549756437540054,31500,1500,0.047619047619047616,0.0811,0.9564724000972684,0.7843658601435788,0.8619115445016617,0.9917964122152874,36756,3244,537,11800,1500,19088.0,16844851.0,115813.60607499999,375,4674.0,4164724.0,29127.008012,True,False,0.9013142725386212,4337,0.998,4000,0.97475,4000,,cicids
s0,xgboost,4,0.2,4,recalibrated,0.29425421357154846,31500,1500,0.047619047619047616,0.009975,0.8647158952743779,0.9639468690702088,0.9116390360622115,0.9917964122152874,39601,399,1669,10668,1500,19088.0,16844851.0,115813.60607499999,375,4674.0,4164724.0,29127.008012,True,False,0.8104680654830528,4337,0.996,4000,0.79225,4000,,cicids
