scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,0,fixed,0.11599999999999999,30000,0,0.0,,,0.0,0.0,0.8595148999993398,0.05865,0.8708762259868688,0.8207792207792208,0.8450859322767137,0.9692105161303396,37654,2346,1593,10744,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8600415033433249,4337,0.99675,4000,0.75675,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,0,recalibrated,0.3502222222222222,30000,0,0.0,,,0.0,0.0,0.8595148999993398,0.009825,0.8430736807976007,0.9635908838243469,0.8993126107820675,0.9692105161303396,39607,393,1936,10401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99525,4000,0.731,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,1,fixed,0.11599999999999999,30031,31,0.0010322666577869534,1.0,0.0,0.0010322666577869534,1.5099998563528061e-05,0.911956600000849,0.058425,0.8724973656480506,0.8216166704831692,0.8462929475587704,0.9524611433087461,37663,2337,1573,10764,31,1546.8219765042277,136792961.87776154,114836.22946241936,31,1546.8219765042277,136792961.87776154,114836.22946241936,True,False,0.8616555222504035,4337,0.9965,4000,0.76025,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,1,recalibrated,0.2872727272727273,30031,31,0.0010322666577869534,1.0,0.0,0.0010322666577869534,1.5099998563528061e-05,0.911956600000849,0.00905,0.8331847288643917,0.965980640917207,0.8946818696144139,0.9524611433087461,39638,362,2058,10279,31,1546.8219765042277,136792961.87776154,114836.22946241936,31,1546.8219765042277,136792961.87776154,114836.22946241936,True,False,0.8185381600184459,4337,0.9955,4000,0.68675,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,2,fixed,0.11599999999999999,30061,61,0.0020292072785336483,1.0,0.0,0.0020292072785336483,2.640000093379058e-05,0.995099100000516,0.06285,0.8746048472075869,0.811034275405893,0.8416208416208417,0.958252801531977,37486,2514,1547,10790,61,4320.329307590787,244946776.972835,204034.78324622943,30,2773.507331086559,108153815.09507345,89198.55378381007,True,False,0.8671893013603874,4337,0.99675,4000,0.7605,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,2,recalibrated,0.412,30061,61,0.0020292072785336483,1.0,0.0,0.0020292072785336483,2.640000093379058e-05,0.995099100000516,0.0096,0.8345626975763962,0.9640449438202248,0.8946430898900812,0.958252801531977,39616,384,2041,10296,61,4320.329307590787,244946776.972835,204034.78324622943,30,2773.507331086559,108153815.09507345,89198.55378381007,True,False,0.8113903620013835,4337,0.99425,4000,0.7,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,3,fixed,0.11599999999999999,30092,92,0.003057290974345341,1.0,0.0,0.003057290974345341,1.8200003978563473e-05,1.0360868999996455,0.0294,0.8802788360217233,0.9022931206380858,0.8911500430804579,0.9705956492664343,38824,1176,1477,10860,92,5964.744961636073,11236114351.564825,270317.26246296533,31,1644.4156540452861,10991167574.59199,66282.47921673591,True,False,0.8655752824533087,4337,0.9965,4000,0.78,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,3,recalibrated,0.27650793650793654,30092,92,0.003057290974345341,1.0,0.0,0.003057290974345341,1.8200003978563473e-05,1.0360868999996455,0.01,0.8533679176461052,0.9633967789165446,0.905050505050505,0.9705956492664343,39600,400,1809,10528,92,5964.744961636073,11236114351.564825,270317.26246296533,31,1644.4156540452861,10991167574.59199,66282.47921673591,True,False,0.8245330873875951,4337,0.99525,4000,0.74275,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,4,fixed,0.11599999999999999,30122,122,0.004050195870128145,1.0,0.0,0.004050195870128145,2.130000211764127e-05,1.0905060000004596,0.03705,0.8777660695468915,0.8796198521647307,0.8786919831223627,0.971677615100916,38518,1482,1508,10829,122,13886.050435745623,11698692671.965826,321977.24976106663,30,7921.305474109551,462578320.4010011,51659.98729810133,True,False,0.8741065252478671,4337,0.99675,4000,0.76275,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,4,recalibrated,0.38,30122,122,0.004050195870128145,1.0,0.0,0.004050195870128145,2.130000211764127e-05,1.0905060000004596,0.009825,0.8480992137472644,0.9637988209285188,0.9022549907299616,0.971677615100916,39607,393,1874,10463,122,13886.050435745623,11698692671.965826,321977.24976106663,30,7921.305474109551,462578320.4010011,51659.98729810133,True,False,0.8148489739451233,4337,0.9955,4000,0.73675,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,5,fixed,0.11599999999999999,30153,153,0.005074121977912646,1.0,0.0,0.005074121977912646,1.6099998902063817e-05,1.0265456999986782,0.074175,0.8906541298532868,0.7873880329630957,0.8358436026167655,0.9567048411283132,37033,2967,1349,10988,153,14914.123617741338,14332249174.775145,425985.9215266713,31,1028.0731819957148,2633556502.8093185,104008.67176560468,True,False,0.8821766197832603,4337,0.9965,4000,0.794,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,5,recalibrated,0.4195876288659794,30153,153,0.005074121977912646,1.0,0.0,0.005074121977912646,1.6099998902063817e-05,1.0265456999986782,0.009825,0.7960606306233282,0.9615233992559232,0.871003503170591,0.9567048411283132,39607,393,2516,9821,153,14914.123617741338,14332249174.775145,425985.9215266713,31,1028.0731819957148,2633556502.8093185,104008.67176560468,True,False,0.7977864883560064,4337,0.99525,4000,0.595,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,6,fixed,0.11599999999999999,30184,184,0.0060959448714550755,1.0,0.0,0.0060959448714550755,3.8300000596791506e-05,1.172069599997485,0.064575,0.8773607846315961,0.8073394495412844,0.8408949658172779,0.9616883814946907,37417,2583,1513,10824,184,16740.06162479662,14624043389.493374,479209.20938920596,31,1825.9380070552836,291794214.7182288,53223.28786253465,True,False,0.866036430712474,4337,0.9965,4000,0.7705,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,6,recalibrated,0.36733333333333335,30184,184,0.0060959448714550755,1.0,0.0,0.0060959448714550755,3.8300000596791506e-05,1.172069599997485,0.00905,0.845181162357137,0.9664473074427657,0.9017555997578482,0.9616883814946907,39638,362,1910,10427,184,16740.06162479662,14624043389.493374,479209.20938920596,31,1825.9380070552836,291794214.7182288,53223.28786253465,True,False,0.8056260087618169,4337,0.995,4000,0.73825,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,7,fixed,0.11599999999999999,30214,214,0.007082809293704905,1.0,0.0,0.007082809293704905,1.4799999917158857e-05,1.1087379999989935,0.040675,0.894382751074005,0.8714951425637786,0.8827906232498601,0.9513316922671639,38373,1627,1303,11034,214,17937.36580134648,15499190471.780964,560186.0739408334,30,1197.3041765498597,875147082.2875892,80976.86455162746,True,False,0.8911690108369841,4337,0.9965,4000,0.79575,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,7,recalibrated,0.2681035598705501,30214,214,0.007082809293704905,1.0,0.0,0.007082809293704905,1.4799999917158857e-05,1.1087379999989935,0.009875,0.8474507578827916,0.9635944700460829,0.9017984215293051,0.9513316922671639,39605,395,1882,10455,214,17937.36580134648,15499190471.780964,560186.0739408334,30,1197.3041765498597,875147082.2875892,80976.86455162746,True,False,0.8226884943509338,4337,0.996,4000,0.72575,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,8,fixed,0.11599999999999999,30245,245,0.008100512481401884,1.0,0.0,0.008100512481401884,2.3100001271814108e-05,1.1089287000031618,0.0487,0.873794277376996,0.8469516027655563,0.8601635747057651,0.9704543841695712,38052,1948,1557,10780,245,20161.05551613548,19928175612.61724,668124.2279537781,31,2223.6897147889986,4428985140.836275,107938.15401294472,True,False,0.8662670048420568,4337,0.99675,4000,0.759,4000,1.5,1.0,cicids,,,
s0j,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,8,recalibrated,0.4696190476190476,30245,245,0.008100512481401884,1.0,0.0,0.008100512481401884,2.3100001271814108e-05,1.1089287000031618,0.009925,0.8297803355759099,0.9626669174346436,0.8912977232162291,0.9704543841695712,39603,397,2100,10237,245,20161.05551613548,19928175612.61724,668124.2279537781,31,2223.6897147889986,4428985140.836275,107938.15401294472,True,False,0.7751902236569057,4337,0.99475,4000,0.724,4000,1.5,1.0,cicids,,,
