scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,0,fixed,0.05549756437540054,30000,0,0.0,,,0.0,0.0,0.4329823000007309,0.0555,0.8663370349355597,0.8280136349550666,0.8467419290948703,0.9802114259949745,37780,2220,1649,10688,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8669587272308047,4337,0.99675,4000,0.73525,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,0,recalibrated,0.45792824029922485,30000,0,0.0,,,0.0,0.0,0.4329823000007309,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,1,fixed,0.05549756437540054,30031,31,0.0010322666577869534,1.0,0.0,0.0010322666577869534,2.7800000680144876e-05,0.42049369999949704,0.04195,0.8729837075464051,0.8651992287917738,0.8690740367157554,0.9839646986706655,38322,1678,1567,10770,31,1314.9838071447589,900215055.152302,51445.38045116021,31,1314.9838071447589,900215055.152302,51445.38045116021,True,False,0.8692644685266313,4337,0.99675,4000,0.75325,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,1,recalibrated,0.4484003782272339,30031,31,0.0010322666577869534,1.0,0.0,0.0010322666577869534,2.7800000680144876e-05,0.42049369999949704,0.007975,0.8303477344573235,0.9698002461421944,0.8946724890829694,0.9839646986706655,39681,319,2093,10244,31,1314.9838071447589,900215055.152302,51445.38045116021,31,1314.9838071447589,900215055.152302,51445.38045116021,True,False,0.7975559142264238,4337,0.9955,4000,0.70075,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,2,fixed,0.05549756437540054,30061,61,0.0020292072785336483,1.0,0.0,0.0020292072785336483,1.4999997802078724e-05,0.3974071999982698,0.038875,0.8712815109021642,0.8736183355006502,0.8724483584270118,0.9854647797276486,38445,1555,1588,10749,61,2479.3465846935433,940932948.558963,99272.76282104809,30,1164.3627775487844,40717893.406660914,47827.38236988789,True,False,0.8605026516024902,4337,0.9965,4000,0.75775,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,2,recalibrated,0.2683098614215851,30061,61,0.0020292072785336483,1.0,0.0,0.0020292072785336483,1.4999997802078724e-05,0.3974071999982698,0.0097,0.8410472562211234,0.9639539204756596,0.898316090212545,0.9854647797276486,39612,388,1961,10376,61,2479.3465846935433,940932948.558963,99272.76282104809,30,1164.3627775487844,40717893.406660914,47827.38236988789,True,False,0.7989393590039198,4337,0.99575,4000,0.732,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,3,fixed,0.05549756437540054,30092,92,0.003057290974345341,1.0,0.0,0.003057290974345341,2.2400003217626363e-05,0.476363500001753,0.052475,0.8771986706654779,0.8375512731212754,0.8569166204766807,0.9850334319526627,37901,2099,1515,10822,92,6765.883200951165,3490094052.197314,191370.31884561823,31,4286.536616257622,2549161103.638351,92097.55602457012,True,False,0.8764122665436938,4337,0.99675,4000,0.7585,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,3,recalibrated,0.14836002886295319,30092,92,0.003057290974345341,1.0,0.0,0.003057290974345341,2.2400003217626363e-05,0.476363500001753,0.009975,0.8564480830023506,0.9636114911080711,0.9068749463565359,0.9850334319526627,39601,399,1771,10566,92,6765.883200951165,3490094052.197314,191370.31884561823,31,4286.536616257622,2549161103.638351,92097.55602457012,True,False,0.855891169010837,4337,0.99625,4000,0.71725,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,4,fixed,0.05549756437540054,30122,122,0.004050195870128145,1.0,0.0,0.004050195870128145,2.8599999495781958e-05,0.4081613999987894,0.0673,0.8756585879873551,0.8005187106335679,0.8364044595850108,0.983628961660047,37308,2692,1534,10803,122,10452.416622968702,5973171932.561859,305222.6709376735,30,3686.5334220175364,2483077880.364545,113852.35209205525,True,False,0.8706479133041273,4337,0.99675,4000,0.76,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,4,recalibrated,0.18791598081588745,30122,122,0.004050195870128145,1.0,0.0,0.004050195870128145,2.8599999495781958e-05,0.4081613999987894,0.009775,0.8453432763232552,0.9638632162661738,0.9007211642267998,0.983628961660047,39609,391,1908,10429,122,10452.416622968702,5973171932.561859,305222.6709376735,30,3686.5334220175364,2483077880.364545,113852.35209205525,True,False,0.8319114595342403,4337,0.99625,4000,0.709,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,5,fixed,0.05549756437540054,30153,153,0.005074121977912646,1.0,0.0,0.005074121977912646,3.430000288062729e-05,0.4105627999997523,0.044225,0.872902650563346,0.8589089168926464,0.8658492462311558,0.9844198974629165,38231,1769,1568,10769,153,11768.098887711893,6875124979.626032,394696.09024667484,31,1315.6822647431914,901953047.0641731,89473.41930900137,True,False,0.8777957113211897,4337,0.997,4000,0.7435,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,5,recalibrated,0.2969467043876648,30153,153,0.005074121977912646,1.0,0.0,0.005074121977912646,3.430000288062729e-05,0.4105627999997523,0.009525,0.8213504093377645,0.9637626022446262,0.8868758478841189,0.9844198974629165,39619,381,2204,10133,153,11768.098887711893,6875124979.626032,394696.09024667484,31,1315.6822647431914,901953047.0641731,89473.41930900137,True,False,0.8051648605026516,4337,0.99625,4000,0.664,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,6,fixed,0.05549756437540054,30184,184,0.0060959448714550755,1.0,0.0,0.0060959448714550755,2.6199999410891905e-05,0.42933669999911217,0.0219,0.8758207019534733,0.9250064206831606,0.8997418602714631,0.9857166207343763,39124,876,1532,10805,184,13014.833969184472,6939137434.242402,444723.66646132193,31,1246.7350814725794,64012454.616370626,50027.57621464712,True,False,0.8729536545999539,4337,0.99675,4000,0.758,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,6,recalibrated,0.16598157584667206,30184,184,0.0060959448714550755,1.0,0.0,0.0060959448714550755,2.6199999410891905e-05,0.42933669999911217,0.009825,0.8559617411039961,0.9641194193371679,0.9068269643623874,0.9857166207343763,39607,393,1777,10560,184,13014.833969184472,6939137434.242402,444723.66646132193,31,1246.7350814725794,64012454.616370626,50027.57621464712,True,False,0.8298362923679963,4337,0.99625,4000,0.744,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,7,fixed,0.05549756437540054,30214,214,0.007082809293704905,1.0,0.0,0.007082809293704905,1.559999873279594e-05,0.4958234000005177,0.030725,0.8776039555807733,0.8980590577305906,0.8877136883532162,0.9854486443219583,38771,1229,1510,10827,214,14050.80939517709,7432872116.054419,519174.3441811406,30,1035.9754259926174,493734681.8120162,74450.67771981865,True,False,0.8777957113211897,4337,0.99675,4000,0.75825,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,7,recalibrated,0.14423857629299164,30214,214,0.007082809293704905,1.0,0.0,0.007082809293704905,1.559999873279594e-05,0.4958234000005177,0.009175,0.8644727243252006,0.9667331399564902,0.9127476571526381,0.9854486443219583,39633,367,1672,10665,214,14050.80939517709,7432872116.054419,519174.3441811406,30,1035.9754259926174,493734681.8120162,74450.67771981865,True,False,0.8482822227346092,4337,0.99625,4000,0.75025,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,8,fixed,0.05549756437540054,30245,245,0.008100512481401884,1.0,0.0,0.008100512481401884,3.0800001695752144e-05,0.4416961999995692,0.0617,0.8759828159195915,0.8140866290018832,0.8439012962673748,0.9843379721569263,37532,2468,1530,10807,245,15129.898756623454,7653124766.52151,635332.8819244292,31,1079.0893614463648,220252650.46709192,116158.53774328867,True,False,0.8729536545999539,4337,0.997,4000,0.75825,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,8,recalibrated,0.2431579828262329,30245,245,0.008100512481401884,1.0,0.0,0.008100512481401884,3.0800001695752144e-05,0.4416961999995692,0.008975,0.842425224933128,0.9666108630952381,0.9002555329377626,0.9843379721569263,39641,359,1944,10393,245,15129.898756623454,7653124766.52151,635332.8819244292,31,1079.0893614463648,220252650.46709192,116158.53774328867,True,False,0.8189993082776112,4337,0.99625,4000,0.714,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,9,fixed,0.05549756437540054,30276,276,0.009116131589377725,1.0,0.0,0.009116131589377725,2.599999788799323e-05,0.4139113000019279,0.0597,0.8763070438518278,0.8190772028183954,0.8467261904761905,0.9849517001702197,37612,2388,1526,10811,276,16938.45015650862,9518403431.333935,739218.0356913018,31,1808.551399885168,1865278664.8124251,103885.15376687264,True,False,0.8734148028591192,4337,0.99675,4000,0.759,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,9,recalibrated,0.12931454181671143,30276,276,0.009116131589377725,1.0,0.0,0.009116131589377725,2.599999788799323e-05,0.4139113000019279,0.009825,0.863094755613196,0.9644053980617697,0.9109419111985627,0.9849517001702197,39607,393,1689,10648,276,16938.45015650862,9518403431.333935,739218.0356913018,31,1808.551399885168,1865278664.8124251,103885.15376687264,True,False,0.8480516486050265,4337,0.996,4000,0.7465,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,10,fixed,0.05549756437540054,30306,306,0.01009701049297169,1.0,0.0,0.01009701049297169,5.909999890718609e-05,0.4407496000021638,0.0413,0.8776850125638324,0.8676282051282052,0.8726276342829512,0.9860605860419875,38348,1652,1509,10828,306,18487.29130963742,11792747291.262299,806485.0433823259,30,1548.8411531287995,2274343859.9283633,67267.00769102405,True,False,0.8761816924141111,4337,0.9965,4000,0.7605,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,10,recalibrated,0.24915273487567902,30306,306,0.01009701049297169,1.0,0.0,0.01009701049297169,5.909999890718609e-05,0.4407496000021638,0.009975,0.8497203534084461,0.9633339459658151,0.9029673973900685,0.9860605860419875,39601,399,1854,10483,306,18487.29130963742,11792747291.262299,806485.0433823259,30,1548.8411531287995,2274343859.9283633,67267.00769102405,True,False,0.819229882407194,4337,0.99625,4000,0.73625,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,11,fixed,0.05549756437540054,30337,337,0.011108547318456011,1.0,0.0,0.011108547318456011,2.4900000425986946e-05,0.4371846000030928,0.0501,0.8776850125638324,0.8438279301745636,0.8604235368906193,0.9868343377644484,37996,2004,1509,10828,337,20110.348783926205,21823283802.950684,865806.4451521435,31,1623.057474288785,10030536511.688385,59321.40176981753,True,False,0.878256859580355,4337,0.9965,4000,0.75825,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,11,recalibrated,0.3555382192134857,30337,337,0.011108547318456011,1.0,0.0,0.011108547318456011,2.4900000425986946e-05,0.4371846000030928,0.00865,0.8306719623895599,0.9673400037757222,0.8938118703937901,0.9868343377644484,39654,346,2089,10248,337,20110.348783926205,21823283802.950684,865806.4451521435,31,1623.057474288785,10030536511.688385,59321.40176981753,True,False,0.7998616555222504,4337,0.9955,4000,0.69925,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,12,fixed,0.05549756437540054,30367,367,0.0120854875358119,1.0,0.0,0.0120854875358119,1.979999797185883e-05,0.45493490000080783,0.02775,0.8945448650401232,0.9086118886876338,0.9015235061062777,0.9884102780254519,38890,1110,1301,11036,367,21577.245094076683,24264625018.261513,927724.7639397249,30,1466.8963101504785,2441341215.310828,61918.31878758142,True,False,0.8833294904311736,4337,0.99625,4000,0.805,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,12,recalibrated,0.3399292528629303,30367,367,0.0120854875358119,1.0,0.0,0.0120854875358119,1.979999797185883e-05,0.45493490000080783,0.005025,0.8280781389316689,0.9807046174522416,0.8979520084380769,0.9884102780254519,39799,201,2121,10216,367,21577.245094076683,24264625018.261513,927724.7639397249,30,1466.8963101504785,2441341215.310828,61918.31878758142,True,False,0.8042425639843209,4337,0.99525,4000,0.68675,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,13,fixed,0.05549756437540054,30398,398,0.013092966642542272,1.0,0.0,0.013092966642542272,3.060000017285347e-05,0.44535090000135824,0.038825,0.8790629812758369,0.8747378609453138,0.8768950879320802,0.985916155669936,38447,1553,1492,10845,398,23953.232364940006,44137586780.64693,985395.0151454557,31,2375.987270863321,19872961762.38541,57670.251205730885,True,False,0.8801014526170163,4337,0.9965,4000,0.7605,4000,1.5,1.0,cicids,,,
s0j,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.0,0.0,0.02,13,recalibrated,0.2260397970676422,30398,398,0.013092966642542272,1.0,0.0,0.013092966642542272,3.060000017285347e-05,0.44535090000135824,0.00675,0.8459917321877279,0.9747828523395909,0.9058323207776428,0.985916155669936,39730,270,1900,10437,398,23953.232364940006,44137586780.64693,985395.0151454557,31,2375.987270863321,19872961762.38541,57670.251205730885,True,False,0.8337560525709016,4337,0.99625,4000,0.709,4000,1.5,1.0,cicids,,,
