dataset,jitter,n_poison_rows,disjoint_from_eval_benign_rows_checked,nn_mean,nn_p0,nn_p1,nn_p5,nn_p25,nn_p50,nn_p75,nn_p95,nn_p99,nn_p100
cicids,0.0,5000,5000,0.024721751161823773,8.451801370704373e-05,0.0004486381586792068,0.000918584041786824,0.003665624203588429,0.010219234173488748,0.03348739993663837,0.08690659262267313,0.16076987575825635,0.8295590002702975
cicids,0.005,5000,5000,0.02603659526283168,0.00231449977932613,0.0036753031768369904,0.004312011913996484,0.005983722288572429,0.011149521364256839,0.033733400954647795,0.08705985921082167,0.1597938697373039,0.8301039976115739
cicids,0.01,5000,5000,0.028385609702545195,0.004582405622507099,0.006843460386583102,0.00792856246908933,0.010120237463151358,0.013776149010803835,0.03430431699418927,0.08781117647137757,0.16087708267614692,0.8306693186353945
cicids,0.02,5000,5000,0.03421716946146837,0.00956908310953204,0.01236076395538696,0.014730957412422113,0.018345248615096406,0.021987407938320297,0.03753709002700074,0.08954496894869157,0.16353330463346394,0.8318608227497709
cicids,0.03,5000,5000,0.040810014555554656,0.013544537748931456,0.018181621157447564,0.02138047101609975,0.02625411081217952,0.030857547455412825,0.04235101645623761,0.09203092613794173,0.1633169381772646,0.8307173927277348
cicids,0.05,5000,5000,0.05506725881199201,0.020142288764297352,0.029190749111823403,0.034227057091433595,0.04178204993407268,0.04809091819738866,0.05765157188558069,0.09976019085459954,0.16816236302935098,0.8272092781935056
cicids,0.07,5000,5000,0.07003920700234591,0.027207771450699626,0.03998113286835575,0.04672602835104464,0.05671828503018845,0.06505294355349336,0.07528854374541538,0.10938829817165736,0.17522273035589558,0.8240201859542852
cicids,0.1,5000,5000,0.09325353838627613,0.038188255710055234,0.05640221400966066,0.06522729932590673,0.07896104893157932,0.08957665130161468,0.10195286257885859,0.12968027093318557,0.18548803492482943,0.8198426131720561
cicids,0.2,5000,5000,0.17340257158648573,0.07567130425178298,0.10710378584199562,0.12518618238650303,0.15125572371482487,0.1710065276144378,0.19286440357135318,0.22725158023711098,0.2580771062736291,0.8112900486648255
cicids,0.3,5000,5000,0.25440527258316376,0.11341186047930103,0.1576438981169155,0.18409880708293988,0.22252830437282384,0.252182035403273,0.2834684291917675,0.3310982638176234,0.36609353372506526,0.8111696330489745
cicids,0.5,5000,5000,0.4116269849889537,0.1889416348882583,0.2583610811852846,0.2999502096382755,0.36123911941243403,0.4099358742900792,0.4581570087164081,0.5321728775845241,0.582903125512233,0.8355112676635058
cicids,0.7,5000,5000,0.5591073992720063,0.2647058338660188,0.3555524857788174,0.407785542706275,0.49206346260188627,0.5566172634843822,0.6200215563267366,0.7233818030526595,0.7944010550195211,0.897873543096334
cicids,1.0,5000,5000,0.7614136718301441,0.3784837340680563,0.48126857451230987,0.5536257866479368,0.6689755142099182,0.7573617020855714,0.8469723563919408,0.9877706740645368,1.0829028093310222,1.2506660091244164
cicids,1.5,5000,5000,1.0571774635606885,0.4923506700631446,0.6645755158157138,0.7624395721769045,0.9272540844196412,1.0489529970114337,1.1779714062422713,1.383457219836217,1.5371715303917335,1.845194644564416
