model,threshold_mode,jitter,poison_ratio,fidelity_median,n_seeds,delta_fpr,delta_fpr_sd,delta_tpr,delta_tpr_sd,sigma_control_fpr,sigma_control_tpr,exceeds_noise
rf,fixed,-1.0,0.005,,5,0.008949999999999998,0.010598570068646056,0.02186917402934265,0.006939585566445047,0.01482329764462768,0.004497682586038158,False
rf,fixed,-1.0,0.01,,5,0.004370000000000001,0.020143116069764384,0.03428710383399529,0.00796258519266771,0.01482329764462768,0.004497682586038158,False
rf,fixed,-1.0,0.02,,5,-0.0033450000000000008,0.008155201560967086,0.03336305422712171,0.0027299481673369688,0.01482329764462768,0.004497682586038158,False
rf,fixed,-1.0,0.05,,5,0.008575,0.015741495719911753,0.0433006403501661,0.009423793753147232,0.01482329764462768,0.004497682586038158,False
rf,fixed,-1.0,0.1,,5,0.01108,0.010464454715846403,0.06570479046769884,0.009257828851305303,0.01482329764462768,0.004497682586038158,False
rf,fixed,-1.0,0.2,,5,0.026500000000000003,0.017491792718300776,0.07475074977709331,0.0033260041840168612,0.01482329764462768,0.004497682586038158,False
rf,fixed,-1.0,0.5,,5,0.028679999999999994,0.012900816350138462,0.09378292939936776,0.003233655549212697,0.01482329764462768,0.004497682586038158,False
rf,recalibrated,-1.0,0.005,,5,-0.0001350000000000004,0.0002281720841820922,0.05257355921212616,0.0260692161792956,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,-1.0,0.01,,5,2.9999999999999472e-05,0.00047906158268013946,0.05913917483991251,0.03152744673776328,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,-1.0,0.02,,5,-6.500000000000013e-05,0.0011234155508982417,0.0487638810083489,0.041300684521478344,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,-1.0,0.05,,5,0.0002549999999999997,0.0005007494383421715,0.05829618221609793,0.03249795737562258,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,-1.0,0.1,,5,-5.000000000000039e-05,0.0005114318136369698,0.07737699602820787,0.030893378014690907,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,-1.0,0.2,,5,0.00030999999999999984,0.0005026803159066407,0.07865769636054151,0.03706594120232548,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,-1.0,0.5,,5,0.00029,0.00045469770177558654,0.11388506119802218,0.030290648605504622,0.0006087658978354052,0.030293837226850393,False
xgboost,fixed,-1.0,0.005,,5,-0.0040950000000000005,0.022267334539634507,0.017913593256059013,0.009060814821403185,0.009977865822787507,0.006205554882063034,False
xgboost,fixed,-1.0,0.01,,5,0.001514999999999999,0.009360064770075041,0.027802545189268058,0.007876511873360829,0.009977865822787507,0.006205554882063034,False
xgboost,fixed,-1.0,0.02,,5,0.020805,0.013570192518899649,0.05301126692064524,0.008981062513515835,0.009977865822787507,0.006205554882063034,True
xgboost,fixed,-1.0,0.05,,5,0.028254999999999995,0.010448974231952153,0.06473210667098975,0.007756649303084444,0.009977865822787507,0.006205554882063034,True
xgboost,fixed,-1.0,0.1,,5,0.025640000000000003,0.01546512811133487,0.08100834886925516,0.007048136564197193,0.009977865822787507,0.006205554882063034,True
xgboost,fixed,-1.0,0.2,,5,0.029105000000000002,0.011394782248906738,0.08614736159520145,0.012057263693293005,0.009977865822787507,0.006205554882063034,True
xgboost,fixed,-1.0,0.5,,5,0.040465,0.013477580921663946,0.10590905406500768,0.009222810143418813,0.009977865822787507,0.006205554882063034,True
xgboost,recalibrated,-1.0,0.005,,5,0.0008149999999999995,0.0015929139964229082,0.045748561238550714,0.028550163461924,0.0013768771972570866,0.020048535258507097,False
xgboost,recalibrated,-1.0,0.01,,5,0.00013999999999999966,0.001374386226648099,0.044289535543487094,0.02241328915861819,0.0013768771972570866,0.020048535258507097,False
xgboost,recalibrated,-1.0,0.02,,5,0.0010699999999999996,0.0022933599804653435,0.04960687363216345,0.02060585850512469,0.0013768771972570866,0.020048535258507097,False
xgboost,recalibrated,-1.0,0.05,,5,0.0005449999999999997,0.0015521557589365826,0.0527032503850207,0.021056991109247455,0.0013768771972570866,0.020048535258507097,False
xgboost,recalibrated,-1.0,0.1,,5,0.00184,0.0015877066794594023,0.07026019291561972,0.031893548713045144,0.0013768771972570866,0.020048535258507097,False
xgboost,recalibrated,-1.0,0.2,,5,0.001395,0.0020029197437740737,0.08428305098484239,0.02422969351428013,0.0013768771972570866,0.020048535258507097,False
xgboost,recalibrated,-1.0,0.5,,5,0.0015249999999999999,0.0017011944333320636,0.09605252492502232,0.014778290834364504,0.0013768771972570866,0.020048535258507097,False
