model,tau,fpr_mean,sigma,across_seeds,tpr,tpr_sigma,auroc,val_benign_dropped,n_seeds
rf,0.0,0.0461,0.0148,0.0074,0.8757,0.0045,0.967,0.0,5
rf,0.005,0.0514,0.0144,0.0068,0.8784,0.0057,0.967,0.0991,5
rf,0.01,0.0471,0.0142,0.0053,0.8761,0.0045,0.967,0.2248,5
rf,0.02,0.041,0.015,0.0078,0.8735,0.0045,0.967,0.4164,5
rf,0.05,0.0253,0.0112,0.0075,0.8633,0.0058,0.967,0.7382,5
rf,0.1,0.0071,0.0045,0.0028,0.8057,0.029,0.967,0.938,5
xgboost,0.0,0.0386,0.01,0.0047,0.8693,0.0062,0.9829,0.0,5
xgboost,0.005,0.0515,0.0127,0.0061,0.8773,0.0082,0.9829,0.0991,5
xgboost,0.01,0.0485,0.0122,0.0052,0.8753,0.0087,0.9829,0.2248,5
xgboost,0.02,0.0472,0.0141,0.0098,0.8753,0.0097,0.9829,0.4164,5
xgboost,0.05,0.0312,0.0112,0.0095,0.8625,0.0094,0.9829,0.7382,5
xgboost,0.1,0.0062,0.0061,0.0059,0.7976,0.0271,0.9829,0.938,5
