scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9338792221084954,0.2,0,fixed,0.3800833333333334,30000,0,0.0,,,0.0,0.0,1.672337099997094,0.0096,0.836994407068169,0.9641456582633053,0.8960819195556906,0.9716912336872822,39616,384,2011,10326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8010145261701637,4337,0.99525,4000,0.71775,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9338792221084954,0.2,0,recalibrated,0.36,30000,0,0.0,,,0.0,0.0,1.672337099997094,0.00995,0.8444516495096053,0.9632026627218935,0.8999265753897984,0.9716912336872822,39602,398,1919,10418,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8051648605026516,4337,0.99525,4000,0.73625,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9381780962128966,0.2,1,fixed,0.3800833333333334,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,2.0800012862309813e-05,2.1327623999968637,0.0074,0.7744994731296101,0.9699522891077048,0.8612763656030287,0.9763949947312961,39704,296,2782,9555,375,32235.911541256464,1641174159.325481,560947.2830843829,375,32235.911541256464,1641174159.325481,560947.2830843829,True,False,0.7724233341019138,4337,0.99475,4000,0.5565,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9381780962128966,0.2,1,recalibrated,0.3267848048950128,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,2.0800012862309813e-05,2.1327623999968637,0.009975,0.804004214963119,0.9613297150610584,0.8756565879496799,0.9763949947312961,39601,399,2418,9919,375,32235.911541256464,1641174159.325481,560947.2830843829,375,32235.911541256464,1641174159.325481,560947.2830843829,True,False,0.7864883560064561,4337,0.99525,4000,0.63175,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9453428863868987,0.2,2,fixed,0.3800833333333334,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,2.5299988919869065e-05,2.098499699990498,0.01205,0.8040852719461782,0.9536627571620843,0.8725097849509654,0.9521109335738024,39518,482,2417,9920,750,54160.56773739828,23501095326.592495,1089089.5080583869,375,21924.65619614182,21859921167.267014,528142.224974004,True,False,0.7675812773806779,4337,0.99525,4000,0.6525,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9453428863868987,0.2,2,recalibrated,0.40301361763467797,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,2.5299988919869065e-05,2.098499699990498,0.005425,0.8026262462511146,0.9785551932009092,0.8819023868899182,0.9521109335738024,39783,217,2435,9902,750,54160.56773739828,23501095326.592495,1089089.5080583869,375,21924.65619614182,21859921167.267014,528142.224974004,True,False,0.7657366843440166,4337,0.995,4000,0.65025,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9381780962128966,0.2,3,fixed,0.3800833333333334,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.9699993319809437e-05,2.13813740000478,0.0208,0.7639620653319283,0.9188846641318125,0.8342922899884926,0.9653110379346681,39168,832,2912,9425,1125,80470.03604173544,47447682976.33188,1708526.3792981212,375,26309.468304337148,23946587649.73938,619436.8712397343,True,False,0.6778879409730229,4337,0.99525,4000,0.626,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9381780962128966,0.2,3,recalibrated,0.4951392647272497,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.9699993319809437e-05,2.13813740000478,0.00975,0.6987111939693604,0.9567147613762487,0.8076076263643603,0.9653110379346681,39610,390,3717,8620,1125,80470.03604173544,47447682976.33188,1708526.3792981212,375,26309.468304337148,23946587649.73938,619436.8712397343,True,False,0.5902697717316117,4337,0.99425,4000,0.52075,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9424769703172978,0.2,4,fixed,0.3800833333333334,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,1.750001683831215e-05,1.9459492999885697,0.0082,0.767204344654292,0.9665066884509343,0.8553999096249435,0.9582202531004296,39672,328,2872,9465,1500,116299.03223556282,51604991803.82356,2402254.6865704595,375,35828.99619382738,4157308827.4916873,693728.3072723384,True,False,0.6707401429559603,4337,0.99575,4000,0.64325,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9424769703172978,0.2,4,recalibrated,0.3727748558175048,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,1.750001683831215e-05,1.9459492999885697,0.0089,0.7679338575018237,0.9637843336724313,0.8547841385843822,0.9582202531004296,39644,356,2863,9474,1500,116299.03223556282,51604991803.82356,2402254.6865704595,375,35828.99619382738,4157308827.4916873,693728.3072723384,True,False,0.6725847359926216,4337,0.99575,4000,0.6435,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.2,5,fixed,0.3800833333333334,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,2.13000166695565e-05,2.1690732999995816,0.018875,0.7182459268866013,0.9214850249584027,0.8072700769826449,0.9645200464051228,39245,755,3476,8861,1875,143455.13472668632,65878440464.046234,3012275.283026068,375,27156.1024911235,14273448660.222675,610020.5964556086,True,False,0.6248558911690109,4337,0.995,4000,0.54275,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.2,5,recalibrated,0.4654954954954955,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,2.13000166695565e-05,2.1690732999995816,0.006975,0.7017103023425468,0.9687779767233662,0.8138955483476707,0.9645200464051228,39721,279,3680,8657,1875,143455.13472668632,65878440464.046234,3012275.283026068,375,27156.1024911235,14273448660.222675,610020.5964556086,True,False,0.6027207747290754,4337,0.995,4000,0.51575,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9463664278403275,0.2,6,fixed,0.3800833333333334,32250,2250,0.06976744186046512,1.0,0.0,0.06976744186046512,2.649999805726111e-05,2.2933181999833323,0.016025,0.7494528653643512,0.9351673915242237,0.8320734341252699,0.968755272756748,39359,641,3091,9246,2250,183346.24462745318,73103306021.94969,3635839.4440483684,375,39891.10990076687,7224865557.90346,623564.1610223005,True,False,0.6280839289831681,4337,0.996,4000,0.6345,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9463664278403275,0.2,6,recalibrated,0.472393420918079,32250,2250,0.06976744186046512,1.0,0.0,0.06976744186046512,2.649999805726111e-05,2.2933181999833323,0.00995,0.7085190889195104,0.9564503775030091,0.8140249580927547,0.968755272756748,39602,398,3596,8741,2250,183346.24462745318,73103306021.94969,3635839.4440483684,375,39891.10990076687,7224865557.90346,623564.1610223005,True,False,0.604334793636154,4337,0.99525,4000,0.53475,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9453428863868987,0.2,7,fixed,0.3800833333333334,32625,2625,0.08045977011494253,1.0,0.0,0.08045977011494253,2.2799998987466097e-05,2.3767879999941215,0.010725,0.7031693280376105,0.9528778558875219,0.8091973322139825,0.9617721802302018,39571,429,3662,8675,2625,207841.30069314022,75541362960.3593,4085713.9629700477,375,24495.056065687037,2438056938.4096,449874.51892167947,True,False,0.5997233110445008,4337,0.996,4000,0.5225,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9453428863868987,0.2,7,recalibrated,0.401432807092132,32625,2625,0.08045977011494253,1.0,0.0,0.08045977011494253,2.2799998987466097e-05,2.3767879999941215,0.0093,0.700980789495015,0.9587583148558758,0.8098515709135179,0.9617721802302018,39628,372,3689,8648,2625,207841.30069314022,75541362960.3593,4085713.9629700477,375,24495.056065687037,2438056938.4096,449874.51892167947,True,False,0.5939589578049342,4337,0.99575,4000,0.52225,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9465711361310133,0.2,8,fixed,0.3800833333333334,33000,3000,0.09090909090909091,1.0,0.0,0.09090909090909091,4.4599990360438824e-05,2.196117499988759,0.005575,0.7484801815676421,0.9764195833773924,0.8473891896852344,0.9797587531409581,39777,223,3103,9234,3000,233521.79334247345,129248641536.93883,4518249.89867397,375,25680.492649333246,53707278576.57953,432535.93570392224,True,False,0.6004150334332488,4337,0.99525,4000,0.66225,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9465711361310133,0.2,8,recalibrated,0.3633434947122202,33000,3000,0.09090909090909091,1.0,0.0,0.09090909090909091,4.4599990360438824e-05,2.196117499988759,0.00985,0.7507497770932966,0.9591963545981773,0.8422679943618425,0.9797587531409581,39606,394,3075,9262,3000,233521.79334247345,129248641536.93883,4518249.89867397,375,25680.492649333246,53707278576.57953,432535.93570392224,True,False,0.6034124971178234,4337,0.99525,4000,0.666,4000,1.5,1.0,cicids,,,,,,,
a1,rf,13,accumulate,fixed_ratio,auto_malicious,none,0.1,0.939611054247697,0.2,9,fixed,0.3800833333333334,33375,3375,0.10112359550561797,1.0,0.0,0.10112359550561797,3.700001980178058e-05,2.2320744000026025,0.009675,0.7261895112263922,0.9585919109779585,0.8263616658211502,0.9714997548026263,39613,387,3378,8959,3375,255489.12005993156,136353699102.62563,5089675.542050887,375,21967.326717458116,7105057565.686792,571425.6433769166,True,False,0.5997233110445008,4337,0.99575,4000,0.59375,4000,1.5,1.0,cicids,,,,,,,
