scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.2,0,fixed,0.396,30000,0,0.0,,,0.0,0.0,7.118263000000297,0.0114,0.8335900137796871,0.9575418994413408,0.8912770290765698,0.9625546546972522,39544,456,2053,10284,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8023979709476596,4337,0.99475,4000,0.70625,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.2,0,recalibrated,0.4146666666666667,30000,0,0.0,,,0.0,0.0,7.118263000000297,0.009975,0.8296182216097917,0.9624788414519466,0.8911235906142527,0.9625546546972522,39601,399,2102,10235,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.99475,4000,0.69625,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.938792221084954,0.2,1,fixed,0.396,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,3.1600000511389226e-05,2.1419336000008116,0.004925,0.7928994082840237,0.9802585429401743,0.8766804086753899,0.9544101422550053,39803,197,2555,9782,375,10442.346766026894,12253962.779755557,119095.64632461777,375,10442.346766026894,12253962.779755557,119095.64632461777,True,False,0.7768042425639843,4337,0.99525,4000,0.608,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.938792221084954,0.2,1,recalibrated,0.30933333333333335,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,3.1600000511389226e-05,2.1419336000008116,0.00955,0.8353732674069871,0.9642589820359282,0.8952008686210641,0.9544101422550053,39618,382,2031,10306,375,10442.346766026894,12253962.779755557,119095.64632461777,375,10442.346766026894,12253962.779755557,119095.64632461777,True,False,0.7968641918376758,4337,0.996,4000,0.7165,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9416581371545547,0.2,2,fixed,0.396,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,2.5599999389669392e-05,2.1839178000000175,0.005325,0.8149469076760963,0.9792539203272621,0.8895770660060167,0.9696385993353327,39787,213,2283,10054,750,22264.876332944357,59035060.00493585,309845.0561767248,375,11822.529566917463,46781097.2251803,190749.409852107,True,False,0.7535162554761355,4337,0.995,4000,0.7015,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9416581371545547,0.2,2,recalibrated,0.30593619439911884,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,2.5599999389669392e-05,2.1839178000000175,0.00955,0.8448569344249007,0.9646459972235076,0.9007864488808227,0.9696385993353327,39618,382,1914,10423,750,22264.876332944357,59035060.00493585,309845.0561767248,375,11822.529566917463,46781097.2251803,190749.409852107,True,False,0.8005533779109983,4337,0.99625,4000,0.7415,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.2,3,fixed,0.396,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.3099999452824704e-05,2.221115400000599,0.008875,0.7064116073599741,0.9608599779492834,0.814219647778764,0.9497478307124909,39645,355,3622,8715,1125,37330.96069639556,193744382.81474328,544427.0939844991,375,15066.084363451202,134709322.80980742,234582.03780777432,True,False,0.6075628314503113,4337,0.99525,4000,0.52475,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.2,3,recalibrated,0.390949881039651,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.3099999452824704e-05,2.221115400000599,0.008975,0.7067358352922104,0.960453844459132,0.8142890497314966,0.9497478307124909,39641,359,3618,8719,1125,37330.96069639556,193744382.81474328,544427.0939844991,375,15066.084363451202,134709322.80980742,234582.03780777432,True,False,0.6082545538390592,4337,0.99525,4000,0.525,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9410440122824975,0.2,4,fixed,0.396,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.89999998130952e-05,2.2564707000001363,0.01245,0.7560995379751966,0.9493181355587218,0.8417632991923476,0.9732609558644727,39502,498,3009,9328,1500,46011.374550894914,214026261.0261297,753076.3627781115,375,8680.413854499355,20281878.21138641,208649.26879361237,True,False,0.6271616324648375,4337,0.996,4000,0.656,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9410440122824975,0.2,4,recalibrated,0.42003424744501017,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.89999998130952e-05,2.2564707000001363,0.00995,0.7509929480424739,0.9588119631584394,0.8422727272727273,0.9732609558644727,39602,398,3072,9265,1500,46011.374550894914,214026261.0261297,753076.3627781115,375,8680.413854499355,20281878.21138641,208649.26879361237,True,False,0.6257781876873415,4337,0.99525,4000,0.6425,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
