scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9363357215967246,0.1,0,fixed,0.42333333333333334,30000,0,0.0,,,0.0,0.0,1.2420453999984602,0.0079,0.8184323579476371,0.9696533179679248,0.8876483516483515,0.9692105161303396,39684,316,2240,10097,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7945584505418493,4337,0.995,4000,0.66775,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9363357215967246,0.1,0,recalibrated,0.3502222222222222,30000,0,0.0,,,0.0,0.0,1.2420453999984602,0.009825,0.8430736807976007,0.9635908838243469,0.8993126107820675,0.9692105161303396,39607,393,1936,10401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99525,4000,0.731,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9379733879222109,0.1,1,fixed,0.42333333333333334,30167,167,0.005535850432591905,0.017964071856287425,0.9820359281437125,9.999000099990002e-05,0.47986370000035095,1.2074376000000484,0.0043,0.8184323579476371,0.9832505599376765,0.8933026630098204,0.9642729168355354,39828,172,2240,10097,167,2176.0,669670.0,2410.420094,167,2176.0,669670.0,2410.420094,True,False,0.7982476366151717,4337,0.9955,4000,0.66325,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9379733879222109,0.1,1,recalibrated,0.243,30167,167,0.005535850432591905,0.017964071856287425,0.9820359281437125,9.999000099990002e-05,0.47986370000035095,1.2074376000000484,0.00985,0.8568533679176461,0.9640674874601003,0.9073040940691784,0.9642729168355354,39606,394,1766,10571,167,2176.0,669670.0,2410.420094,167,2176.0,669670.0,2410.420094,True,False,0.8344477749596495,4337,0.996,4000,0.742,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9404298874104401,0.1,2,fixed,0.42333333333333334,30333,333,0.010978142616951835,0.03903903903903904,0.960960960960961,0.0004331456368906807,0.4610394000010274,1.332830200000899,0.01165,0.8315635892032098,0.9565501165501166,0.8896886653369178,0.970886519210505,39534,466,2078,10259,333,4999.0,2246635.0,5076.067744,166,2823.0,1576965.0,2665.64765,True,False,0.8053954346322343,4337,0.9955,4000,0.696,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9404298874104401,0.1,2,recalibrated,0.48,30333,333,0.010978142616951835,0.03903903903903904,0.960960960960961,0.0004331456368906807,0.4610394000010274,1.332830200000899,0.0098,0.8232957769311826,0.9628400796284008,0.8876168836843484,0.970886519210505,39608,392,2180,10157,333,4999.0,2246635.0,5076.067744,166,2823.0,1576965.0,2665.64765,True,False,0.7943278764122665,4337,0.995,4000,0.683,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9385875127942682,0.1,3,fixed,0.42333333333333334,30500,500,0.01639344262295082,0.044,0.956,0.000732795949636933,0.4375049999998737,1.3493892999995296,0.008125,0.8118667423198509,0.968571704864133,0.883323044360173,0.9607112314582151,39675,325,2321,10016,500,7597.0,3166007.0,8102.708553,167,2598.0,919372.0,3026.640809,True,False,0.8019368226884943,4337,0.994,4000,0.6405,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9385875127942682,0.1,3,recalibrated,0.361047619047619,30500,500,0.01639344262295082,0.044,0.956,0.000732795949636933,0.4375049999998737,1.3493892999995296,0.00995,0.8361027802545189,0.9628488751983572,0.8950108459869848,0.9607112314582151,39602,398,2022,10315,500,7597.0,3166007.0,8102.708553,167,2598.0,919372.0,3026.640809,True,False,0.8100069172238875,4337,0.99475,4000,0.70575,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9293756397134084,0.1,4,fixed,0.42333333333333334,30667,667,0.0217497635895262,0.0734632683658171,0.9265367316341829,0.0016306699058204932,0.4513521999997465,1.4383484999998473,0.004925,0.7910350976736645,0.9802129369224588,0.8755214641367246,0.9525582201912944,39803,197,2578,9759,667,10448.0,4572283.0,11180.842468,167,2851.0,1406276.0,3078.133915,True,False,0.8017062485589117,4337,0.9955,4000,0.575,4000,0.0,1.0,cicids,,,
a1,rf,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9293756397134084,0.1,4,recalibrated,0.25718404742656964,30667,667,0.0217497635895262,0.0734632683658171,0.9265367316341829,0.0016306699058204932,0.4513521999997465,1.4383484999998473,0.009925,0.8547458863581098,0.9637177846828733,0.9059667511491042,0.9525582201912944,39603,397,1792,10545,667,10448.0,4572283.0,11180.842468,167,2851.0,1406276.0,3078.133915,True,False,0.8282222734609177,4337,0.99625,4000,0.742,4000,0.0,1.0,cicids,,,
