scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9394063459570112,0.1,0,fixed,0.47,30000,0,0.0,,,0.0,0.0,1.6018174000000727,0.0015,0.78341574126611,0.9938303341902314,0.8761671652615355,0.9640888019777903,39940,60,2672,9665,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7936361540235186,4337,0.99425,4000,0.5615,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9394063459570112,0.1,0,recalibrated,0.2163729603729604,30000,0,0.0,,,0.0,0.0,1.6018174000000727,0.0097,0.8587176785280052,0.9646694591149153,0.9086152922509542,0.9640888019777903,39612,388,1743,10594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8349089232188148,4337,0.99625,4000,0.747,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9398157625383828,0.1,1,fixed,0.47,30167,167,0.005535850432591905,0.005988023952095809,0.9940119760479041,3.333222225925803e-05,0.03054600000177743,1.613212399999611,0.0041,0.7646915781794602,0.9829131068972703,0.8601777980396628,0.9617683229310205,39836,164,2903,9434,167,3033.0,1587154.0,2960.75892,167,3033.0,1587154.0,2960.75892,True,False,0.7894858196910307,4337,0.994,4000,0.5085,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9398157625383828,0.1,1,recalibrated,0.21523809523809523,30167,167,0.005535850432591905,0.005988023952095809,0.9940119760479041,3.333222225925803e-05,0.03054600000177743,1.613212399999611,0.009925,0.8659317500202642,0.9641696750902528,0.9124140581628731,0.9617683229310205,39603,397,1654,10683,167,3033.0,1587154.0,2960.75892,167,3033.0,1587154.0,2960.75892,True,False,0.8572746137883329,4337,0.99625,4000,0.745,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9367451381780962,0.1,2,fixed,0.47,30333,333,0.010978142616951835,0.009009009009009009,0.990990990990991,9.999000099990002e-05,0.031145199998718454,1.3452617000002647,0.010975,0.8007619356407555,0.9574529947664276,0.8721253586404768,0.9630507133014509,39561,439,2458,9879,333,12890.0,11939070.0,5962.668189,166,9857.0,10351916.0,3001.909269,True,False,0.7975559142264238,4337,0.9945,4000,0.6105,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9367451381780962,0.1,2,recalibrated,0.5266666666666666,30333,333,0.010978142616951835,0.009009009009009009,0.990990990990991,9.999000099990002e-05,0.031145199998718454,1.3452617000002647,0.01,0.7625030396368647,0.959212807178546,0.8496206647398844,0.9630507133014509,39600,400,2930,9407,333,12890.0,11939070.0,5962.668189,166,9857.0,10351916.0,3001.909269,True,False,0.7940973022826839,4337,0.994,4000,0.49675,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9314227226202662,0.1,3,fixed,0.47,30500,500,0.01639344262295082,0.01,0.99,0.00016663889351774705,0.019266899998910958,1.1899284999999509,0.00655,0.8116235713706735,0.9745012165450122,0.8856359455156555,0.9750530578746859,39738,262,2324,10013,500,15268.0,13115439.0,8078.4298770000005,167,2378.0,1176369.0,2115.761688,True,False,0.8005533779109983,4337,0.994,4000,0.64125,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9314227226202662,0.1,3,recalibrated,0.42066666666666663,30500,500,0.01639344262295082,0.01,0.99,0.00016663889351774705,0.019266899998910958,1.1899284999999509,0.0098,0.8283213098808462,0.9630572047874847,0.8906222764511068,0.9750530578746859,39608,392,2118,10219,500,15268.0,13115439.0,8078.4298770000005,167,2378.0,1176369.0,2115.761688,True,False,0.8065483052801475,4337,0.994,4000,0.68625,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9371545547594677,0.1,4,fixed,0.47,30667,667,0.0217497635895262,0.010494752623688156,0.9895052473763118,0.00023327890158962908,0.018936200000098324,1.4165228999991086,0.0042,0.8144605657777417,0.9835552075176194,0.8910566221788676,0.9703611108859528,39832,168,2289,10048,667,17591.0,13927128.0,11125.027763,167,2323.0,811689.0,3046.597886,True,False,0.7885635231727001,4337,0.9945,4000,0.6625,4000,0.0,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9371545547594677,0.1,4,recalibrated,0.24965868428296176,30667,667,0.0217497635895262,0.010494752623688156,0.9895052473763118,0.00023327890158962908,0.018936200000098324,1.4165228999991086,0.0097,0.8560427980870552,0.9645629737875605,0.9070686249248475,0.9703611108859528,39612,388,1776,10561,667,17591.0,13927128.0,11125.027763,167,2323.0,811689.0,3046.597886,True,False,0.8247636615171777,4337,0.99575,4000,0.75025,4000,0.0,1.0,cicids,,,
