scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.2,0,fixed,0.47,30000,0,0.0,,,0.0,0.0,4.008348300001671,0.0015,0.78341574126611,0.9938303341902314,0.8761671652615355,0.9640888019777903,39940,60,2672,9665,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7936361540235186,4337,0.99425,4000,0.5615,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.2,0,recalibrated,0.2163729603729604,30000,0,0.0,,,0.0,0.0,4.008348300001671,0.0097,0.8587176785280052,0.9646694591149153,0.9086152922509542,0.9640888019777903,39612,388,1743,10594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8349089232188148,4337,0.99625,4000,0.747,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9426816786079836,0.2,1,fixed,0.47,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,4.890000127488747e-05,2.493536599999061,0.006425,0.7628272675691011,0.9734174596607365,0.8553510565780506,0.969320535786658,39743,257,2926,9411,375,37954.56201378043,10613735630.298872,534483.0328699432,375,37954.56201378043,10613735630.298872,534483.0328699432,True,False,0.7572054415494581,4337,0.995,4000,0.53675,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9426816786079836,0.2,1,recalibrated,0.4318205128205128,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,4.890000127488747e-05,2.493536599999061,0.009775,0.7816324876388101,0.9610324895355791,0.8620982522015108,0.969320535786658,39609,391,2694,9643,375,37954.56201378043,10613735630.298872,534483.0328699432,375,37954.56201378043,10613735630.298872,534483.0328699432,True,False,0.7650449619552686,4337,0.9955,4000,0.58575,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.2,2,fixed,0.47,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,3.18000020342879e-05,2.7012532000007923,0.010025,0.7499392072627057,0.9584585103076764,0.8414733969986358,0.9514603155143065,39599,401,3085,9252,750,64235.02272494306,44113677939.76541,1069714.8530985937,375,26280.460711162636,33499942309.466537,535231.8202286506,True,False,0.661517177772654,4337,0.99475,4000,0.601,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.2,2,recalibrated,0.4747536231884058,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,3.18000020342879e-05,2.7012532000007923,0.01,0.7496960363135284,0.9585449269354337,0.841353588647321,0.9514603155143065,39600,400,3088,9249,750,64235.02272494306,44113677939.76541,1069714.8530985937,375,26280.460711162636,33499942309.466537,535231.8202286506,True,False,0.6610560295134886,4337,0.99475,4000,0.60075,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9346980552712385,0.2,3,fixed,0.47,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,5.669999882229604e-05,2.5714458000002196,0.0046,0.7333225257355921,0.980067164987542,0.8389280415430267,0.9517245096052525,39816,184,3290,9047,1125,114829.16537791691,66568748650.08008,1669469.0822127687,375,50594.14265297386,22455070710.314667,599754.2291141751,True,False,0.5981092921374221,4337,0.9945,4000,0.61875,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9346980552712385,0.2,3,recalibrated,0.29,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,5.669999882229604e-05,2.5714458000002196,0.0099,0.8341574126611008,0.9629456348835034,0.8939367616400278,0.9517245096052525,39604,396,2046,10291,1125,114829.16537791691,66568748650.08008,1669469.0822127687,375,50594.14265297386,22455070710.314667,599754.2291141751,True,False,0.7821074475443855,4337,0.99625,4000,0.7285,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9424769703172978,0.2,4,fixed,0.47,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,4.260000059730373e-05,2.087024399999791,0.011075,0.7842263110967009,0.9562166436054557,0.8617234468937875,0.9740530953635406,39557,443,2662,9675,1500,478185.6361197509,76453248731.77347,2234763.1996629005,375,363356.470741834,9884500081.693398,565294.1174501316,True,False,0.6495273230343556,4337,0.995,4000,0.7195,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9424769703172978,0.2,4,recalibrated,0.5289392882286871,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,4.260000059730373e-05,2.087024399999791,0.00995,0.7441841614655103,0.9584507777429795,0.837835371418142,0.9740530953635406,39602,398,3156,9181,1500,478185.6361197509,76453248731.77347,2234763.1996629005,375,363356.470741834,9884500081.693398,565294.1174501316,True,False,0.5911920682499423,4337,0.99475,4000,0.6595,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.946775844421699,0.2,5,fixed,0.47,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,1.7499998648418114e-05,1.840243400001782,0.017775,0.7329172408202966,0.9270993540449093,0.8186509732910819,0.9525048441679501,39289,711,3295,9042,1875,507625.7445311073,77366285472.75803,2842625.4279114725,375,29440.108411356407,913036740.9845592,607862.2282485717,True,False,0.581969103066636,4337,0.99525,4000,0.63425,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.946775844421699,0.2,5,recalibrated,0.5445636856368563,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,1.7499998648418114e-05,1.840243400001782,0.0089,0.6931182621382832,0.9600314359492534,0.8050273018263981,0.9525048441679501,39644,356,3786,8551,1875,507625.7445311073,77366285472.75803,2842625.4279114725,375,29440.108411356407,913036740.9845592,607862.2282485717,True,False,0.5434632234263316,4337,0.99475,4000,0.55375,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9404298874104401,0.2,6,fixed,0.47,32250,2250,0.06976744186046512,1.0,0.0,0.06976744186046512,1.6299996786983684e-05,1.8202803999993193,0.002975,0.723433573802383,0.9868421052631579,0.8348533744913709,0.9762269990678447,39881,119,3412,8925,2250,537616.0289420458,80994944041.94214,3412516.560826058,375,29990.284410938504,3628658569.184119,569891.1329145854,True,False,0.6246253170394281,4337,0.9945,4000,0.5595,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9404298874104401,0.2,6,recalibrated,0.37485171632317543,32250,2250,0.06976744186046512,1.0,0.0,0.06976744186046512,1.6299996786983684e-05,1.8202803999993193,0.0093,0.7889276161141282,0.9631865413161801,0.8673914980839498,0.9762269990678447,39628,372,2604,9733,2250,537616.0289420458,80994944041.94214,3412516.560826058,375,29990.284410938504,3628658569.184119,569891.1329145854,True,False,0.6714318653447083,4337,0.99525,4000,0.71,4000,1.5,1.0,cicids,,,
a1,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9451381780962129,0.2,7,fixed,0.47,32625,2625,0.08045977011494253,1.0,0.0,0.08045977011494253,2.9599999834317714e-05,1.8656086000009964,0.012725,0.702845100105374,0.9445533769063181,0.8059673746340102,0.9542436643835617,39491,509,3666,8671,2625,574054.8584975197,86203576481.21642,3858901.6774495626,375,36438.82955547405,5208632439.27428,446385.1166235048,True,False,0.5985704403965875,4337,0.995,4000,0.52375,4000,1.5,1.0,cicids,,,
