scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9408393039918117,0.5,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,5.584915999999794,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9408393039918117,0.5,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,5.584915999999794,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9361310133060389,0.5,1,fixed,0.7930201292037964,31500,1500,0.047619047619047616,0.3275526754574069,0.0,0.016113729020261234,0.0002643000007083174,0.929680000001099,0.0006,0.7763637837399692,0.997500520724849,0.8731482747618395,0.9766454506768258,39976,24,2759,9578,1500,29440.0,16128317.0,29295.269834,1500,29440.0,16128317.0,29295.269834,True,False,0.737606640534932,4337,0.993,4000,0.60175,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9361310133060389,0.5,1,recalibrated,0.11491761356592178,31500,1500,0.047619047619047616,0.3275526754574069,0.0,0.016113729020261234,0.0002643000007083174,0.929680000001099,0.01,0.8733889924617005,0.9642058165548099,0.9165532494045594,0.9766454506768258,39600,400,1562,10775,1500,29440.0,16128317.0,29295.269834,1500,29440.0,16128317.0,29295.269834,True,False,0.8752593958957805,4337,0.996,4000,0.74875,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9375639713408394,0.5,2,fixed,0.7930201292037964,33000,3000,0.09090909090909091,0.3076084457384234,0.0,0.029842853204770405,0.00021809999816468917,0.9564711000020907,0.000525,0.7073842911566831,0.997599451303155,0.8277922693858193,0.9720939207262705,39979,21,3610,8727,3000,55208.0,28848753.0,54336.459242,1500,25768.0,12720436.0,25041.189408,True,False,0.6520636384597648,4337,0.988,4000,0.48675,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9375639713408394,0.5,2,recalibrated,0.18022094666957855,33000,3000,0.09090909090909091,0.3076084457384234,0.0,0.029842853204770405,0.00021809999816468917,0.9564711000020907,0.01,0.860419875172246,0.9636858828869723,0.909129838985954,0.9720939207262705,39600,400,1722,10615,3000,55208.0,28848753.0,54336.459242,1500,25768.0,12720436.0,25041.189408,True,False,0.8480516486050265,4337,0.9965,4000,0.73775,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9283520982599796,0.5,3,fixed,0.7930201292037964,34500,4500,0.13043478260869565,0.30947231007585563,0.0,0.04436154599379302,0.00015640000128769316,1.0055911000017659,0.00055,0.7141120207505877,0.9975090579710145,0.832349189853087,0.9698604705357866,39978,22,3527,8810,4500,86140.0,46430593.0,79990.00722,1500,30932.0,17581840.0,25653.547978,True,False,0.6495273230343556,4337,0.9935,4000,0.50475,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9283520982599796,0.5,3,recalibrated,0.3879392743110657,34500,4500,0.13043478260869565,0.30947231007585563,0.0,0.04436154599379302,0.00015640000128769316,1.0055911000017659,0.00985,0.8354543243900462,0.9631810111204561,0.8947825332060075,0.9698604705357866,39606,394,2030,10307,4500,86140.0,46430593.0,79990.00722,1500,30932.0,17581840.0,25653.547978,True,False,0.7841826147106294,4337,0.99625,4000,0.73025,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9308085977482088,0.5,4,fixed,0.7930201292037964,36000,6000,0.16666666666666666,0.30933416078153836,0.0,0.05826232657693637,0.00023750000036670826,1.0097937999998976,0.00045,0.6703412498986788,0.9978281853281853,0.8019393939393941,0.9659893085839345,39982,18,4067,8270,6000,115100.0,63200495.0,106408.848534,1500,28960.0,16769902.0,26418.841314,True,False,0.6278533548535854,4337,0.98975,4000,0.397,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9308085977482088,0.5,4,recalibrated,0.3328096270561218,36000,6000,0.16666666666666666,0.30933416078153836,0.0,0.05826232657693637,0.00023750000036670826,1.0097937999998976,0.01,0.8198103266596417,0.9619554879208674,0.8852129009671349,0.9659893085839345,39600,400,2223,10114,6000,115100.0,63200495.0,106408.848534,1500,28960.0,16769902.0,26418.841314,True,False,0.819229882407194,4337,0.99575,4000,0.6445,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.925281473899693,0.5,5,fixed,0.7930201292037964,37500,7500,0.2,0.3076642205971536,0.0,0.0714225169004708,0.00017149999985122122,1.0742390000013984,0.0006,0.7299181324471103,0.997341898327611,0.8429280164747731,0.9669220616843641,39976,24,3332,9005,7500,147524.0,83093446.0,131487.513708,1500,32424.0,19892951.0,25078.665174,True,False,0.6864191837675813,4337,0.99075,4000,0.51625,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.925281473899693,0.5,5,recalibrated,0.488761842250824,37500,7500,0.2,0.3076642205971536,0.0,0.0714225169004708,0.00017149999985122122,1.0742390000013984,0.009975,0.7750668720110238,0.9599437807449052,0.8576553951027,0.9669220616843641,39601,399,2775,9562,7500,147524.0,83093446.0,131487.513708,1500,32424.0,19892951.0,25078.665174,True,False,0.7825685958035509,4337,0.9945,4000,0.5475,4000,0.0,1.0,cicids,8.0,2.0,duration_s
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdur,0.1,0.9226202661207779,0.5,6,fixed,0.7930201292037964,39000,9000,0.23076923076923078,0.30941798276599325,0.0,0.08494073734830719,0.00016999999934341758,1.009568199999194,0.00025,0.6858231336629651,0.9988195018297722,0.8132449058054594,0.9653747132609224,39990,10,3876,8461,9000,177034.0,98877375.0,160475.81394100003,1500,29510.0,15783929.0,28988.300233,True,False,0.5748213050495734,4337,0.98925,4000,0.50275,4000,0.0,1.0,cicids,8.0,2.0,duration_s
