scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9408393039918117,0.5,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,3.3264425000015763,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9408393039918117,0.5,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,3.3264425000015763,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9361310133060389,0.5,1,fixed,0.7930201292037964,31500,1500,0.047619047619047616,0.2521449771687334,0.0,0.012450285016870519,0.0003490999988571275,0.9722494999987248,0.00055,0.6386479695225744,0.9972155423364131,0.7786342523964819,0.9760446542919673,39978,22,4458,7879,1500,29440.0,16128317.0,29295.269834,1500,29440.0,16128317.0,29295.269834,True,False,0.7014065021904542,4337,0.992,4000,0.21725,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9361310133060389,0.5,1,recalibrated,0.11004766821861267,31500,1500,0.047619047619047616,0.2521449771687334,0.0,0.012450285016870519,0.0003490999988571275,0.9722494999987248,0.0099,0.8545027154089325,0.9637959407569939,0.9058646616541353,0.9760446542919673,39604,396,1795,10542,1500,29440.0,16128317.0,29295.269834,1500,29440.0,16128317.0,29295.269834,True,False,0.8542771501037584,4337,0.9965,4000,0.71275,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9375639713408394,0.5,2,fixed,0.7930201292037964,33000,3000,0.09090909090909091,0.23982433719035204,0.0,0.023420747201622023,0.00016770000365795568,0.864368899998226,0.0004,0.6316770689794926,0.997951082084774,0.7736523379330885,0.9723934830185621,39984,16,4544,7793,3000,55208.0,28848753.0,54336.459242,1500,25768.0,12720436.0,25041.189408,True,False,0.7030205210975329,4337,0.98875,4000,0.19725,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9375639713408394,0.5,2,recalibrated,0.1935742050409317,33000,3000,0.09090909090909091,0.23982433719035204,0.0,0.023420747201622023,0.00016770000365795568,0.864368899998226,0.009675,0.837075464051228,0.963879036774314,0.8960131881480197,0.9723934830185621,39613,387,2010,10327,3000,55208.0,28848753.0,54336.459242,1500,25768.0,12720436.0,25041.189408,True,False,0.8134655291676274,4337,0.99525,4000,0.7045,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9283520982599796,0.5,3,fixed,0.7930201292037964,34500,4500,0.13043478260869565,0.23784940999245197,0.0,0.034448382385046154,0.0001706000039121136,0.8738823999992746,0.0013,0.6182216097916835,0.993228284932934,0.7620903277378098,0.9717462723919915,39948,52,4710,7627,4500,86140.0,46430593.0,79990.00722,1500,30932.0,17581840.0,25653.547978,True,False,0.6972561678579663,4337,0.9935,4000,0.15725,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9283520982599796,0.5,3,recalibrated,0.19269143044948578,34500,4500,0.13043478260869565,0.23784940999245197,0.0,0.034448382385046154,0.0001706000039121136,0.8738823999992746,0.01,0.8129204830996191,0.9616454118323905,0.8810506896248792,0.9717462723919915,39600,400,2308,10029,4500,86140.0,46430593.0,79990.00722,1500,30932.0,17581840.0,25653.547978,True,False,0.8120820843901314,4337,0.996,4000,0.63075,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9308085977482088,0.5,4,fixed,0.7930201292037964,36000,6000,0.16666666666666666,0.23657091003470884,0.0,0.04517668415057151,0.00019189999875379726,0.913342099996953,0.000475,0.7262705682094512,0.9978839514422542,0.8406830549821731,0.9721788583123936,39981,19,3377,8960,6000,115100.0,63200495.0,106408.848534,1500,28960.0,16769902.0,26418.841314,True,False,0.6848051648605027,4337,0.99425,4000,0.50325,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
a1,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.75_g2,0.1,0.9308085977482088,0.5,4,recalibrated,0.2372894138097763,36000,6000,0.16666666666666666,0.23657091003470884,0.0,0.04517668415057151,0.00019189999875379726,0.913342099996953,0.01,0.8471265299505553,0.9631370380610083,0.9014145247541833,0.9721788583123936,39600,400,1886,10451,6000,115100.0,63200495.0,106408.848534,1500,28960.0,16769902.0,26418.841314,True,False,0.8160018445930367,4337,0.99525,4000,0.73275,4000,0.0,1.0,cicids,8.0,2.0,all,0.75,median,7.693319112686043,
