scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.05,0,fixed,0.32942160964012146,30000,0,0.0,,,0.0,0.0,1.0959972999989986,0.012675,0.8043284428953554,0.9513902205177373,0.8717002679316554,0.9834592121261246,39493,507,2414,9923,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8102374913534701,4337,0.99475,4000,0.6075,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.05,0,recalibrated,0.3517208993434906,30000,0,0.0,,,0.0,0.0,1.0959972999989986,0.006325,0.7968712004539191,0.974910749702499,0.8769457205298603,0.9834592121261246,39747,253,2506,9831,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8095457689647222,4337,0.99475,4000,0.58525,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.05,1,fixed,0.32942160964012146,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.3200002033263445e-05,1.117008999999598,0.014775,0.7924941233687283,0.9429976851851852,0.8612199955956839,0.9829586315554835,39409,591,2560,9777,79,1194.2698120423217,423155.64602711494,1331.08155126597,79,1194.2698120423217,423155.64602711494,1331.08155126597,True,False,0.8060871570209822,4337,0.9955,4000,0.57475,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.05,1,recalibrated,0.36772939562797546,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.3200002033263445e-05,1.117008999999598,0.00745,0.7916024965550782,0.970389507154213,0.8719253604749787,0.9829586315554835,39702,298,2571,9766,79,1194.2698120423217,423155.64602711494,1331.08155126597,79,1194.2698120423217,423155.64602711494,1331.08155126597,True,False,0.8047037122434862,4337,0.9955,4000,0.5735,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9404298874104401,0.05,2,fixed,0.32942160964012146,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,2.5899998945533298e-05,1.101567800000339,0.0053,0.8170543892356327,0.9794014768752429,0.8908922179504176,0.9845194475966604,39788,212,2257,10080,158,2045.5142738019797,625024.1172048674,2246.5982659396172,79,851.244461759658,201868.47117775245,915.5167146736474,True,False,0.8033202674659903,4337,0.9955,4000,0.6535,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9404298874104401,0.05,2,recalibrated,0.249375119805336,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,2.5899998945533298e-05,1.101567800000339,0.0097,0.8447758774418416,0.9641073080481036,0.9005054650710675,0.9845194475966604,39612,388,1915,10422,158,2045.5142738019797,625024.1172048674,2246.5982659396172,79,851.244461759658,201868.47117775245,915.5167146736474,True,False,0.8328337560525709,4337,0.99625,4000,0.70625,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9383828045035824,0.05,3,fixed,0.32942160964012146,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,4.0600001739221625e-05,1.1720012999994651,0.005575,0.8437221366620734,0.9790255831452219,0.9063520397056903,0.9838107370106185,39777,223,1928,10409,237,2973.680695041823,927879.9669232043,3229.997200320076,79,928.1664212398432,302855.8497183368,983.3989343804587,True,False,0.8095457689647222,4337,0.996,4000,0.7285,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9383828045035824,0.05,3,recalibrated,0.26332277059555054,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,4.0600001739221625e-05,1.1720012999994651,0.008525,0.8540974304936371,0.9686523257951829,0.9077751453801421,0.9838107370106185,39659,341,1800,10537,237,2973.680695041823,927879.9669232043,3229.997200320076,79,928.1664212398432,302855.8497183368,983.3989343804587,True,False,0.8256859580355084,4337,0.996,4000,0.743,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9299897645854657,0.05,4,fixed,0.32942160964012146,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,3.510000169626437e-05,1.163324900000589,0.006,0.7933857501823782,0.976067012365377,0.875296221775095,0.9837333975034449,39760,240,2549,9788,316,4666.95130667986,2088498.5984399174,4762.045818448533,79,1693.2706116380366,1160618.6315167132,1532.0486181284573,True,False,0.7970947659672585,4337,0.99525,4000,0.5875,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9299897645854657,0.05,4,recalibrated,0.2487701177597046,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,3.510000169626437e-05,1.163324900000589,0.008575,0.8166491043203372,0.9670762142445767,0.8855196660074708,0.9837333975034449,39657,343,2262,10075,316,4666.95130667986,2088498.5984399174,4762.045818448533,79,1693.2706116380366,1160618.6315167132,1532.0486181284573,True,False,0.8312197371454922,4337,0.996,4000,0.6215,4000,0.01,1.0,cicids,,,,0.013916979386420246,0.00788783241183347,0.08799988475198393,1579
