scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9363357215967246,0.5,0,fixed,0.32942160964012146,30000,0,0.0,,,0.0,0.0,4.303212599999824,0.012675,0.8043284428953554,0.9513902205177373,0.8717002679316554,0.9834592121261246,39493,507,2414,9923,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8102374913534701,4337,0.99475,4000,0.6075,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9363357215967246,0.5,0,recalibrated,0.3517208993434906,30000,0,0.0,,,0.0,0.0,4.303212599999824,0.006325,0.7968712004539191,0.974910749702499,0.8769457205298603,0.9834592121261246,39747,253,2506,9831,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8095457689647222,4337,0.99475,4000,0.58525,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9381780962128966,0.5,1,fixed,0.32942160964012146,31500,1500,0.047619047619047616,0.46716866709098487,0.0,0.022825270788047105,0.00016529999993508682,1.0187802000000374,0.00595,0.7755532139093783,0.9757291454211707,0.8642008761233797,0.9824366752451974,39762,238,2769,9568,1500,204480.0,96691632.0,210640.92868,1500,204480.0,96691632.0,210640.92868,True,False,0.7851049112289601,4337,0.996,4000,0.54475,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9381780962128966,0.5,1,recalibrated,0.15121188759803772,31500,1500,0.047619047619047616,0.46716866709098487,0.0,0.022825270788047105,0.00016529999993508682,1.0187802000000374,0.0091,0.8228094350328281,0.9653827864954826,0.8884123927883774,0.9824366752451974,39636,364,2186,10151,1500,204480.0,96691632.0,210640.92868,1500,204480.0,96691632.0,210640.92868,True,False,0.8489739451233571,4337,0.9965,4000,0.62075,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.944114636642784,0.5,2,fixed,0.32942160964012146,33000,3000,0.09090909090909091,0.474670955638011,0.0,0.04531607318724589,0.000274800000624964,1.1279437000011967,0.011975,0.8125962551673827,0.9543983244478293,0.8778074515126307,0.983855754032585,39521,479,2312,10025,3000,402848.0,188143456.0,429531.77052,1500,198368.0,91451824.0,218890.84184,True,False,0.7791099838598109,4337,0.99525,4000,0.66625,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.944114636642784,0.5,2,recalibrated,0.3518877327442169,33000,3000,0.09090909090909091,0.474670955638011,0.0,0.04531607318724589,0.000274800000624964,1.1279437000011967,0.01,0.8117046283537327,0.9615901670827732,0.8803129532767792,0.983855754032585,39600,400,2323,10014,3000,402848.0,188143456.0,429531.77052,1500,198368.0,91451824.0,218890.84184,True,False,0.7777265390823149,4337,0.995,4000,0.66525,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9410440122824975,0.5,3,fixed,0.32942160964012146,34500,4500,0.13043478260869565,0.4768653730236725,0.0,0.06675484485463914,0.00031940000189933926,1.1202383999989252,0.0065,0.7249736564805058,0.9717514124293786,0.8304164152082077,0.9851871990759504,39740,260,3393,8944,4500,591632.0,265889768.0,644090.3243120001,1500,188784.0,77746312.0,214558.553792,True,False,0.778418261471063,4337,0.9955,4000,0.3965,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9410440122824975,0.5,3,recalibrated,0.17863014340400696,34500,4500,0.13043478260869565,0.4768653730236725,0.0,0.06675484485463914,0.00031940000189933926,1.1202383999989252,0.01,0.80035665072546,0.961066770488612,0.8733802131705807,0.9851871990759504,39600,400,2463,9874,4500,591632.0,265889768.0,644090.3243120001,1500,188784.0,77746312.0,214558.553792,True,False,0.8012451002997464,4337,0.99625,4000,0.6035,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9308085977482088,0.5,4,fixed,0.32942160964012146,36000,6000,0.16666666666666666,0.47047734856118023,0.0,0.08600297900601363,0.00015590000111842528,1.0583309000030567,0.003975,0.6808786576963606,0.9814230634419909,0.8039816232771823,0.9759072221771906,39841,159,3937,8400,6000,888016.0,458330448.0,856073.0110800001,1500,296384.0,192440680.0,211982.686768,True,False,0.7680424256398433,4337,0.9955,4000,0.27175,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9308085977482088,0.5,4,recalibrated,0.2643810212612152,36000,6000,0.16666666666666666,0.47047734856118023,0.0,0.08600297900601363,0.00015590000111842528,1.0583309000030567,0.009725,0.6933614330874605,0.9565022922956502,0.8039473684210525,0.9759072221771906,39611,389,3783,8554,6000,888016.0,458330448.0,856073.0110800001,1500,296384.0,192440680.0,211982.686768,True,False,0.7765736684344017,4337,0.99575,4000,0.30075,4000,0.0,8.0,cicids,8.0,2.0,all,0.32922572537129113,0.15521615787133378,0.463059165431158,2000
