scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9363357215967246,0.5,0,fixed,0.32942160964012146,30000,0,0.0,,,0.0,0.0,0.7403330999986792,0.012675,0.8043284428953554,0.9513902205177373,0.8717002679316554,0.9834592121261246,39493,507,2414,9923,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8102374913534701,4337,0.99475,4000,0.6075,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9363357215967246,0.5,0,recalibrated,0.3517208993434906,30000,0,0.0,,,0.0,0.0,0.7403330999986792,0.006325,0.7968712004539191,0.974910749702499,0.8769457205298603,0.9834592121261246,39747,253,2506,9831,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8095457689647222,4337,0.99475,4000,0.58525,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9416581371545547,0.5,1,fixed,0.32942160964012146,31500,1500,0.047619047619047616,0.074,0.926,0.003686360466274783,0.1650065999965591,0.8188644999972894,0.0049,0.8350490394747507,0.9813297771004,0.9022991022553098,0.9866008632568696,39804,196,2035,10302,1500,135031.0999587332,89764782909.2381,2191789.054422331,1500,135031.0999587332,89764782909.2381,2191789.054422331,True,False,0.8127738067788794,4337,0.99575,4000,0.6985,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9416581371545547,0.5,1,recalibrated,0.27493157982826233,31500,1500,0.047619047619047616,0.074,0.926,0.003686360466274783,0.1650065999965591,0.8188644999972894,0.0068,0.836994407068169,0.9743347801471975,0.9004578155657292,0.9866008632568696,39728,272,2011,10326,1500,135031.0999587332,89764782909.2381,2191789.054422331,1500,135031.0999587332,89764782909.2381,2191789.054422331,True,False,0.8176158635001153,4337,0.996,4000,0.699,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9463664278403275,0.5,2,fixed,0.32942160964012146,33000,3000,0.09090909090909091,0.07233333333333333,0.9276666666666666,0.007181387960419631,0.15921430000162218,0.7979584999993676,0.0052,0.8328605009321554,0.9801583516169036,0.9005258545135846,0.9851877370916754,39792,208,2062,10275,3000,270003.4984652067,165806551557.28265,4639864.281601439,1500,134972.39850647352,76041768648.04456,2448075.227179108,True,False,0.8065483052801475,4337,0.99525,4000,0.699,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9463664278403275,0.5,2,recalibrated,0.19673322141170502,33000,3000,0.09090909090909091,0.07233333333333333,0.9276666666666666,0.007181387960419631,0.15921430000162218,0.7979584999993676,0.009925,0.8459917321877279,0.9633561011630054,0.9008674636398948,0.9851877370916754,39603,397,1900,10437,3000,270003.4984652067,165806551557.28265,4639864.281601439,1500,134972.39850647352,76041768648.04456,2448075.227179108,True,False,0.8385981092921374,4337,0.99575,4000,0.70425,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9475946775844422,0.5,3,fixed,0.32942160964012146,34500,4500,0.13043478260869565,0.07111111111111111,0.9288888888888889,0.010554089709762533,0.1732112000026973,0.8489365999994334,0.005225,0.8152711356083326,0.9796435180675952,0.8899309856662536,0.9857681081300154,39791,209,2279,10058,4500,388287.3802608424,242490323040.63168,7146251.303075597,1500,118283.88179563567,76683771483.34903,2506387.021474157,True,False,0.8083928983168088,4337,0.99625,4000,0.64175,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9475946775844422,0.5,3,recalibrated,0.20230868458747864,34500,4500,0.13043478260869565,0.07111111111111111,0.9288888888888889,0.010554089709762533,0.1732112000026973,0.8489365999994334,0.009675,0.8472075869336143,0.9642955992250207,0.9019675526406628,0.9857681081300154,39613,387,1885,10452,4500,388287.3802608424,242490323040.63168,7146251.303075597,1500,118283.88179563567,76683771483.34903,2506387.021474157,True,False,0.8425178694950427,4337,0.99625,4000,0.70325,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9447287615148413,0.5,4,fixed,0.32942160964012146,36000,6000,0.16666666666666666,0.07183333333333333,0.9281666666666667,0.014163188853471788,0.18224710000140476,0.996876199998951,0.005425,0.8455053902893734,0.9796205860255447,0.9076354144006961,0.9879225642376591,39783,217,1906,10431,6000,540116.2309759454,298995302064.44366,9626616.118693333,1500,151828.85071510295,56504979023.812,2480364.815617736,True,False,0.8042425639843209,4337,0.996,4000,0.73975,4000,1.5,1.0,cicids,,,
a1,xgboost,2,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9447287615148413,0.5,4,recalibrated,0.15856845676898956,36000,6000,0.16666666666666666,0.07183333333333333,0.9281666666666667,0.014163188853471788,0.18224710000140476,0.996876199998951,0.009425,0.8650401232066143,0.9658792650918635,0.9126828016762165,0.9879225642376591,39623,377,1665,10672,6000,540116.2309759454,298995302064.44366,9626616.118693333,1500,151828.85071510295,56504979023.812,2480364.815617736,True,False,0.8577357620474982,4337,0.99625,4000,0.74175,4000,1.5,1.0,cicids,,,
