scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.5,0,fixed,0.5018159747123718,30000,0,0.0,,,0.0,0.0,4.404077700000926,0.00455,0.79679014347086,0.9818218138234119,0.8796814175130878,0.9846855809759261,39818,182,2507,9830,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7855660594881254,4337,0.99525,4000,0.6105,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.5,0,recalibrated,0.31572332978248596,30000,0,0.0,,,0.0,0.0,4.404077700000926,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.941453428863869,0.5,1,fixed,0.5018159747123718,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,4.3399999412940815e-05,0.9639825999984168,0.0023,0.815595363540569,0.990939531219224,0.8947579031612645,0.984730392315798,39908,92,2275,10062,1500,1115648.0,790703904.0,856916.202272,1500,1115648.0,790703904.0,856916.202272,True,False,0.7975559142264238,4337,0.9955,4000,0.65525,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.941453428863869,0.5,1,recalibrated,0.2571263611316681,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,4.3399999412940815e-05,0.9639825999984168,0.009525,0.832617329982978,0.964235426640383,0.893605915615485,0.984730392315798,39619,381,2065,10272,1500,1115648.0,790703904.0,856916.202272,1500,1115648.0,790703904.0,856916.202272,True,False,0.8298362923679963,4337,0.99625,4000,0.672,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9430910951893552,0.5,2,fixed,0.5018159747123718,33000,3000,0.09090909090909091,1.0,0.0,0.09090909090909091,2.840000161086209e-05,0.9195891999988817,0.00255,0.8265380562535463,0.99009612583746,0.9009542321965012,0.9855720181162357,39898,102,2140,10197,3000,2051296.0,1326310080.0,1690244.887264,1500,935648.0,535606176.0,833328.684992,True,False,0.7832603181922988,4337,0.995,4000,0.705,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9430910951893552,0.5,2,recalibrated,0.19556120038032532,33000,3000,0.09090909090909091,1.0,0.0,0.09090909090909091,2.840000161086209e-05,0.9195891999988817,0.01,0.8502066953068007,0.9632656809624391,0.9032119176784639,0.9855720181162357,39600,400,1848,10489,3000,2051296.0,1326310080.0,1690244.887264,1500,935648.0,535606176.0,833328.684992,True,False,0.8120820843901314,4337,0.99625,4000,0.7455,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9344933469805528,0.5,3,fixed,0.5018159747123718,34500,4500,0.13043478260869565,1.0,0.0,0.13043478260869565,2.2800002625444904e-05,0.9287273999980243,0.001475,0.821917808219178,0.9942151191293264,0.8998935037273695,0.9858473514630786,39941,59,2197,10140,4500,2759424.0,1606663936.0,2477656.248096,1500,708128.0,280353856.0,787411.360832,True,False,0.772192759972331,4337,0.99375,4000,0.704,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9344933469805528,0.5,3,recalibrated,0.14485397934913635,34500,4500,0.13043478260869565,1.0,0.0,0.13043478260869565,2.2800002625444904e-05,0.9287273999980243,0.00985,0.8548269433411688,0.9639853747714808,0.9061305151007433,0.9858473514630786,39606,394,1791,10546,4500,2759424.0,1606663936.0,2477656.248096,1500,708128.0,280353856.0,787411.360832,True,False,0.8275305510721697,4337,0.9965,4000,0.74275,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9402251791197543,0.5,4,fixed,0.5018159747123718,36000,6000,0.16666666666666666,1.0,0.0,0.16666666666666666,1.939999856404029e-05,1.1559129999986908,0.00205,0.8168922752695145,0.9919291338582678,0.8959416811130373,0.9851910584015563,39918,82,2259,10078,6000,3927168.0,2334714080.0,3379950.593664,1500,1167744.0,728050144.0,902294.345568,True,False,0.7567442932902928,4337,0.99525,4000,0.70375,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9402251791197543,0.5,4,recalibrated,0.18051157891750336,36000,6000,0.16666666666666666,1.0,0.0,0.16666666666666666,1.939999856404029e-05,1.1559129999986908,0.01,0.8521520629002188,0.9633464675158069,0.9043440860215055,0.9851910584015563,39600,400,1824,10513,6000,3927168.0,2334714080.0,3379950.593664,1500,1167744.0,728050144.0,902294.345568,True,False,0.8206133271846898,4337,0.9965,4000,0.742,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9439099283520983,0.5,5,fixed,0.5018159747123718,37500,7500,0.2,1.0,0.0,0.2,2.9899998480686918e-05,1.0758244000026025,0.00115,0.80035665072546,0.9953629032258065,0.8872714202273442,0.9849136996433493,39954,46,2463,9874,7500,5409856.0,3503832192.0,4218524.557088,1500,1482688.0,1169118112.0,838573.963424,True,False,0.7544385519944662,4337,0.995,4000,0.6555,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9439099283520983,0.5,5,recalibrated,0.22131015360355377,37500,7500,0.2,1.0,0.0,0.2,2.9899998480686918e-05,1.0758244000026025,0.00995,0.8440463645943098,0.9631856442512257,0.8996889580093315,0.9849136996433493,39602,398,1924,10413,7500,5409856.0,3503832192.0,4218524.557088,1500,1482688.0,1169118112.0,838573.963424,True,False,0.8219967719621858,4337,0.9965,4000,0.7155,4000,0.0,32.0,cicids,,,,0.5356196294018505,0.24876669607806018,0.7543725507042628,2000
