scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9394063459570112,0.5,0,fixed,0.5018159747123718,30000,0,0.0,,,0.0,0.0,4.097804799999722,0.00455,0.79679014347086,0.9818218138234119,0.8796814175130878,0.9846855809759261,39818,182,2507,9830,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7855660594881254,4337,0.99525,4000,0.6105,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9394063459570112,0.5,0,recalibrated,0.31572332978248596,30000,0,0.0,,,0.0,0.0,4.097804799999722,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9367451381780962,0.5,1,fixed,0.5018159747123718,31500,1500,0.047619047619047616,0.09887744140625,0.0,0.004919550442282407,0.00033740000071702525,1.0690064999980677,0.0049,0.7595849882467375,0.979512908957876,0.8556428049671293,0.97833156662884,39804,196,2966,9371,1500,34864.0,24709497.0,26778.631321,1500,34864.0,24709497.0,26778.631321,True,False,0.787871800783952,4337,0.99525,4000,0.49325,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9367451381780962,0.5,1,recalibrated,0.21424515545368195,31500,1500,0.047619047619047616,0.09887744140625,0.0,0.004919550442282407,0.00033740000071702525,1.0690064999980677,0.006325,0.8394261165599416,0.976152323498916,0.9026409831778959,0.97833156662884,39747,253,1981,10356,1500,34864.0,24709497.0,26778.631321,1500,34864.0,24709497.0,26778.631321,True,False,0.8243025132580124,4337,0.996,4000,0.69925,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9330603889457523,0.5,2,fixed,0.5018159747123718,33000,3000,0.09090909090909091,0.10057413736979166,0.0,0.00995726935934172,0.00024330000087502412,1.0943544000001566,0.004525,0.7429683067196239,0.9806354980207553,0.8454159749123779,0.9781629245359488,39819,181,3171,9166,3000,64103.0,41447190.0,52820.152727,1500,29239.0,16737693.0,26041.521406,True,False,0.7477519022365691,4337,0.99475,4000,0.486,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9330603889457523,0.5,2,recalibrated,0.13754063844680786,33000,3000,0.09090909090909091,0.10057413736979166,0.0,0.00995726935934172,0.00024330000087502412,1.0943544000001566,0.009725,0.8498824673745643,0.964226595549016,0.9034509499806127,0.9781629245359488,39611,389,1852,10485,3000,64103.0,41447190.0,52820.152727,1500,29239.0,16737693.0,26041.521406,True,False,0.844362462531704,4337,0.9965,4000,0.70925,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9244626407369498,0.5,3,fixed,0.5018159747123718,34500,4500,0.13043478260869565,0.09902349175347222,0.0,0.014636125721813319,0.0002328000009583775,1.2820527000003494,0.003925,0.79768177028451,0.9842968593718744,0.8812178195657041,0.9779705682094513,39843,157,2496,9841,4500,86232.0,50208248.0,77426.757753,1500,22129.0,8761058.0,24606.605026,True,False,0.7597417569748675,4337,0.99525,4000,0.64125,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9244626407369498,0.5,3,recalibrated,0.14968709647655487,34500,4500,0.13043478260869565,0.09902349175347222,0.0,0.014636125721813319,0.0002328000009583775,1.2820527000003494,0.009975,0.8407230282888871,0.9629560857859066,0.897697767007097,0.9779705682094513,39601,399,1965,10372,4500,86232.0,50208248.0,77426.757753,1500,22129.0,8761058.0,24606.605026,True,False,0.844362462531704,4337,0.996,4000,0.6815,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9293756397134084,0.5,4,fixed,0.5018159747123718,36000,6000,0.16666666666666666,0.10219856770833333,0.0,0.02003029994856435,0.00015939999866532162,0.9685590000008233,0.004775,0.7010618464780741,0.978393665158371,0.8168295792605186,0.97255421091027,39809,191,3688,8649,6000,122724.0,72959815.0,105623.456052,1500,36492.0,22751567.0,28196.698299,True,False,0.7590500345861194,4337,0.9955,4000,0.34375,4000,0.0,1.0,cicids,8.0,2.0,packets
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cp,0.1,0.9293756397134084,0.5,4,recalibrated,0.262519896030426,36000,6000,0.16666666666666666,0.10219856770833333,0.0,0.02003029994856435,0.00015939999866532162,0.9685590000008233,0.01,0.78519899489341,0.9603449985129374,0.8639850160542276,0.97255421091027,39600,400,2650,9687,6000,122724.0,72959815.0,105623.456052,1500,36492.0,22751567.0,28196.698299,True,False,0.7728844823610791,4337,0.996,4000,0.58775,4000,0.0,1.0,cicids,8.0,2.0,packets
