scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9394063459570112,0.9,0,fixed,0.5018159747123718,30000,0,0.0,,,0.0,0.0,3.4284033000003546,0.00455,0.79679014347086,0.9818218138234119,0.8796814175130878,0.9846855809759261,39818,182,2507,9830,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7855660594881254,4337,0.99525,4000,0.6105,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9394063459570112,0.9,0,recalibrated,0.31572332978248596,30000,0,0.0,,,0.0,0.0,3.4284033000003546,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9244626407369498,0.9,1,fixed,0.5018159747123718,43500,13500,0.3103448275862069,0.014222222222222223,0.9857777777777778,0.006359300476947536,1.4613633999979356,1.027431999988039,0.00515,0.7916024965550782,0.979342158042519,0.8755210901429916,0.9868972004944476,39794,206,2571,9766,13500,271444.0,160016997.0,237315.499295,13500,271444.0,160016997.0,237315.499295,True,False,0.800092229651833,4337,0.9945,4000,0.5795,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9244626407369498,0.9,1,recalibrated,0.22453954815864563,43500,13500,0.3103448275862069,0.014222222222222223,0.9857777777777778,0.006359300476947536,1.4613633999979356,1.027431999988039,0.0099,0.8141363378455054,0.9620689655172414,0.8819423102252272,0.9868972004944476,39604,396,2293,10044,13500,271444.0,160016997.0,237315.499295,13500,271444.0,160016997.0,237315.499295,True,False,0.8383675351625548,4337,0.9955,4000,0.6065,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9156601842374616,0.9,2,fixed,0.5018159747123718,57000,27000,0.47368421052631576,0.013888888888888888,0.9861111111111112,0.012345679012345678,1.4075148999982048,1.4744547000009334,0.007075,0.7927372943179055,0.9718771738050284,0.8732142857142857,0.9832441568047338,39717,283,2557,9780,27000,542648.0,315123434.0,475946.391497,13500,271204.0,155106437.0,238630.892202,True,False,0.8042425639843209,4337,0.995,4000,0.578,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9156601842374616,0.9,2,recalibrated,0.29070475697517395,57000,27000,0.47368421052631576,0.013888888888888888,0.9861111111111112,0.012345679012345678,1.4075148999982048,1.4744547000009334,0.01,0.8172975601848099,0.9618429838786607,0.8836985100788782,0.9832441568047338,39600,400,2254,10083,27000,542648.0,315123434.0,475946.391497,13500,271204.0,155106437.0,238630.892202,True,False,0.8116209361309661,4337,0.99625,4000,0.6445,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9103377686796316,0.9,3,fixed,0.5018159747123718,70500,40500,0.574468085106383,0.014049382716049382,0.9859506172839506,0.0186136281854166,1.4114695999887772,2.1395020999916596,0.007475,0.8331036718813326,0.9717311146828023,0.8970934799685782,0.9844643106103591,39701,299,2059,10278,40500,803055.0,460685350.0,713013.182664,13500,260407.0,145561916.0,237066.791167,True,False,0.8100069172238875,4337,0.996,4000,0.69525,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9103377686796316,0.9,3,recalibrated,0.292446494102478,70500,40500,0.574468085106383,0.014049382716049382,0.9859506172839506,0.0186136281854166,1.4114695999887772,2.1395020999916596,0.00995,0.844208478560428,0.9631924535281605,0.8997840172786178,0.9844643106103591,39602,398,1922,10415,40500,803055.0,460685350.0,713013.182664,13500,260407.0,145561916.0,237066.791167,True,False,0.8222273460917685,4337,0.996,4000,0.71625,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.912589559877175,0.9,4,fixed,0.5018159747123718,84000,54000,0.6428571428571429,0.014092592592592592,0.9859074074074075,0.02473911771398849,1.4343627000052948,3.599044699993101,0.0081,0.8160006484558645,0.9688191704359542,0.8858676522351284,0.98612203331442,39676,324,2270,10067,54000,1061523.0,606245207.0,950601.705367,13500,258468.0,145559857.0,237588.522703,True,False,0.7989393590039198,4337,0.9955,4000,0.655,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.912589559877175,0.9,4,recalibrated,0.3052637577056885,84000,54000,0.6428571428571429,0.014092592592592592,0.9859074074074075,0.02473911771398849,1.4343627000052948,3.599044699993101,0.009975,0.8421009970008916,0.9630144605116796,0.898508108108108,0.98612203331442,39601,399,1948,10389,54000,1061523.0,606245207.0,950601.705367,13500,258468.0,145559857.0,237588.522703,True,False,0.813004380908462,4337,0.996,4000,0.71975,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9089048106448311,0.9,5,fixed,0.5018159747123718,97500,67500,0.6923076923076923,0.013837037037037037,0.9861629629629629,0.030193314799250016,1.421874099993147,4.535840700002154,0.00795,0.7961416876063873,0.9686390532544379,0.8739600480491169,0.9850386368241874,39682,318,2515,9822,67500,1313447.0,737630635.0,1189324.100326,13500,251924.0,131385428.0,238722.394959,True,False,0.8095457689647222,4337,0.996,4000,0.58175,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9089048106448311,0.9,5,recalibrated,0.378141850233078,97500,67500,0.6923076923076923,0.013837037037037037,0.9861629629629629,0.030193314799250016,1.421874099993147,4.535840700002154,0.0099,0.8094350328280782,0.9618570602966673,0.879087988027642,0.9850386368241874,39604,396,2351,9986,67500,1313447.0,737630635.0,1189324.100326,13500,251924.0,131385428.0,238722.394959,True,False,0.8148489739451233,4337,0.9965,4000,0.6165,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9058341862845445,0.9,6,fixed,0.5018159747123718,111000,81000,0.7297297297297297,0.014271604938271605,0.9857283950617284,0.03710360765181667,1.472551900005783,6.040545199997723,0.0204,0.804004214963119,0.9239869585468095,0.8598300970873786,0.9827277356731783,39184,816,2418,9919,81000,1562001.0,866048780.0,1429947.29728,13500,248554.0,128418145.0,240623.196954,True,False,0.8111597878718008,4337,0.99575,4000,0.6045,4000,0.0,1.0,cicids,,,,,,,
