scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9394063459570112,0.5,0,fixed,0.5018159747123718,30000,0,0.0,,,0.0,0.0,0.7565273999971396,0.00455,0.79679014347086,0.9818218138234119,0.8796814175130878,0.9846855809759261,39818,182,2507,9830,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7855660594881254,4337,0.99525,4000,0.6105,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9394063459570112,0.5,0,recalibrated,0.31572332978248596,30000,0,0.0,,,0.0,0.0,0.7565273999971396,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9447287615148413,0.5,1,fixed,0.5018159747123718,31500,1500,0.047619047619047616,0.4246363176917789,0.0,0.020790397982458065,0.00018759999875328504,0.9788342000028933,0.0052,0.8001945367593418,0.9793650793650793,0.8807601373957263,0.9849967415092811,39792,208,2465,9872,1500,113873.57388917467,76318716676.9719,2084256.9920358506,1500,113873.57388917467,76318716676.9719,2084256.9920358506,True,False,0.789946967950196,4337,0.995,4000,0.6165,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9447287615148413,0.5,1,recalibrated,0.3921497166156769,31500,1500,0.047619047619047616,0.4246363176917789,0.0,0.020790397982458065,0.00018759999875328504,0.9788342000028933,0.0098,0.80392315798006,0.9619786614936955,0.8758775996820771,0.9849967415092811,39608,392,2419,9918,1500,113873.57388917467,76318716676.9719,2084256.9920358506,1500,113873.57388917467,76318716676.9719,2084256.9920358506,True,False,0.7989393590039198,4337,0.995,4000,0.61825,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9426816786079836,0.5,2,fixed,0.5018159747123718,33000,3000,0.09090909090909091,0.4303339840696611,0.0,0.04125792948978565,0.0002190000013797544,0.9386286000008113,0.001025,0.7856042798087055,0.9957875269701018,0.8782963298595379,0.9863601138850612,39959,41,2645,9692,3000,229682.44245385856,164986933942.87048,4350253.087309257,1500,115808.86856468389,88668217265.89859,2265996.0952734062,True,False,0.7599723311044501,4337,0.995,4000,0.604,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9426816786079836,0.5,2,recalibrated,0.276448130607605,33000,3000,0.09090909090909091,0.4303339840696611,0.0,0.04125792948978565,0.0002190000013797544,0.9386286000008113,0.00995,0.8314014752370916,0.9626466447677147,0.8922233820459291,0.9863601138850612,39602,398,2080,10257,3000,229682.44245385856,164986933942.87048,4350253.087309257,1500,115808.86856468389,88668217265.89859,2265996.0952734062,True,False,0.7989393590039198,4337,0.996,4000,0.702,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9420675537359263,0.5,3,fixed,0.5018159747123718,34500,4500,0.13043478260869565,0.43792038142954437,0.0,0.061639104210411806,0.00014989999908721074,0.9247375000013562,0.001275,0.7693118262138283,0.9946552085516663,0.8675899264134559,0.9844486250709249,39949,51,2846,9491,4500,349777.24302996544,222596601497.78055,6791864.771773858,1500,120094.8005761069,57609667554.910065,2441611.6844646013,True,False,0.7597417569748675,4337,0.99425,4000,0.55475,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9420675537359263,0.5,3,recalibrated,0.28594836592674255,34500,4500,0.13043478260869565,0.43792038142954437,0.0,0.061639104210411806,0.00014989999908721074,0.9247375000013562,0.01,0.7993029099456919,0.9610174446934997,0.8727321001858572,0.9844486250709249,39600,400,2476,9861,4500,349777.24302996544,222596601497.78055,6791864.771773858,1500,120094.8005761069,57609667554.910065,2441611.6844646013,True,False,0.7738067788794097,4337,0.99525,4000,0.631,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9502558853633573,0.5,4,fixed,0.5018159747123718,36000,6000,0.16666666666666666,0.4406964104264749,0.0,0.08100000021723881,0.00014699999883305281,0.9591174999986833,0.0009,0.7957364026910918,0.9963462904699076,0.8848129788192879,0.9844773030315311,39964,36,2520,9817,6000,646500.9795237515,326343233282.38104,9123659.87176552,1500,296723.7364937861,103746631784.6005,2331795.099991663,True,False,0.7551302743832142,4337,0.99525,4000,0.64025,4000,1.5,1.0,cicids,8.0,2.0,all
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9502558853633573,0.5,4,recalibrated,0.25496435165405273,36000,6000,0.16666666666666666,0.4406964104264749,0.0,0.08100000021723881,0.00014699999883305281,0.9591174999986833,0.009675,0.8063548674718327,0.9625544267053701,0.8775582215949188,0.9844773030315311,39613,387,2389,9948,6000,646500.9795237515,326343233282.38104,9123659.87176552,1500,296723.7364937861,103746631784.6005,2331795.099991663,True,False,0.7772653908231496,4337,0.996,4000,0.64825,4000,1.5,1.0,cicids,8.0,2.0,all
