scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9379733879222109,0.5,0,fixed,0.26829659938812256,30000,0,0.0,,,0.0,0.0,0.7853562000018428,0.015725,0.837967090864878,0.942646120178718,0.8872296601441813,0.9802114259949745,39371,629,1999,10338,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8183075858888633,4337,0.996,4000,0.70125,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9379733879222109,0.5,0,recalibrated,0.45792824029922485,30000,0,0.0,,,0.0,0.0,0.7853562000018428,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9314227226202662,0.5,1,fixed,0.26829659938812256,31500,1500,0.047619047619047616,0.13391319444444444,0.019333333333333334,0.006651126045452264,0.0001368000012007542,0.8050722000007227,0.0054,0.7642052362811056,0.9776026545002073,0.8578317637960057,0.9769750749777093,39784,216,2909,9428,1500,25953.0,13015639.0,25625.218951,1500,25953.0,13015639.0,25625.218951,True,False,0.8017062485589117,4337,0.99575,4000,0.492,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9314227226202662,0.5,1,recalibrated,0.12690933048725128,31500,1500,0.047619047619047616,0.13391319444444444,0.019333333333333334,0.006651126045452264,0.0001368000012007542,0.8050722000007227,0.009975,0.8075707222177191,0.9614939200926462,0.8778360280188554,0.9769750749777093,39601,399,2374,9963,1500,25953.0,13015639.0,25625.218951,1500,25953.0,13015639.0,25625.218951,True,False,0.8581969103066636,4337,0.9965,4000,0.56375,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9295803480040942,0.5,2,fixed,0.26829659938812256,33000,3000,0.09090909090909091,0.13946990740740742,0.021666666666666667,0.01375514782143763,0.00014680000094813295,0.9410051000013482,0.005875,0.7876307043851828,0.976386655948553,0.8719099107182916,0.9763194587419957,39765,235,2620,9717,3000,55405.0,28074254.0,53495.919020999994,1500,29452.0,15058615.0,27870.70007,True,False,0.8150795480747061,4337,0.99625,4000,0.54925,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9295803480040942,0.5,2,recalibrated,0.1372944563627243,33000,3000,0.09090909090909091,0.13946990740740742,0.021666666666666667,0.01375514782143763,0.00014680000094813295,0.9410051000013482,0.00995,0.821917808219178,0.9622319225659518,0.8865573770491803,0.9763194587419957,39602,398,2197,10140,3000,55405.0,28074254.0,53495.919020999994,1500,29452.0,15058615.0,27870.70007,True,False,0.8584274844362463,4337,0.9965,4000,0.60775,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9299897645854657,0.5,3,fixed,0.26829659938812256,34500,4500,0.13043478260869565,0.13634413580246912,0.025111111111111112,0.020041734426319503,0.00016060000052675605,0.8143119000014849,0.0052,0.8313204182540326,0.9801223241590215,0.8996096662427085,0.9770241215449461,39792,208,2081,10256,4500,90094.0,49970952.0,79281.93659299999,1500,34689.0,21896698.0,25786.017572,True,False,0.8012451002997464,4337,0.9955,4000,0.69975,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9299897645854657,0.5,3,recalibrated,0.16101227700710297,34500,4500,0.13043478260869565,0.13634413580246912,0.025111111111111112,0.020041734426319503,0.00016060000052675605,0.8143119000014849,0.01,0.857582880765178,0.9635701275045537,0.9074923875284128,0.9770241215449461,39600,400,1757,10580,4500,90094.0,49970952.0,79281.93659299999,1500,34689.0,21896698.0,25786.017572,True,False,0.8406732764583814,4337,0.99625,4000,0.73725,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9263050153531218,0.5,4,fixed,0.26829659938812256,36000,6000,0.16666666666666666,0.13442361111111112,0.022833333333333334,0.026180857150199435,0.00014480000390904024,0.8401912999979686,0.006375,0.7796871200453919,0.9741745999594895,0.8661474044392418,0.9713338625678852,39745,255,2718,9619,6000,122520.0,68588084.0,106609.31711599999,1500,32426.0,18617132.0,27327.380523,True,False,0.7823380216739682,4337,0.996,4000,0.5605,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9263050153531218,0.5,4,recalibrated,0.19731464982032776,36000,6000,0.16666666666666666,0.13442361111111112,0.022833333333333334,0.026180857150199435,0.00014480000390904024,0.8401912999979686,0.01,0.8080570641160736,0.9614234738161829,0.8780938958865498,0.9713338625678852,39600,400,2368,9969,6000,122520.0,68588084.0,106609.31711599999,1500,32426.0,18617132.0,27327.380523,True,False,0.8100069172238875,4337,0.996,4000,0.618,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9250767656090072,0.5,5,fixed,0.26829659938812256,37500,7500,0.2,0.1337199074074074,0.024,0.032348565070359124,0.00019460000112303533,0.9488462999979674,0.0076,0.8187565858798735,0.970783277270543,0.8883123735819191,0.9733540021885385,39696,304,2236,10101,7500,152961.0,85416622.0,132844.921791,1500,30441.0,16828538.0,26235.604675,True,False,0.7915609868572746,4337,0.996,4000,0.671,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9250767656090072,0.5,5,recalibrated,0.243505597114563,37500,7500,0.2,0.1337199074074074,0.024,0.032348565070359124,0.00019460000112303533,0.9488462999979674,0.01,0.827267569101078,0.9622854987742787,0.8896831277513838,0.9733540021885385,39600,400,2131,10206,7500,152961.0,85416622.0,132844.921791,1500,30441.0,16828538.0,26235.604675,True,False,0.7991699331335024,4337,0.996,4000,0.689,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9308085977482088,0.5,6,fixed,0.26829659938812256,39000,9000,0.23076923076923078,0.13354456018518518,0.023666666666666666,0.03852012222145252,0.00015829999756533653,0.9200062999989314,0.01125,0.832617329982978,0.9580302182428652,0.890931957153389,0.9724740546729351,39550,450,2065,10272,9000,179141.0,97858131.0,160499.32801599998,1500,26180.0,12441509.0,27654.406225,True,False,0.7659672584735993,4337,0.9955,4000,0.742,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9308085977482088,0.5,6,recalibrated,0.27461037039756775,39000,9000,0.23076923076923078,0.13354456018518518,0.023666666666666666,0.03852012222145252,0.00015829999756533653,0.9200062999989314,0.01,0.832617329982978,0.9625187406296851,0.8928680081707158,0.9724740546729351,39600,400,2065,10272,9000,179141.0,97858131.0,160499.32801599998,1500,26180.0,12441509.0,27654.406225,True,False,0.7659672584735993,4337,0.9955,4000,0.742,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9248720573183213,0.5,7,fixed,0.26829659938812256,40500,10500,0.25925925925925924,0.13279083994708993,0.023047619047619046,0.0444126370013934,0.00015199999688775279,0.9209805999998935,0.013075,0.8141363378455054,0.9505062931768714,0.8770520433112121,0.9682785837318635,39477,523,2293,10044,10500,212278.0,118443729.0,187830.716692,1500,33137.0,20585598.0,27331.388676,True,False,0.7857966336177081,4337,0.99625,4000,0.66275,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9248720573183213,0.5,7,recalibrated,0.29166144132614136,40500,10500,0.25925925925925924,0.13279083994708993,0.023047619047619046,0.0444126370013934,0.00015199999688775279,0.9209805999998935,0.01,0.8129204830996191,0.9616454118323905,0.8810506896248792,0.9682785837318635,39600,400,2308,10029,10500,212278.0,118443729.0,187830.716692,1500,33137.0,20585598.0,27331.388676,True,False,0.7825685958035509,4337,0.99625,4000,0.6625,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9248720573183213,0.5,8,fixed,0.26829659938812256,42000,12000,0.2857142857142857,0.13174811921296298,0.022916666666666665,0.05006106711016208,0.00015070000154082663,0.9619645999991917,0.0225,0.8158385344897463,0.9179206566347469,0.8638743455497382,0.9659150674799384,39100,900,2272,10065,12000,240739.0,134047910.0,213904.247576,1500,28461.0,15604181.0,26073.530884,True,False,0.7881023749135347,4337,0.995,4000,0.66675,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9248720573183213,0.5,8,recalibrated,0.32951289415359497,42000,12000,0.2857142857142857,0.13174811921296298,0.022916666666666665,0.05006106711016208,0.00015070000154082663,0.9619645999991917,0.01,0.80838129204831,0.9614383495613612,0.8782915015411713,0.9659150674799384,39600,400,2364,9973,12000,240739.0,134047910.0,213904.247576,1500,28461.0,15604181.0,26073.530884,True,False,0.7685035738990086,4337,0.995,4000,0.665,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9154554759467759,0.5,9,fixed,0.26829659938812256,43500,13500,0.3103448275862069,0.13133937757201647,0.02259259259259259,0.055804520936906375,0.00014539999756379984,1.0051396999988356,0.025,0.8421820539839507,0.9122036874451273,0.8757955072280523,0.9682599740617654,39000,1000,1947,10390,13500,270422.0,151773678.0,240608.392848,1500,29683.0,17725768.0,26704.145272,True,False,0.7922527092460226,4337,0.996,4000,0.7425,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9154554759467759,0.5,9,recalibrated,0.32306957244873047,43500,13500,0.3103448275862069,0.13133937757201647,0.02259259259259259,0.055804520936906375,0.00014539999756379984,1.0051396999988356,0.01,0.8381292048309962,0.962756052141527,0.8961303462321791,0.9682599740617654,39600,400,1997,10340,13500,270422.0,151773678.0,240608.392848,1500,29683.0,17725768.0,26704.145272,True,False,0.7811851510260549,4337,0.996,4000,0.742,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9220061412487206,0.5,10,fixed,0.26829659938812256,45000,15000,0.3333333333333333,0.1325025462962963,0.022066666666666665,0.06213476580669273,0.0002485000040906016,1.0459831000007398,0.0308,0.8463970171030234,0.894466335446291,0.8697680229894632,0.9697363104887736,38768,1232,1895,10442,15000,304476.0,172394918.0,268856.82633,1500,34054.0,20621240.0,28248.433482,True,False,0.801475674429329,4337,0.996,4000,0.7455,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9220061412487206,0.5,10,recalibrated,0.3710581362247467,45000,15000,0.3333333333333333,0.1325025462962963,0.022066666666666665,0.06213476580669273,0.0002485000040906016,1.0459831000007398,0.01,0.8365891221528735,0.9626900475701894,0.8952207476797641,0.9697363104887736,39600,400,2016,10321,15000,304476.0,172394918.0,268856.82633,1500,34054.0,20621240.0,28248.433482,True,False,0.7772653908231496,4337,0.99575,4000,0.74175,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.920777891504606,0.5,11,fixed,0.26829659938812256,46500,16500,0.3548387096774194,0.13192413720538723,0.022424242424242423,0.0676497278729621,0.00014980000196374021,1.076469100000395,0.0322,0.8374807489665235,0.8891566265060241,0.8625453938306132,0.9771676633298209,38712,1288,2005,10332,16500,330604.0,186038342.0,293630.141735,1500,26128.0,13643424.0,24773.315405,True,False,0.7800322803781415,4337,0.9955,4000,0.74175,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.920777891504606,0.5,11,recalibrated,0.38591787219047546,46500,16500,0.3548387096774194,0.13192413720538723,0.022424242424242423,0.0676497278729621,0.00014980000196374021,1.076469100000395,0.01,0.819242927778228,0.9619301418102217,0.8848713009980739,0.9771676633298209,39600,400,2230,10107,16500,330604.0,186038342.0,293630.141735,1500,26128.0,13643424.0,24773.315405,True,False,0.7643532395665207,4337,0.995,4000,0.703,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.921596724667349,0.5,12,fixed,0.26829659938812256,48000,18000,0.375,0.13087461419753085,0.02238888888888889,0.07280757086958844,0.00014379999993252568,1.14589899999919,0.035025,0.8384534327632326,0.8807151979565773,0.8590648617224482,0.9757944445570236,38599,1401,1993,10344,18000,355516.0,198692594.0,317266.395344,1500,24912.0,12654252.0,23636.253609,True,False,0.7791099838598109,4337,0.99575,4000,0.7455,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.921596724667349,0.5,12,recalibrated,0.4026711583137512,48000,18000,0.375,0.13087461419753085,0.02238888888888889,0.07280757086958844,0.00014379999993252568,1.14589899999919,0.00995,0.8292129366944962,0.9625517500940911,0.8909209666884388,0.9757944445570236,39602,398,2107,10230,18000,355516.0,198692594.0,317266.395344,1500,24912.0,12654252.0,23636.253609,True,False,0.76343094304819,4337,0.9955,4000,0.73425,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9172978505629478,0.5,13,fixed,0.26829659938812256,49500,19500,0.3939393939393939,0.13122462606837607,0.0221025641025641,0.07859238990898701,0.00014799999917158857,1.2548225000027742,0.0365,0.8341574126611008,0.8757552548719258,0.854450348721355,0.9698209370187242,38540,1460,2046,10291,19500,380667.0,210117665.0,342866.215278,1500,25151.0,11425071.0,25599.819934,True,False,0.7705787410652525,4337,0.9955,4000,0.74175,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9172978505629478,0.5,13,recalibrated,0.41708990931510925,49500,19500,0.3939393939393939,0.13122462606837607,0.0221025641025641,0.07859238990898701,0.00014799999917158857,1.2548225000027742,0.00995,0.8261327713382508,0.9624173748819641,0.8890827408732063,0.9698209370187242,39602,398,2145,10192,19500,380667.0,210117665.0,342866.215278,1500,25151.0,11425071.0,25599.819934,True,False,0.7638920913073554,4337,0.9945,4000,0.72525,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9166837256908905,0.5,14,fixed,0.26829659938812256,51000,21000,0.4117647058823529,0.13107738095238095,0.021904761904761906,0.08404288205907161,0.00017110000044340268,1.2392165999990539,0.039425,0.8231336629650644,0.8655813160586431,0.8438240059827994,0.9740685640755451,38423,1577,2182,10155,21000,405890.0,222429697.0,369285.277663,1500,25223.0,12312032.0,26419.062385,True,False,0.8090846207055569,4337,0.99525,4000,0.66625,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9166837256908905,0.5,14,recalibrated,0.44851920008659363,51000,21000,0.4117647058823529,0.13107738095238095,0.021904761904761906,0.08404288205907161,0.00017110000044340268,1.2392165999990539,0.00995,0.8063548674718327,0.9615310264836652,0.8771326544107924,0.9740685640755451,39602,398,2389,9948,21000,405890.0,222429697.0,369285.277663,1500,25223.0,12312032.0,26419.062385,True,False,0.7652755360848513,4337,0.995,4000,0.66225,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9203684749232344,0.5,15,fixed,0.26829659938812256,52500,22500,0.42857142857142855,0.13120192901234567,0.022044444444444443,0.08958604984505839,0.00014710000323248096,1.2984603000004427,0.041775,0.835292210423928,0.8604709418837675,0.8476946489532349,0.9667474152954527,38329,1671,2032,10305,22500,432534.0,235503082.0,396700.915482,1500,26644.0,13073385.0,27415.637819,True,False,0.7765736684344017,4337,0.9955,4000,0.73875,4000,0.0,1.0,cicids,8.0,2.0,depth
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,d1_E8_g2_cdep,0.1,0.9203684749232344,0.5,15,recalibrated,0.46364137530326843,52500,22500,0.42857142857142855,0.13120192901234567,0.022044444444444443,0.08958604984505839,0.00014710000323248096,1.2984603000004427,0.01,0.81105617248926,0.9615606380934076,0.8799190959855779,0.9667474152954527,39600,400,2331,10006,22500,432534.0,235503082.0,396700.915482,1500,26644.0,13073385.0,27415.637819,True,False,0.7553608485127968,4337,0.995,4000,0.6875,4000,0.0,1.0,cicids,8.0,2.0,depth
