scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.9,0,fixed,0.26829659938812256,30000,0,0.0,,,0.0,0.0,0.9102099000010639,0.015725,0.837967090864878,0.942646120178718,0.8872296601441813,0.9802114259949745,39371,629,1999,10338,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8183075858888633,4337,0.996,4000,0.70125,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.9,0,recalibrated,0.45792824029922485,30000,0,0.0,,,0.0,0.0,0.9102099000010639,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9142272262026612,0.9,1,fixed,0.26829659938812256,43500,13500,0.3103448275862069,1.0,0.0,0.3103448275862069,8.619999971415382e-05,1.13320720000047,0.877975,0.9922995866093864,0.2584827178480184,0.4101309926630708,0.853601349598768,4881,35119,95,12242,13500,270422.0,151773678.0,240608.392848,13500,270422.0,151773678.0,240608.392848,True,False,0.9940050726308508,4337,0.99875,4000,0.984,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9142272262026612,0.9,1,recalibrated,0.6969144940376282,43500,13500,0.3103448275862069,1.0,0.0,0.3103448275862069,8.619999971415382e-05,1.13320720000047,0.009925,0.7343762665153603,0.9580205139050438,0.8314214921538038,0.853601349598768,39603,397,3277,9060,13500,270422.0,151773678.0,240608.392848,13500,270422.0,151773678.0,240608.392848,True,False,0.657366843440166,4337,0.99475,4000,0.5575,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.90992835209826,0.9,2,fixed,0.26829659938812256,57000,27000,0.47368421052631576,1.0,0.0,0.47368421052631576,7.130000085453503e-05,1.6306040999988909,0.970575,0.9985409743049364,0.24087833874310743,0.38812835740953705,0.7586667706897949,1177,38823,18,12319,27000,519178.0,285898143.0,475498.604289,13500,248756.0,134124465.0,234890.211441,True,False,0.9981554069633387,4337,0.99875,4000,0.99875,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.90992835209826,0.9,2,recalibrated,0.7789337635040283,57000,27000,0.47368421052631576,1.0,0.0,0.47368421052631576,7.130000085453503e-05,1.6306040999988909,0.009825,0.5876631271784064,0.9485804003663483,0.7257257257257256,0.7586667706897949,39607,393,5087,7250,27000,519178.0,285898143.0,475498.604289,13500,248756.0,134124465.0,234890.211441,True,False,0.5137191607101683,4337,0.9935,4000,0.262,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9109518935516888,0.9,3,fixed,0.26829659938812256,70500,40500,0.574468085106383,1.0,0.0,0.574468085106383,2.700000004551839e-05,2.6717597999995633,0.973975,0.9995947150847045,0.24043204460821588,0.38762808826302886,0.7648642072627057,1041,38959,5,12332,40500,780153.0,431575854.0,716764.3062829999,13500,260975.0,145677711.0,241265.701994,True,False,1.0,4337,0.99875,4000,1.0,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9109518935516888,0.9,3,recalibrated,0.8301069736480713,70500,40500,0.574468085106383,1.0,0.0,0.574468085106383,2.700000004551839e-05,2.6717597999995633,0.00985,0.6566426197616925,0.953619776339023,0.7777457757296468,0.7648642072627057,39606,394,4236,8101,40500,780153.0,431575854.0,716764.3062829999,13500,260975.0,145677711.0,241265.701994,True,False,0.48166935669817845,4337,0.99425,4000,0.50875,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9095189355168884,0.9,4,fixed,0.26829659938812256,84000,54000,0.6428571428571429,1.0,0.0,0.6428571428571429,2.8200000087963417e-05,4.758378999998968,0.97145,0.999918943016941,0.24096573817244207,0.38834584690938284,0.6496991914565939,1142,38858,1,12336,54000,1045035.0,577373459.0,952096.345185,13500,264882.0,145797605.0,235332.038902,True,False,0.9997694258704174,4337,1.0,4000,1.0,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9095189355168884,0.9,4,recalibrated,0.8662382364273071,84000,54000,0.6428571428571429,1.0,0.0,0.6428571428571429,2.8200000087963417e-05,4.758378999998968,0.0099,0.5423522736483748,0.9441230421899253,0.6889415156507414,0.6496991914565939,39604,396,5646,6691,54000,1045035.0,577373459.0,952096.345185,13500,264882.0,145797605.0,235332.038902,True,False,0.4173391745446161,4337,0.99,4000,0.23025,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.8994882292732855,0.9,5,fixed,0.26829659938812256,97500,67500,0.6923076923076923,1.0,0.0,0.6923076923076923,2.1800000467919745e-05,5.43820180000148,0.98195,1.0,0.23901966482611645,0.3858206154615962,0.7138067875091189,722,39278,0,12337,67500,1287607.0,702558796.0,1185474.163997,13500,242572.0,125185337.0,233377.818812,True,False,1.0,4337,1.0,4000,1.0,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.8994882292732855,0.9,5,recalibrated,0.9097212553024292,97500,67500,0.6923076923076923,1.0,0.0,0.6923076923076923,2.1800000467919745e-05,5.43820180000148,0.01,0.584582961822161,0.9474513925380977,0.7230437615920597,0.7138067875091189,39600,400,5125,7212,67500,1287607.0,702558796.0,1185474.163997,13500,242572.0,125185337.0,233377.818812,True,False,0.40350472676965643,4337,0.96975,4000,0.39575,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9107471852610031,0.9,6,fixed,0.26829659938812256,111000,81000,0.7297297297297297,1.0,0.0,0.7297297297297297,2.7300002329866402e-05,7.039898199998788,0.975725,1.0,0.24017832807693806,0.38732869723560903,0.7269042635973089,971,39029,0,12337,81000,1560636.0,862085116.0,1424357.2606660002,13500,273029.0,159526320.0,238883.096669,True,False,1.0,4337,1.0,4000,1.0,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9107471852610031,0.9,6,recalibrated,0.9085614681243896,111000,81000,0.7297297297297297,1.0,0.0,0.7297297297297297,2.7300002329866402e-05,7.039898199998788,0.009975,0.6166004701305018,0.9501623782163378,0.7478739615592588,0.7269042635973089,39601,399,4730,7607,81000,1560636.0,862085116.0,1424357.2606660002,13500,273029.0,159526320.0,238883.096669,True,False,0.40880793175005764,4337,0.986,4000,0.4725,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9033776867963152,0.9,7,fixed,0.26829659938812256,124500,94500,0.7590361445783133,1.0,0.0,0.7590361445783133,2.370000038354192e-05,7.623980999998821,0.975275,1.0,0.2402625223961985,0.38743817225406296,0.6636993647158953,989,39011,0,12337,94500,1824899.0,1008625371.0,1665603.9278330002,13500,264263.0,146540255.0,241246.667167,True,False,1.0,4337,1.0,4000,1.0,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9033776867963152,0.9,7,recalibrated,0.9184046387672424,124500,94500,0.7590361445783133,1.0,0.0,0.7590361445783133,2.370000038354192e-05,7.623980999998821,0.00955,0.5000405284915296,0.9416882918638376,0.6532189750105888,0.6636993647158953,39618,382,6168,6169,94500,1824899.0,1008625371.0,1665603.9278330002,13500,264263.0,146540255.0,241246.667167,True,False,0.23841364998847128,4337,0.97075,4000,0.313,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9044012282497441,0.9,8,fixed,0.26829659938812256,138000,108000,0.782608695652174,1.0,0.0,0.782608695652174,0.00016560000040044542,10.56251279999924,0.9741,1.0,0.24048264166390518,0.3877243156604544,0.577290136378374,1036,38964,0,12337,108000,2065641.0,1130857164.0,1901245.3479050002,13500,240742.0,122231793.0,235641.420072,True,False,1.0,4337,1.0,4000,1.0,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9044012282497441,0.9,8,recalibrated,0.9324932098388672,138000,108000,0.782608695652174,1.0,0.0,0.782608695652174,0.00016560000040044542,10.56251279999924,0.0097,0.42230688173786174,0.9306895319757056,0.5809868971285197,0.577290136378374,39612,388,7127,5210,108000,2065641.0,1130857164.0,1901245.3479050002,13500,240742.0,122231793.0,235641.420072,True,False,0.31588655752824535,4337,0.9565,4000,0.0035,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.8945752302968271,0.9,9,fixed,0.26829659938812256,151500,121500,0.801980198019802,1.0,0.0,0.801980198019802,8.089999937510584e-05,12.780802499999481,0.9753,1.0,0.24025784338546027,0.3874320886851113,0.5925476625192511,988,39012,0,12337,121500,2323811.0,1271495868.0,2144630.689582,13500,258170.0,140638704.0,243385.341677,True,False,1.0,4337,1.0,4000,1.0,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.8945752302968271,0.9,9,recalibrated,0.9373983144760132,151500,121500,0.801980198019802,1.0,0.0,0.801980198019802,8.089999937510584e-05,12.780802499999481,0.00995,0.4350328280781389,0.9309627059843886,0.5929731521378854,0.5925476625192511,39602,398,6970,5367,121500,2323811.0,1271495868.0,2144630.689582,13500,258170.0,140638704.0,243385.341677,True,False,0.24233341019137652,4337,0.9585,4000,0.1205,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.8970317297850563,0.9,10,fixed,0.26829659938812256,165000,135000,0.8181818181818182,1.0,0.0,0.8181818181818182,8.939999861468095e-05,19.001009200001135,0.975825,1.0,0.24015962624099668,0.3873043778548668,0.5195432013455459,967,39033,0,12337,135000,2578843.0,1414751581.0,2378027.739687,13500,255032.0,143255713.0,233397.050105,True,False,1.0,4337,1.0,4000,1.0,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.8970317297850563,0.9,10,recalibrated,0.947687566280365,165000,135000,0.8181818181818182,1.0,0.0,0.8181818181818182,8.939999861468095e-05,19.001009200001135,0.01,0.4199562292291481,0.9283282565848414,0.5783011496818842,0.5195432013455459,39600,400,7156,5181,135000,2578843.0,1414751581.0,2378027.739687,13500,255032.0,143255713.0,233397.050105,True,False,0.31104450080700946,4337,0.95775,4000,0.00025,4000,0.0,1.0,cicids,,,
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.8953940634595701,0.9,11,fixed,0.26829659938812256,178500,148500,0.8319327731092437,1.0,0.0,0.8319327731092437,0.0001489000005676644,21.756338700000924,0.9873,1.0,0.23803276158135406,0.3845338652869121,0.5388013759422874,508,39492,0,12337,148500,2836123.0,1556850501.0,2612610.512704,13500,257280.0,142098920.0,234582.773017,True,False,1.0,4337,1.0,4000,1.0,4000,0.0,1.0,cicids,,,
