scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.9418628454452406,0.5,0,fixed,0.7580358386039734,30000,0,0.0,,,0.0,0.0,0.8690406999994593,0.000575,0.758288076517792,0.9975474514821924,0.8616163941975592,0.9845039829375051,39977,23,2982,9355,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7316117131657828,4337,0.99375,4000,0.55175,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.9418628454452406,0.5,0,recalibrated,0.1613209992647171,30000,0,0.0,,,0.0,0.0,0.8690406999994593,0.00945,0.8465591310691416,0.9650711513583441,0.9019387711041064,0.9845039829375051,39622,378,1893,10444,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8351394973483975,4337,0.99625,4000,0.70925,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.938792221084954,0.5,1,fixed,0.7580358386039734,31500,1500,0.047619047619047616,0.047147015059547964,0.0,0.0023518067196360067,0.000145500001963228,1.016801600002509,0.000525,0.6824997973575424,0.9975121431110058,0.8104726152661469,0.982710053092324,39979,21,3917,8420,1500,25828.0,13837200.0,26413.612764,1500,25828.0,13837200.0,26413.612764,True,False,0.7650449619552686,4337,0.9935,4000,0.282,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.938792221084954,0.5,1,recalibrated,0.13766948878765106,31500,1500,0.047619047619047616,0.047147015059547964,0.0,0.0023518067196360067,0.000145500001963228,1.016801600002509,0.01,0.8158385344897463,0.9617773530817009,0.8828172967283572,0.982710053092324,39600,400,2272,10065,1500,25828.0,13837200.0,26413.612764,1500,25828.0,13837200.0,26413.612764,True,False,0.8503573899008531,4337,0.9965,4000,0.59775,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.9312180143295803,0.5,2,fixed,0.7580358386039734,33000,3000,0.09090909090909091,0.04454264908878888,0.0,0.004434512415837037,0.00015419999908772297,0.8616576999993413,0.00065,0.6675853124746697,0.9968530622125393,0.7996504684693432,0.981016141484964,39974,26,4101,8236,3000,50326.0,24749120.0,50471.785679,1500,24498.0,10911920.0,24058.172915,True,False,0.7288448236107908,4337,0.994,4000,0.27475,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.9312180143295803,0.5,2,recalibrated,0.11715877801179886,33000,3000,0.09090909090909091,0.04454264908878888,0.0,0.004434512415837037,0.00015419999908772297,0.8616576999993413,0.007825,0.8501256383237416,0.9710212017405796,0.9065606361829025,0.981016141484964,39687,313,1849,10488,3000,50326.0,24749120.0,50471.785679,1500,24498.0,10911920.0,24058.172915,True,False,0.8455153331796172,4337,0.9965,4000,0.70875,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.928761514841351,0.5,3,fixed,0.7580358386039734,34500,4500,0.13043478260869565,0.04497682018635497,0.0,0.0067013124690632,0.0001458000006095972,0.8669898000007379,0.00065,0.6673421415254924,0.9968519191185373,0.7994756263352107,0.9786203665802059,39974,26,4104,8233,4500,82128.0,44405547.0,75713.29179,1500,31802.0,19656427.0,25241.506111,True,False,0.7274613788332949,4337,0.991,4000,0.2785,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.928761514841351,0.5,3,recalibrated,0.13719655573368073,34500,4500,0.13043478260869565,0.04497682018635497,0.0,0.0067013124690632,0.0001458000006095972,0.8669898000007379,0.009625,0.8177028451001054,0.9632388045450205,0.8845243314335817,0.9786203665802059,39615,385,2249,10088,4500,82128.0,44405547.0,75713.29179,1500,31802.0,19656427.0,25241.506111,True,False,0.8390592575513027,4337,0.99625,4000,0.616,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.9246673490276356,0.5,4,fixed,0.7580358386039734,36000,6000,0.16666666666666666,0.047442916903529066,0.0,0.009399396424008303,0.00017319999824394472,1.0327492999967944,0.000825,0.6751236118991651,0.9960535756995934,0.8047731774481859,0.9823233991245846,39967,33,4008,8329,6000,111187.0,59829039.0,105503.58550700001,1500,29059.0,15423492.0,29790.293717,True,False,0.7242333410191376,4337,0.99375,4000,0.30325,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,d1fixed_E32_g2,0.1,0.9246673490276356,0.5,4,recalibrated,0.15144826471805573,36000,6000,0.16666666666666666,0.047442916903529066,0.0,0.009399396424008303,0.00017319999824394472,1.0327492999967944,0.01,0.8416146551025371,0.9629045720114996,0.8981833910034601,0.9823233991245846,39600,400,1954,10383,6000,111187.0,59829039.0,105503.58550700001,1500,29059.0,15423492.0,29790.293717,True,False,0.8418261471062947,4337,0.99625,4000,0.68675,4000,0.0,1.0,cicids,32.0,2.0,all,0.0,fixed,32.0,
