scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.9418628454452406,0.5,0,fixed,0.7580358386039734,30000,0,0.0,,,0.0,0.0,0.7103118999984872,0.000575,0.758288076517792,0.9975474514821924,0.8616163941975592,0.9845039829375051,39977,23,2982,9355,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7316117131657828,4337,0.99375,4000,0.55175,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.9418628454452406,0.5,0,recalibrated,0.1613209992647171,30000,0,0.0,,,0.0,0.0,0.7103118999984872,0.00945,0.8465591310691416,0.9650711513583441,0.9019387711041064,0.9845039829375051,39622,378,1893,10444,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8351394973483975,4337,0.99625,4000,0.70925,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.938792221084954,0.5,1,fixed,0.7580358386039734,31500,1500,0.047619047619047616,0.05,0.0,0.0024937655860349127,1.630000042496249e-05,0.7493317000007664,0.001475,0.7753910999432602,0.9938701298701299,0.8711410618340771,0.965381098524763,39941,59,2771,9566,1500,25828.0,13837200.0,26413.612764,1500,25828.0,13837200.0,26413.612764,True,False,0.7558219967719622,4337,0.99325,4000,0.57875,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.938792221084954,0.5,1,recalibrated,0.31844839453697205,31500,1500,0.047619047619047616,0.05,0.0,0.0024937655860349127,1.630000042496249e-05,0.7493317000007664,0.008225,0.7966280295047419,0.9676085458304617,0.8738330221392372,0.965381098524763,39671,329,2509,9828,1500,25828.0,13837200.0,26413.612764,1500,25828.0,13837200.0,26413.612764,True,False,0.7994005072630851,4337,0.99575,4000,0.5945,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.9312180143295803,0.5,2,fixed,0.7580358386039734,33000,3000,0.09090909090909091,0.04999999999999999,0.0,0.004975124378109452,3.1200001103570685e-05,0.7527393999989727,0.0043,0.7634757234335738,0.9820665206964863,0.8590842758117475,0.959616851746778,39828,172,2918,9419,3000,50326.0,24749120.0,50471.785679,1500,24498.0,10911920.0,24058.172915,True,False,0.7267696564445469,4337,0.99225,4000,0.5745,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.9312180143295803,0.5,2,recalibrated,0.4158026874065399,33000,3000,0.09090909090909091,0.04999999999999999,0.0,0.004975124378109452,3.1200001103570685e-05,0.7527393999989727,0.00845,0.8213504093377645,0.9677203705472257,0.8885478779375658,0.959616851746778,39662,338,2204,10133,3000,50326.0,24749120.0,50471.785679,1500,24498.0,10911920.0,24058.172915,True,False,0.7864883560064561,4337,0.99575,4000,0.68475,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.928761514841351,0.5,3,fixed,0.7580358386039734,34500,4500,0.13043478260869565,0.049999999999999996,0.0,0.007444168734491314,3.4500000765547156e-05,0.7609412000019802,0.004375,0.7398070843803194,0.9811868415394539,0.8435694810296225,0.9473086295290589,39825,175,3210,9127,4500,82128.0,44405547.0,75713.29179,1500,31802.0,19656427.0,25241.506111,True,False,0.7424486972561679,4337,0.99175,4000,0.485,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.928761514841351,0.5,3,recalibrated,0.4036538004875183,34500,4500,0.13043478260869565,0.049999999999999996,0.0,0.007444168734491314,3.4500000765547156e-05,0.7609412000019802,0.0099,0.790467698792251,0.9609775325187229,0.8674227262619524,0.9473086295290589,39604,396,2585,9752,4500,82128.0,44405547.0,75713.29179,1500,31802.0,19656427.0,25241.506111,True,False,0.7871800783952041,4337,0.99525,4000,0.58925,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.9246673490276356,0.5,4,fixed,0.7580358386039734,36000,6000,0.16666666666666666,0.04999999999999999,0.0,0.0099009900990099,4.0899998566601425e-05,0.8100467999975081,0.002225,0.7566669368566102,0.9905560271646859,0.8579568953632646,0.9474687819161871,39911,89,3002,9335,6000,111187.0,59829039.0,105503.58550700001,1500,29059.0,15423492.0,29790.293717,True,False,0.73483975097994,4337,0.994,4000,0.543,4000,0.0,1.0,cicids,,,,,,,0.05
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,uniform_w0.05,0.1,0.9246673490276356,0.5,4,recalibrated,0.27534034848213196,36000,6000,0.16666666666666666,0.04999999999999999,0.0,0.0099009900990099,4.0899998566601425e-05,0.8100467999975081,0.0094,0.8324552160168599,0.9646815705429269,0.8937040421180874,0.9474687819161871,39624,376,2067,10270,6000,111187.0,59829039.0,105503.58550700001,1500,29059.0,15423492.0,29790.293717,True,False,0.7982476366151717,4337,0.996,4000,0.706,4000,0.0,1.0,cicids,,,,,,,0.05
