scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.9418628454452406,0.9,0,fixed,0.7580358386039734,30000,0,0.0,,,0.0,0.0,0.7435027999890735,0.000575,0.758288076517792,0.9975474514821924,0.8616163941975592,0.9845039829375051,39977,23,2982,9355,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7316117131657828,4337,0.99375,4000,0.55175,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.9418628454452406,0.9,0,recalibrated,0.1613209992647171,30000,0,0.0,,,0.0,0.0,0.7435027999890735,0.00945,0.8465591310691416,0.9650711513583441,0.9019387711041064,0.9845039829375051,39622,378,1893,10444,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8351394973483975,4337,0.99625,4000,0.70925,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.925281473899693,0.9,1,fixed,0.7580358386039734,43500,13500,0.3103448275862069,0.11695906432748539,0.0,0.05,0.00017929999739862978,1.0407159000023967,0.004325,0.7235956877685013,0.980989010989011,0.8328590754303307,0.8884431405528086,39827,173,3410,8927,13500,272082.0,159115189.0,239277.688878,13500,272082.0,159115189.0,239277.688878,True,False,0.7136269310583353,4337,0.99375,4000,0.46425,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.925281473899693,0.9,1,recalibrated,0.25725626945495605,43500,13500,0.3103448275862069,0.11695906432748539,0.0,0.05,0.00017929999739862978,1.0407159000023967,0.01,0.8114614574045554,0.9615790990298723,0.8801652892561983,0.8884431405528086,39600,400,2326,10011,13500,272082.0,159115189.0,239277.688878,13500,272082.0,159115189.0,239277.688878,True,False,0.8072400276688956,4337,0.99625,4000,0.63125,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.9175025588536336,0.9,2,fixed,0.7580358386039734,57000,27000,0.47368421052631576,0.0584795321637427,0.0,0.05000000000000001,0.00023659999715164304,1.5099481999932323,0.00455,0.7252168274296831,0.9800635337934056,0.8335973166868537,0.885680722623004,39818,182,3390,8947,27000,533131.0,304204199.0,475582.702773,13500,261049.0,145089010.0,236305.013895,True,False,0.7276919529628776,4337,0.994,4000,0.45375,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.9175025588536336,0.9,2,recalibrated,0.31637609004974365,57000,27000,0.47368421052631576,0.0584795321637427,0.0,0.05000000000000001,0.00023659999715164304,1.5099481999932323,0.009925,0.816486990354219,0.9620821394460363,0.8833252948656115,0.885680722623004,39603,397,2264,10073,27000,533131.0,304204199.0,475582.702773,13500,261049.0,145089010.0,236305.013895,True,False,0.804934286373069,4337,0.996,4000,0.6495,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.909109518935517,0.9,3,fixed,0.7580358386039734,70500,40500,0.574468085106383,0.038986354775828465,0.0,0.05000000000000002,0.00021550001110881567,2.2057942999963416,0.004375,0.7978438842506282,0.9825314434018766,0.8806083650190114,0.9058970252087217,39825,175,2494,9843,40500,781125.0,439709175.0,709661.009297,13500,247994.0,135504976.0,234078.306524,True,False,0.7341480285911921,4337,0.993,4000,0.67175,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.909109518935517,0.9,3,recalibrated,0.34865811467170715,70500,40500,0.574468085106383,0.038986354775828465,0.0,0.05000000000000002,0.00021550001110881567,2.2057942999963416,0.0097,0.8367512361189916,0.9637755578377369,0.8957827143353002,0.9058970252087217,39612,388,2014,10323,40500,781125.0,439709175.0,709661.009297,13500,247994.0,135504976.0,234078.306524,True,False,0.7860272077472907,4337,0.996,4000,0.7325,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.9056294779938587,0.9,4,fixed,0.7580358386039734,84000,54000,0.6428571428571429,0.02923976608187135,0.0,0.05000000000000001,0.0003132999991066754,3.0858605000103125,0.00455,0.7445083893977467,0.980570086473791,0.8463877626244011,0.9054018612709734,39818,182,3152,9185,54000,1056395.0,598480178.0,947039.232076,13500,275270.0,158771003.0,237378.222779,True,False,0.7304588425178695,4337,0.994,4000,0.51025,4000,0.0,1.0,cicids,,,,,,,
a1,xgboost,5,accumulate,fixed_ratio,auto_malicious,sharecap_c0.05,0.1,0.9056294779938587,0.9,4,recalibrated,0.27633947134017944,84000,54000,0.6428571428571429,0.02923976608187135,0.0,0.05000000000000001,0.0003132999991066754,3.0858605000103125,0.00975,0.8252411445246008,0.9631066124302337,0.8888597869739829,0.9054018612709734,39610,390,2156,10181,54000,1056395.0,598480178.0,947039.232076,13500,275270.0,158771003.0,237378.222779,True,False,0.8095457689647222,4337,0.99625,4000,0.67125,4000,0.0,1.0,cicids,,,,,,,
