scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9418628454452406,0.05,0,fixed,0.38266666666666665,30000,0,0.0,,,0.0,0.0,1.6151791999991474,0.004625,0.7772554105536192,0.9810722324534479,0.8673510922165438,0.961020377725541,39815,185,2748,9589,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8042425639843209,4337,0.99525,4000,0.53,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9418628454452406,0.05,0,recalibrated,0.285016317016317,30000,0,0.0,,,0.0,0.0,1.6151791999991474,0.00995,0.8056253546243008,0.9614975331334042,0.8766869542206932,0.961020377725541,39602,398,2398,9939,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8194604565367766,4337,0.996,4000,0.60025,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9293877551020409,0.05,1,fixed,0.38266666666666665,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.9800000447721686e-05,1.6677202000000761,0.010075,0.8146226797438599,0.9614464746962594,0.8819657744624835,0.9637178031531166,39597,403,2287,10050,79,1486.9619627027562,6794450.834101452,10724.10267247103,79,1486.9619627027562,6794450.834101452,10724.10267247103,True,False,0.8111597878718008,4337,0.9945,4000,0.6385,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9293877551020409,0.05,1,recalibrated,0.4,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.9800000447721686e-05,1.6677202000000761,0.01,0.8118667423198509,0.9615975422427036,0.8804113743242649,0.9637178031531166,39600,400,2321,10016,79,1486.9619627027562,6794450.834101452,10724.10267247103,79,1486.9619627027562,6794450.834101452,10724.10267247103,True,False,0.8044731381139036,4337,0.9945,4000,0.63725,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9326688364524003,0.05,2,fixed,0.38266666666666665,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,4.069999977218686e-05,1.7676223999997092,0.008275,0.7920077814703737,0.9672342110473173,0.8708944248852444,0.9577459197941153,39669,331,2566,9771,158,3074.512456750318,18977360.71918127,48995.91656681649,79,1587.550494047562,12182909.885079816,38271.81389434546,True,False,0.7973253400968411,4337,0.995,4000,0.58325,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9326688364524003,0.05,2,recalibrated,0.3576502164502165,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,4.069999977218686e-05,1.7676223999997092,0.00975,0.8196482126935235,0.9628642163397448,0.8855028679013967,0.9577459197941153,39610,390,2225,10112,158,3074.512456750318,18977360.71918127,48995.91656681649,79,1587.550494047562,12182909.885079816,38271.81389434546,True,False,0.8051648605026516,4337,0.995,4000,0.66,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.930859691808597,0.05,3,fixed,0.38266666666666665,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,2.4199999643315095e-05,1.5755859999999302,0.0075,0.8125151981843236,0.9709414955443626,0.8846917611755881,0.9674812424009078,39700,300,2313,10024,237,4410.586141578688,33226598.797564745,100869.39273308254,79,1336.0736848283696,14249238.078383476,51873.476166266046,True,False,0.8053954346322343,4337,0.995,4000,0.63775,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.930859691808597,0.05,3,recalibrated,0.3579607843137255,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,2.4199999643315095e-05,1.5755859999999302,0.008575,0.8213504093377645,0.9672584956090111,0.8883531319861483,0.9674812424009078,39657,343,2204,10133,237,4410.586141578688,33226598.797564745,100869.39273308254,79,1336.0736848283696,14249238.078383476,51873.476166266046,True,False,0.8086234724463915,4337,0.995,4000,0.6615,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9236054971705739,0.05,4,fixed,0.38266666666666665,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,3.820000074483687e-05,1.694157500000074,0.00345,0.8109751155062008,0.9863945578231292,0.8901245551601423,0.9629898688903299,39862,138,2332,10005,316,8890.663326915026,38053085.769210584,134878.93352249305,79,4480.077185336339,4826486.971645837,34009.54078941051,True,False,0.7957113211897625,4337,0.99475,4000,0.64375,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9236054971705739,0.05,4,recalibrated,0.122,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,3.820000074483687e-05,1.694157500000074,0.009475,0.8703088271054551,0.9659050017992084,0.9156184709845222,0.9629898688903299,39621,379,1600,10737,316,8890.663326915026,38053085.769210584,134878.93352249305,79,4480.077185336339,4826486.971645837,34009.54078941051,True,False,0.8508185381600184,4337,0.99675,4000,0.765,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9222401289282837,0.05,5,fixed,0.38266666666666665,30395,395,0.01299555848001316,1.0,0.0,0.01299555848001316,3.670000023703324e-05,1.593593399999918,0.004575,0.8320499311015644,0.9824846860643185,0.901031380294053,0.9609913380481478,39817,183,2072,10265,395,11074.883521468095,39215037.44360811,189612.075613647,79,2184.2201945530696,1161951.6743975247,54733.14209115396,True,False,0.8030896933364077,4337,0.9945,4000,0.701,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9222401289282837,0.05,5,recalibrated,0.2744444444444445,30395,395,0.01299555848001316,1.0,0.0,0.01299555848001316,3.670000023703324e-05,1.593593399999918,0.009825,0.8528005187646915,0.9639912039582188,0.9049933336200594,0.9609913380481478,39607,393,1816,10521,395,11074.883521468095,39215037.44360811,189612.075613647,79,2184.2201945530696,1161951.6743975247,54733.14209115396,True,False,0.8203827530551072,4337,0.99575,4000,0.745,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9128339023900381,0.05,6,fixed,0.38266666666666665,30474,474,0.015554242961212838,1.0,0.0,0.015554242961212838,3.0000000151630957e-05,1.6438875000003463,0.00955,0.828969765745319,0.9639928362710906,0.8913971934106163,0.9534029058928427,39618,382,2110,10227,474,12176.240231239186,40030326.02398456,204848.43042667324,79,1101.356709771092,815288.5803764468,15236.354813026228,True,False,0.8023979709476596,4337,0.99475,4000,0.692,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9128339023900381,0.05,6,recalibrated,0.38315789473684203,30474,474,0.015554242961212838,1.0,0.0,0.015554242961212838,3.0000000151630957e-05,1.6438875000003463,0.00955,0.828969765745319,0.9639928362710906,0.8913971934106163,0.9534029058928427,39618,382,2110,10227,474,12176.240231239186,40030326.02398456,204848.43042667324,79,1101.356709771092,815288.5803764468,15236.354813026228,True,False,0.8023979709476596,4337,0.99475,4000,0.692,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9157157157157158,0.05,7,fixed,0.38266666666666665,30553,553,0.01809969561090564,1.0,0.0,0.01809969561090564,2.4500000108673703e-05,1.663572700000259,0.004275,0.7861716786901192,0.9826747720364741,0.8735083532219571,0.9717000283699441,39829,171,2638,9699,553,13676.93956686395,46720256.98240129,239628.82573390106,79,1500.699335624764,6689930.958416729,34780.39530722781,True,False,0.8003228037814157,4337,0.99475,4000,0.56225,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9157157157157158,0.05,7,recalibrated,0.14678095238095237,30553,553,0.01809969561090564,1.0,0.0,0.01809969561090564,2.4500000108673703e-05,1.663572700000259,0.0094,0.8545027154089325,0.9655614581425169,0.9066437325306385,0.9717000283699441,39624,376,1795,10542,553,13676.93956686395,46720256.98240129,239628.82573390106,79,1500.699335624764,6689930.958416729,34780.39530722781,True,False,0.8275305510721697,4337,0.996,4000,0.74225,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9125922969467172,0.05,8,fixed,0.38266666666666665,30632,632,0.02063201880386524,1.0,0.0,0.02063201880386524,3.020000076503493e-05,1.6442999000000782,0.010175,0.749371808381292,0.9578325735598839,0.8408749829460185,0.9580604705357867,39593,407,3092,9245,632,15384.544200059087,149631265.45091724,274441.4563045582,79,1707.6046331951368,102911008.46851595,34812.630570657115,True,False,0.7924832833756053,4337,0.99425,4000,0.45775,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
a1truth,rf,5,accumulate,fixed_ratio,ground_truth,none,0.1,0.9125922969467172,0.05,8,recalibrated,0.3832380952380952,30632,632,0.02063201880386524,1.0,0.0,0.02063201880386524,3.020000076503493e-05,1.6442999000000782,0.009625,0.749371808381292,0.9600207684319834,0.8417171211362497,0.9580604705357867,39615,385,3092,9245,632,15384.544200059087,149631265.45091724,274441.4563045582,79,1707.6046331951368,102911008.46851595,34812.630570657115,True,False,0.7924832833756053,4337,0.99425,4000,0.45775,4000,0.7,1.0,cicids,,,,0.5571407949176087,0.40876683909451766,0.7179165766611015,1579
