scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.9408393039918117,0.2,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,2.112178600000334,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.9408393039918117,0.2,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,2.112178600000334,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.9207661290322581,0.2,1,fixed,0.7930201292037964,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,3.34999995175167e-05,1.0406478999993851,0.000475,0.7693928831968874,0.9980023131111345,0.868912486268766,0.9847475186431061,39981,19,2845,9492,375,10442.346766026894,12253962.779755557,119095.64632461777,375,10442.346766026894,12253962.779755557,119095.64632461777,True,False,0.7733456306202444,4337,0.99375,4000,0.54075,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.9207661290322581,0.2,1,recalibrated,0.2926301062107086,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,3.34999995175167e-05,1.0406478999993851,0.00945,0.8469644159844371,0.9650872817955112,0.902175790018995,0.9847475186431061,39622,378,1888,10449,375,10442.346766026894,12253962.779755557,119095.64632461777,375,10442.346766026894,12253962.779755557,119095.64632461777,True,False,0.8199216047959419,4337,0.99575,4000,0.7275,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.9130089374379344,0.2,2,fixed,0.7930201292037964,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,2.350000158912735e-05,1.018659999999727,0.00045,0.6850936208154332,0.9978748524203069,0.8124188974864228,0.9837838767528573,39982,18,3885,8452,750,22264.876332944357,59035060.00493585,309845.0561767248,375,11822.529566917463,46781097.2251803,190749.409852107,True,False,0.7311505649066175,4337,0.9945,4000,0.32575,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.9130089374379344,0.2,2,recalibrated,0.3299749195575714,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,2.350000158912735e-05,1.018659999999727,0.009375,0.8279970819486099,0.9645892351274787,0.8910891089108911,0.9837838767528573,39625,375,2122,10215,750,22264.876332944357,59035060.00493585,309845.0561767248,375,11822.529566917463,46781097.2251803,190749.409852107,True,False,0.8150795480747061,4337,0.996,4000,0.674,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.888454011741683,0.2,3,fixed,0.7930201292037964,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.5399999685760122e-05,1.0501531999998406,0.000325,0.6084947718245927,0.9982712765957447,0.7561061590371153,0.9794490090783821,39987,13,4830,7507,1125,37330.96069639556,193744382.81474328,544427.0939844991,375,15066.084363451202,134709322.80980742,234582.03780777432,True,False,0.7489047728844823,4337,0.994,4000,0.07075,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.888454011741683,0.2,3,recalibrated,0.36804789304733276,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.5399999685760122e-05,1.0501531999998406,0.009975,0.7086812028856286,0.9563552833078101,0.8140974905721868,0.9794490090783821,39601,399,3594,8743,1125,37330.96069639556,193744382.81474328,544427.0939844991,375,15066.084363451202,134709322.80980742,234582.03780777432,True,False,0.8023979709476596,4337,0.99525,4000,0.3205,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.8910318225650916,0.2,4,fixed,0.7930201292037964,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,3.06999991153134e-05,1.4118219000001773,0.000275,0.6486990354219015,0.9986274020464188,0.7864969780354772,0.9845936826213828,39989,11,4334,8003,1500,46011.374550894914,214026261.0261297,753076.3627781115,375,8680.413854499355,20281878.21138641,208649.26879361237,True,False,0.7408346783490892,4337,0.9935,4000,0.204,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.8910318225650916,0.2,4,recalibrated,0.24006003141403198,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,3.06999991153134e-05,1.4118219000001773,0.009875,0.8326983869660372,0.962973378327709,0.8931101934362096,0.9845936826213828,39605,395,2064,10273,1500,46011.374550894914,214026261.0261297,753076.3627781115,375,8680.413854499355,20281878.21138641,208649.26879361237,True,False,0.815771270463454,4337,0.996,4000,0.68775,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.8745247148288974,0.2,5,fixed,0.7930201292037964,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,4.1199999941454735e-05,1.552654299999631,0.000325,0.6392964253870471,0.9983544303797468,0.7794633591935564,0.9842689227526952,39987,13,4450,7887,1875,56665.95729121487,346049124.1208378,862364.2887160316,375,10654.582740319955,132022863.09470814,109287.92593792008,True,False,0.7302282683882868,4337,0.99325,4000,0.18675,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.8745247148288974,0.2,5,recalibrated,0.2103160321712494,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,4.1199999941454735e-05,1.552654299999631,0.00895,0.8103266596417281,0.9654273297923708,0.8811034725894588,0.9842689227526952,39642,358,2340,9997,1875,56665.95729121487,346049124.1208378,862364.2887160316,375,10654.582740319955,132022863.09470814,109287.92593792008,True,False,0.819229882407194,4337,0.9955,4000,0.6155,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
a1truth,xgboost,1,accumulate,fixed_ratio,ground_truth,none,0.1,0.8569821930646673,0.2,6,fixed,0.7930201292037964,32250,2250,0.06976744186046512,1.0,0.0,0.06976744186046512,5.929999952059006e-05,1.185889600000337,0.0003,0.690200210748156,0.9985927055236308,0.8162384969325153,0.9831101007133014,39988,12,3822,8515,2250,66240.25285955155,388937241.19841444,1008924.0503428616,375,9574.295568336669,42888117.07757661,146559.76162682998,True,False,0.7373760664053494,4337,0.99475,4000,0.3345,4000,0.7,1.0,cicids,,,,0.5622646568222623,0.4189575809066606,0.7249368925443774,2000
