scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.9379733879222109,0.2,0,fixed,0.26829659938812256,30000,0,0.0,,,0.0,0.0,0.7441429999998945,0.015725,0.837967090864878,0.942646120178718,0.8872296601441813,0.9802114259949745,39371,629,1999,10338,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8183075858888633,4337,0.996,4000,0.70125,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.9379733879222109,0.2,0,recalibrated,0.45792824029922485,30000,0,0.0,,,0.0,0.0,0.7441429999998945,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.9203629032258065,0.2,1,fixed,0.26829659938812256,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,2.350000067963265e-05,0.8469310000000405,0.00835,0.8342384696441598,0.9685676642198381,0.8963985541958803,0.9828271976574532,39666,334,2045,10292,375,30881.196341288014,31221332199.457283,551642.3317587612,375,30881.196341288014,31221332199.457283,551642.3317587612,True,False,0.8243025132580124,4337,0.996,4000,0.68325,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.9203629032258065,0.2,1,recalibrated,0.25239497423171997,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,2.350000067963265e-05,0.8469310000000405,0.00985,0.8354543243900462,0.9631810111204561,0.8947825332060075,0.9828271976574532,39606,394,2030,10307,375,30881.196341288014,31221332199.457283,551642.3317587612,375,30881.196341288014,31221332199.457283,551642.3317587612,True,False,0.8275305510721697,4337,0.996,4000,0.6835,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.9143992055610725,0.2,2,fixed,0.26829659938812256,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,3.220000144210644e-05,0.7985130999986723,0.004025,0.8206208964902326,0.9843461351482742,0.8950579082309256,0.9846110085515117,39839,161,2213,10124,750,65076.067449154885,51477525264.131454,1085139.97324323,375,34194.87110786687,20256193064.67417,533497.641484469,True,False,0.803550841595573,4337,0.996,4000,0.66375,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.9143992055610725,0.2,2,recalibrated,0.13428759574890137,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,3.220000144210644e-05,0.7985130999986723,0.0096,0.8486666126286779,0.9646213377556662,0.9029364839808547,0.9846110085515117,39616,384,1867,10470,750,65076.067449154885,51477525264.131454,1085139.97324323,375,34194.87110786687,20256193064.67417,533497.641484469,True,False,0.8508185381600184,4337,0.99625,4000,0.69875,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.900587084148728,0.2,3,fixed,0.26829659938812256,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.409999433439225e-05,0.840263900001446,0.016025,0.6784469482045878,0.9288647208966818,0.7841483979763912,0.9815000557266759,39359,641,3967,8370,1125,122891.36299607214,65213203258.73304,1702914.9978364592,375,57815.29554691726,13735677994.601583,617775.0245932292,True,False,0.8102374913534701,4337,0.99625,4000,0.21775,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.900587084148728,0.2,3,recalibrated,0.36349618434906006,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.409999433439225e-05,0.840263900001446,0.0099,0.6765015806111696,0.9547014413177762,0.7918781725888323,0.9815000557266759,39604,396,3991,8346,1125,122891.36299607214,65213203258.73304,1702914.9978364592,375,57815.29554691726,13735677994.601583,617775.0245932292,True,False,0.8060871570209822,4337,0.99575,4000,0.21675,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.8887174541947926,0.2,4,fixed,0.26829659938812256,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.7400001272326335e-05,0.8964939999968919,0.0092,0.787792818351301,0.9635173986319024,0.8668391009632536,0.9829553264569992,39632,368,2618,9719,1500,169615.3747443275,81071419836.11865,2230719.129674365,375,46724.011748255376,15858216577.385605,527804.1318379059,True,False,0.8044731381139036,4337,0.996,4000,0.5615,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.8887174541947926,0.2,4,recalibrated,0.24192731082439423,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.7400001272326335e-05,0.8964939999968919,0.0099,0.7988165680473372,0.961369622475856,0.8725872144501505,0.9829553264569992,39604,396,2482,9855,1500,169615.3747443275,81071419836.11865,2230719.129674365,375,46724.011748255376,15858216577.385605,527804.1318379059,True,False,0.817846437629698,4337,0.99625,4000,0.58075,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.8836501901140684,0.2,5,fixed,0.26829659938812256,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,1.8699996871873736e-05,0.8783502000005683,0.005425,0.6743940990516333,0.9745812346257468,0.797163935996934,0.9799845515522412,39783,217,4017,8320,1875,211864.69932085453,89128077197.24263,2771610.4195048423,375,42249.324576527026,8056657361.123978,540891.2898304773,True,False,0.8081623241872262,4337,0.99575,4000,0.208,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.8836501901140684,0.2,5,recalibrated,0.16936419904232025,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,1.8699996871873736e-05,0.8783502000005683,0.008975,0.6914160654940423,0.9596130048374395,0.8037312729671158,0.9799845515522412,39641,359,3807,8530,1875,211864.69932085453,89128077197.24263,2771610.4195048423,375,42249.324576527026,8056657361.123978,540891.2898304773,True,False,0.8487433709937745,4337,0.996,4000,0.21625,4000,1.5,1.0,cicids,,,
a1truth,xgboost,4,accumulate,fixed_ratio,ground_truth,none,0.1,0.8609184629803186,0.2,6,fixed,0.26829659938812256,32250,2250,0.06976744186046512,1.0,0.0,0.06976744186046512,2.519999907235615e-05,0.9039044999990438,0.015225,0.7578017346194375,0.9388431411930106,0.8386633774388877,0.9801031956715571,39391,609,2988,9349,2250,262711.51432768116,104056107082.10178,3288410.109751116,375,50846.81500682663,14928029884.859138,516799.6902462738,True,False,0.8081623241872262,4337,0.99575,4000,0.46525,4000,1.5,1.0,cicids,,,
