scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.0,0,fixed,0.396,30000,0,0.0,,,0.0,0.0,6.536250199999813,0.0114,0.8335900137796871,0.9575418994413408,0.8912770290765698,0.9625546546972522,39544,456,2053,10284,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8023979709476596,4337,0.99475,4000,0.70625,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.0,0,recalibrated,0.4146666666666667,30000,0,0.0,,,0.0,0.0,6.536250199999813,0.009975,0.8296182216097917,0.9624788414519466,0.8911235906142527,0.9625546546972522,39601,399,2102,10235,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.99475,4000,0.69625,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9385875127942682,0.0,1,fixed,0.396,30000,0,0.0,,,0.0,0.0,2.5673136999994313,0.000875,0.8278349679824917,0.9965846994535519,0.9044055789240646,0.9566789778714436,39965,35,2124,10213,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8033202674659903,4337,0.9945,4000,0.68775,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9385875127942682,0.0,1,recalibrated,0.23619047619047617,30000,0,0.0,,,0.0,0.0,2.5673136999994313,0.01,0.8599335332738915,0.9636660913797802,0.908849481709929,0.9566789778714436,39600,400,1728,10609,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8397509799400508,4337,0.99625,4000,0.7455,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.941453428863869,0.0,2,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.8906064000002516,0.00945,0.8400745724244144,0.9648110221560231,0.8981325014082068,0.966556995217638,39622,378,1973,10364,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7973253400968411,4337,0.9955,4000,0.731,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.941453428863869,0.0,2,recalibrated,0.3729328063241107,30000,0,0.0,,,0.0,0.0,1.8906064000002516,0.01,0.8418578260517143,0.9629148896717967,0.8983263417376638,0.966556995217638,39600,400,1951,10386,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.800092229651833,4337,0.9955,4000,0.7335,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9371545547594677,0.0,3,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.858238299999357,0.011275,0.8224041501175327,0.9574407851278663,0.8847998604691724,0.9562168041258005,39549,451,2191,10146,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8012451002997464,4337,0.9945,4000,0.67325,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9371545547594677,0.0,3,recalibrated,0.45666666666666667,30000,0,0.0,,,0.0,0.0,1.858238299999357,0.01,0.7773364675366783,0.95995995995996,0.8590495812245263,0.9562168041258005,39600,400,2747,9590,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7922527092460226,4337,0.9945,4000,0.544,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9400204708290686,0.0,4,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.7376266999999643,0.01095,0.8185134149306963,0.9584282460136674,0.8829624448039174,0.9684148719299668,39562,438,2239,10098,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8019368226884943,4337,0.99475,4000,0.66025,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9400204708290686,0.0,4,recalibrated,0.4373333333333334,30000,0,0.0,,,0.0,0.0,1.7376266999999643,0.008175,0.7944394909621464,0.9677132701421801,0.8725573113732472,0.9684148719299668,39673,327,2536,9801,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7940973022826839,4337,0.99425,4000,0.595,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9373592630501535,0.0,5,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.5771540999994613,0.018425,0.806679095404069,0.931050612779493,0.8644141405367846,0.9698201882548432,39263,737,2385,9952,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.804934286373069,4337,0.99475,4000,0.6205,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9373592630501535,0.0,5,recalibrated,0.4593333333333333,30000,0,0.0,,,0.0,0.0,1.5771540999994613,0.01,0.7690686552646511,0.959546925566343,0.8538132733408325,0.9698201882548432,39600,400,2849,9488,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.791330412727692,4337,0.99425,4000,0.51975,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9365404298874105,0.0,6,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.6641373000002204,0.00125,0.8051390127259463,0.9949914855253932,0.8900537634408603,0.969889995541866,39950,50,2404,9933,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7982476366151717,4337,0.995,4000,0.62275,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9365404298874105,0.0,6,recalibrated,0.2242857142857143,30000,0,0.0,,,0.0,0.0,1.6641373000002204,0.01,0.8503688092729189,0.9632724267744008,0.9033063543998623,0.969889995541866,39600,400,1846,10491,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8291445699792483,4337,0.996,4000,0.72775,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.936949846468782,0.0,7,fixed,0.396,30000,0,0.0,,,0.0,0.0,2.0710251000000426,0.011475,0.7701223960444192,0.9539156626506025,0.8522222720545365,0.9545970373672692,39541,459,2836,9501,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7991699331335024,4337,0.9955,4000,0.51325,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.936949846468782,0.0,7,recalibrated,0.44866666666666677,30000,0,0.0,,,0.0,0.0,2.0710251000000426,0.008975,0.7595849882467375,0.963103802672148,0.8493225177867404,0.9545970373672692,39641,359,2966,9371,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7910998385981093,4337,0.99475,4000,0.49025,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.0,8,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.6624990000000253,0.012575,0.7822809435032828,0.95046287177467,0.8582099506469255,0.949282430898922,39497,503,2686,9651,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.801475674429329,4337,0.9955,4000,0.54825,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.0,8,recalibrated,0.4733333333333333,30000,0,0.0,,,0.0,0.0,1.6624990000000253,0.0099,0.7571532787549647,0.9593303892369313,0.8463350548156202,0.949282430898922,39604,396,2996,9341,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7894858196910307,4337,0.9955,4000,0.48375,4000,,1.0,cicids,,,
control,rf,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9373592630501535,0.0,9,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.7714473000005455,0.011475,0.81640593337116,0.9564143955939607,0.8808815812489067,0.9638491215449461,39541,459,2265,10072,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.801475674429329,4337,0.9945,4000,0.6545,4000,,1.0,cicids,,,
