scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2204708290685773,0.0,0,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,6.02544990000024,0.047125,0.8767933857501824,0.8515981735159818,0.8640121410599465,0.9744534641728135,38115,1885,1520,10817,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.857966336177081,4337,0.9965,4000,0.7775,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2204708290685773,0.0,0,recalibrated,0.2346666666666667,30000,0,0.0,,,0.0,0.0,6.02544990000024,0.00985,0.8592040204263597,0.9641622703292705,0.9086622948009085,0.9744534641728135,39606,394,1737,10600,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8360617938667282,4337,0.996,4000,0.7475,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22026612077789154,0.0,1,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.6272470000003523,0.03605,0.8837642862932642,0.8831915755366545,0.8834778381006402,0.9656513333873713,38558,1442,1434,10903,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8731842287295365,4337,0.99675,4000,0.78225,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22026612077789154,0.0,1,recalibrated,0.48666666666666664,30000,0,0.0,,,0.0,0.0,1.6272470000003523,0.00955,0.7712571938072464,0.9614024451854097,0.8558963749212917,0.9656513333873713,39618,382,2822,9515,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.778418261471063,4337,0.9945,4000,0.54025,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.21494370522006145,0.0,2,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.5689796000006027,0.035075,0.8703898840885143,0.8844411498229141,0.8773592613775635,0.9642825534976088,38597,1403,1599,10738,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8535854277150103,4337,0.99675,4000,0.76225,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.21494370522006145,0.0,2,recalibrated,0.49,30000,0,0.0,,,0.0,0.0,1.5689796000006027,0.00985,0.7907108697414282,0.9611784412257365,0.8676509828337633,0.9642825534976088,39606,394,2582,9755,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7851049112289601,4337,0.99425,4000,0.59325,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2300921187308086,0.0,3,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.7033160000000862,0.067225,0.8822242036151414,0.8018860973992485,0.8401389424932459,0.9739837622598687,37311,2689,1453,10884,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8563523172700023,4337,0.9965,4000,0.796,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2300921187308086,0.0,3,recalibrated,0.39866666666666667,30000,0,0.0,,,0.0,0.0,1.7033160000000862,0.009925,0.7961416876063873,0.9611507975340052,0.8708990955843234,0.9739837622598687,39603,397,2515,9822,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8040119898547383,4337,0.99375,4000,0.59,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22108495394063454,0.0,4,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.6831132999996044,0.0291,0.8774418416146551,0.9029110017516057,0.8899942448409109,0.9779492856853368,38836,1164,1512,10825,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8692644685266313,4337,0.997,4000,0.76675,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22108495394063454,0.0,4,recalibrated,0.2366666666666667,30000,0,0.0,,,0.0,0.0,1.6831132999996044,0.00985,0.847774985815028,0.9636966737307657,0.9020267356619233,0.9779492856853368,39606,394,1878,10459,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8397509799400508,4337,0.9965,4000,0.70775,4000,,1.0,cicids
