scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9328556806550665,0.0,0,fixed,0.2194871794871795,30000,0,0.0,,,0.0,0.0,1.6494231999968179,0.019875,0.8570154818837643,0.9300668543279381,0.8920480911200169,0.9618740070519576,39205,795,1764,10573,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8316808854046576,4337,0.996,4000,0.7455,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9328556806550665,0.0,0,recalibrated,0.29266666666666663,30000,0,0.0,,,0.0,0.0,1.6494231999968179,0.0099,0.8502877522898598,0.9636230020209443,0.9034147181673341,0.9618740070519576,39604,396,1847,10490,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8185381600184459,4337,0.99525,4000,0.73975,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9392016376663255,0.0,1,fixed,0.2194871794871795,30000,0,0.0,,,0.0,0.0,1.9514011999999639,0.02335,0.8590419064602416,0.9190079778009018,0.8880137416733002,0.9585843833590014,39066,934,1739,10598,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8337560525709016,4337,0.99625,4000,0.74925,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9392016376663255,0.0,1,recalibrated,0.29992779783393503,30000,0,0.0,,,0.0,0.0,1.9514011999999639,0.009975,0.8512604360865689,0.9633978534079443,0.9038643600998365,0.9585843833590014,39601,399,1835,10502,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8206133271846898,4337,0.99525,4000,0.7405,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9336745138178096,0.0,2,fixed,0.2194871794871795,30000,0,0.0,,,0.0,0.0,1.6551449999969918,0.0106,0.8587176785280052,0.9615175167907061,0.9072147291800471,0.9562386226392153,39576,424,1743,10594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8374452386442242,4337,0.99575,4000,0.74475,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9336745138178096,0.0,2,recalibrated,0.22666666666666668,30000,0,0.0,,,0.0,0.0,1.6551449999969918,0.009875,0.8581502796465915,0.9640320524494628,0.9080149234529782,0.9562386226392153,39605,395,1750,10587,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8362923679963108,4337,0.99575,4000,0.74425,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9455475946775844,0.0,3,fixed,0.2194871794871795,30000,0,0.0,,,0.0,0.0,1.6768374999810476,0.02275,0.8586366215449461,0.920890202555855,0.8886744966442953,0.9684236615465672,39090,910,1744,10593,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8316808854046576,4337,0.9965,4000,0.75,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9455475946775844,0.0,3,recalibrated,0.4826666666666666,30000,0,0.0,,,0.0,0.0,1.6768374999810476,0.0094,0.8052200697090054,0.9635305528612997,0.8772905903651698,0.9684236615465672,39624,376,2403,9934,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7883329490431173,4337,0.995,4000,0.63375,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.93510747185261,0.0,4,fixed,0.2194871794871795,30000,0,0.0,,,0.0,0.0,1.4836515999922995,0.0098,0.8617167869011916,0.964437993286764,0.9101883561643835,0.9724090196157898,39608,392,1706,10631,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8452847590500346,4337,0.996,4000,0.74525,4000,,1.0,cicids,,,,,,,
control,rf,8,accumulate,fixed_ratio,auto_malicious,none,0.1,0.93510747185261,0.0,4,recalibrated,0.21666666666666665,30000,0,0.0,,,0.0,0.0,1.4836515999922995,0.009925,0.8618789008673097,0.9640072529465096,0.9100868746522874,0.9724090196157898,39603,397,1704,10633,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8457459073092,4337,0.996,4000,0.74525,4000,,1.0,cicids,,,,,,,
