scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.7371545547594678,0.0,0,fixed,0.08332054316997528,30000,0,0.0,,,0.0,0.0,1.403895399999783,0.03995,0.8730647645294642,0.8708060473765058,0.8719339431716991,0.9834592121261246,38402,1598,1566,10771,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8637306894166474,4337,0.99675,4000,0.7595,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.7371545547594678,0.0,0,recalibrated,0.3517208993434906,30000,0,0.0,,,0.0,0.0,1.403895399999783,0.006325,0.7968712004539191,0.974910749702499,0.8769457205298603,0.9834592121261246,39747,253,2506,9831,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8095457689647222,4337,0.99475,4000,0.58525,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.737768679631525,0.0,1,fixed,0.08332054316997528,30000,0,0.0,,,0.0,0.0,1.0933782000001884,0.028075,0.8665802058847369,0.9049432876248519,0.8853463624694629,0.9839636084542434,38877,1123,1646,10691,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8540465759741757,4337,0.99675,4000,0.75,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.737768679631525,0.0,1,recalibrated,0.3846970498561859,30000,0,0.0,,,0.0,0.0,1.0933782000001884,0.007425,0.8326983869660372,0.9719016083254494,0.8969310691055136,0.9839636084542434,39703,297,2064,10273,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8058565828913996,4337,0.99575,4000,0.69875,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.7375639713408393,0.0,2,fixed,0.08332054316997528,30000,0,0.0,,,0.0,0.0,1.0787399999999252,0.0296,0.872902650563346,0.9009453693633398,0.8867023466447098,0.9846291916592365,38816,1184,1568,10769,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8658058565828914,4337,0.9965,4000,0.757,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.7375639713408393,0.0,2,recalibrated,0.29894188046455383,30000,0,0.0,,,0.0,0.0,1.0787399999999252,0.00985,0.8365891221528735,0.9632291180587961,0.8954537567239286,0.9846291916592365,39606,394,2016,10321,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.813004380908462,4337,0.996,4000,0.70275,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.7404298874104401,0.0,3,fixed,0.08332054316997528,30000,0,0.0,,,0.0,0.0,1.083107899999959,0.0569,0.8589608494771824,0.8231958362464072,0.8406981356604523,0.980429299059739,37724,2276,1740,10597,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8637306894166474,4337,0.99675,4000,0.716,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.7404298874104401,0.0,3,recalibrated,0.3653770685195923,30000,0,0.0,,,0.0,0.0,1.083107899999959,0.006525,0.7987355110642782,0.9741967375185369,0.8777837163727061,0.980429299059739,39739,261,2483,9854,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8074706017984782,4337,0.9955,4000,0.5925,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.7312180143295803,0.0,4,fixed,0.08332054316997528,30000,0,0.0,,,0.0,0.0,1.146056999999928,0.0349,0.8552322282564643,0.8831505817360007,0.8689672212156152,0.9791354229148092,38604,1396,1786,10551,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8577357620474982,4337,0.9965,4000,0.71125,4000,,1.0,cicids,,,
control,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.05,0.7312180143295803,0.0,4,recalibrated,0.5808464884757996,30000,0,0.0,,,0.0,0.0,1.146056999999928,0.009325,0.7819567155710464,0.9627744510978044,0.8629959296864517,0.9791354229148092,39627,373,2690,9647,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7860272077472907,4337,0.99475,4000,0.56475,4000,,1.0,cicids,,,
