scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09785056294779937,0.0,0,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,0.9860261000003447,0.07345,0.8899246170057551,0.7888912840411008,0.8363677915746172,0.9802114259949745,37062,2938,1358,10979,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8741065252478671,4337,0.99675,4000,0.80025,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09785056294779937,0.0,0,recalibrated,0.45792824029922485,30000,0,0.0,,,0.0,0.0,0.9860261000003447,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10092118730808597,0.0,1,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,0.9494808999997986,0.0683,0.8786576963605415,0.7987032124963159,0.8367748658767223,0.9809731306233282,37268,2732,1497,10840,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8777957113211897,4337,0.99675,4000,0.7615,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10092118730808597,0.0,1,recalibrated,0.38516539335250854,30000,0,0.0,,,0.0,0.0,0.9494808999997986,0.0053,0.8319688741185053,0.9797632684230623,0.8998378117739885,0.9809731306233282,39788,212,2073,10264,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.804934286373069,4337,0.99575,4000,0.6975,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09805527123848512,0.0,2,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,0.982444399999622,0.06115,0.885385425954446,0.8170394195526965,0.8498405041624523,0.9840449815595363,37554,2446,1414,10923,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8780262854507724,4337,0.997,4000,0.78175,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09805527123848512,0.0,2,recalibrated,0.24742724001407623,30000,0,0.0,,,0.0,0.0,0.982444399999622,0.00995,0.836183837237578,0.9628523427291394,0.895058782699232,0.9840449815595363,39602,398,2021,10316,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8070094535393129,4337,0.99575,4000,0.70825,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10112589559877172,0.0,3,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0460450999999011,0.073575,0.881818918699846,0.7870785703950224,0.8317596238388317,0.9820301653562454,37057,2943,1458,10879,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8805626008761817,4337,0.99675,4000,0.76825,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10112589559877172,0.0,3,recalibrated,0.45901498198509216,30000,0,0.0,,,0.0,0.0,1.0460450999999011,0.009975,0.7873064764529464,0.9605419303797469,0.8653392133279879,0.9820301653562454,39601,399,2624,9713,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7867189301360388,4337,0.995,4000,0.58025,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10399181166837257,0.0,4,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,0.9683713000003991,0.058975,0.8990840560914323,0.8246227046316259,0.8602450752287885,0.9845703979897868,37641,2359,1245,11092,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8819460456536776,4337,0.99675,4000,0.82,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10399181166837257,0.0,4,recalibrated,0.19495773315429688,30000,0,0.0,,,0.0,0.0,0.9683713000003991,0.009425,0.8471265299505553,0.9651828592537864,0.902309518670408,0.9845703979897868,39623,377,1886,10451,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.839520405810468,4337,0.996,4000,0.7065,4000,,1.0,cicids
